id	level	name_text_id	description_text_id	type	value	invoke_type	invoke_value1	invoke_value2	stage_type	target_stage	invoke_rate
1	1	222	264	1	0.07	5	1		1		100
1	2	222	264	1	0.08	5	1		1		100
1	3	222	264	1	0.09	5	1		1		100
1	4	222	264	1	0.1	5	1		1		100
1	5	222	264	1	0.11	5	1		1		100
1	6	222	264	1	0.13	5	1		1		100
2	1	223	265	1	0.07	5	2		1		100
2	2	223	265	1	0.08	5	2		1		100
2	3	223	265	1	0.09	5	2		1		100
2	4	223	265	1	0.1	5	2		1		100
2	5	223	265	1	0.11	5	2		1		100
2	6	223	265	1	0.13	5	2		1		100
3	1	224	266	1	0.07	5	3		1		100
3	2	224	266	1	0.08	5	3		1		100
3	3	224	266	1	0.09	5	3		1		100
3	4	224	266	1	0.1	5	3		1		100
3	5	224	266	1	0.11	5	3		1		100
3	6	224	266	1	0.13	5	3		1		100
4	1	225	267	1	0.07	5	4		1		100
4	2	225	267	1	0.08	5	4		1		100
4	3	225	267	1	0.09	5	4		1		100
4	4	225	267	1	0.1	5	4		1		100
4	5	225	267	1	0.11	5	4		1		100
4	6	225	267	1	0.13	5	4		1		100
5	1	226	268	1	0.07	5	5		1		100
5	2	226	268	1	0.08	5	5		1		100
5	3	226	268	1	0.09	5	5		1		100
5	4	226	268	1	0.1	5	5		1		100
5	5	226	268	1	0.11	5	5		1		100
5	6	226	268	1	0.13	5	5		1		100
6	1	227	269	1	0.07	1			1		100
6	2	227	269	1	0.08	1			1		100
6	3	227	269	1	0.09	1			1		100
6	4	227	269	1	0.1	1			1		100
6	5	227	269	1	0.11	1			1		100
6	6	227	269	1	0.13	1			1		100
7	1	228	270	2	150	3			1		100
7	2	228	270	2	200	3			1		100
7	3	228	270	2	250	3			1		100
7	4	228	270	2	300	3			1		100
7	5	228	270	2	350	3			1		100
7	6	228	270	2	400	3			1		100
8	1	229	271	1	0.07	4	5		1		100
8	2	229	271	1	0.08	4	5		1		100
8	3	229	271	1	0.09	4	5		1		100
8	4	229	271	1	0.1	4	5		1		100
8	5	229	271	1	0.11	4	5		1		100
8	6	229	271	1	0.13	4	5		1		100
9	1	229	272	2	150	4	5		1		
