id	label	label_text_id	type	motion_type	is_edity	priority	success_duration	failure_duration	resource_id	resource_name	thumbnail_resource_id	pose_flag_csv	is_default	release_func
20001	記念撮影「ピース」	120001	1	1		1			401	photoA001	26120001	1,2,3,4,5	1	
20002	記念撮影「手を振る」	120002	1	1		2			401	photoA002	26120002	1,2,3,4,5	1	
20003	記念撮影「大きく手を振る」	120003	1	1		3			401	photoA003	26120003	1,2,3,4,5	1	
20004	記念撮影「遠くを見る」	120004	1	1		4			401	photoA004	26120004	1,2,3,4,5	1	
20005	記念撮影「指さし」	120005	1	1		5			401	photoA005	26120005	1,2,3,4,5	1	2
20006	記念撮影「見上げる」	120006	1	1		6			401	photoA006	26120006	1,2,3,4,5	1	
20007	記念撮影「振り返る」	120007	1	1		7			401	photoA007	26120007	1,2,3,4,5	1	
20008	記念撮影「サムズアップ」	120008	1	1		8			401	photoA008	26120008	1,2,3,4,5	1	3
20009	記念撮影「仁王立ち」	120009	1	1		9			401	photoA009	26120009	1,2,3,4,5	1	2
20010	記念撮影「おー！」	120010	1	1		10			401	photoA010	26120010	1,2,3,4,5	1	2
20011	記念撮影「腕組み」	120011	1	1		11			401	photoA011	26120011	1,2,3,4,5	1	3
20012	記念撮影「ガッツポーズ」	120012	1	1		12			401	photoA012	26120012	1,2,3,4,5	1	3
20013	記念撮影「ピース（座り）」	120013	1	2		13			401	photoB001	26120013	1,2,3,4,5	1	
20014	記念撮影「コップを持つ（座り）」	120014	1	2		14			401	photoB002	26120014	1,2,3,4,5	1	2
20015	記念撮影「見上げる（座り）」	120015	1	2		15			401	photoB003	26120015	1,2,3,4,5	1	
20016	記念撮影「読書（座り）」	120016	1	2		16			401	photoB004	26120016	1,2,3,4,5	1	3
20018	記念撮影「手を振る（座り）」	120018	1	2		17			401	photoB006	26120017	1,2,3,4,5	1	
20019	記念撮影「ピース（座り）」	120019	1	3		18			401	photoC001	26120013	1,2,3,4,5	1	
20020	記念撮影「コップを持つ（座り）」	120020	1	3		19			401	photoC002	26120014	1,2,3,4,5	1	2
20021	記念撮影「見上げる（座り）」	120021	1	3		20			401	photoC003	26120015	1,2,3,4,5	1	
20022	記念撮影「読書（座り）」	120022	1	3		21			401	photoC004	26120016	1,2,3,4,5	1	
20023	記念撮影「手を振る（座り）」	120023	1	3		22			401	photoC005	26120017	1,2,3,4,5	1	
20024	記念撮影「ピース（体育座り）」	120024	1	4		23			401	photoD001	26120018	1,2,3,4,5	1	
20025	記念撮影「コップを持つ（体育座り）」	120025	1	4		24			401	photoD002	26120019	1,2,3,4,5	1	2
20026	記念撮影「サムズアップ（体育座り）」	120026	1	4		25			401	photoD003	26120020	1,2,3,4,5	1	3
20027	記念撮影「手を振る（体育座り）」	120027	1	4		26			401	photoD004	26120021	1,2,3,4,5	1	
20028	記念撮影「挙手（体育座り）」	120028	1	4		27			401	photoD005	26120022	1,2,3,4,5	1	
20029	記念撮影「おー！（体育座り）」	120029	1	4		28			401	photoD006	26120023	1,2,3,4,5	1	2
20030	記念撮影「サンタクレンジャー」	120030	1	1	1	29			501	pose001	26120024	1,2,3,4,5	1	
20031	記念撮影「キャンプ場開発」	120031	1	1	1	30			501	pose002	26120025	1,2,3,4,5	1	
20032	記念撮影「ゆるキャンポーズ」	120032	1	1	1	31			501	pose003	26120026	1,2,3,4,5	1	
20033	記念撮影「ふじさん」	120033	1	1		32			501	pose004	26120027	1,3,4	1	
20034	記念撮影「一人はみんなのため」	120034	1	1		33			501	pose005	26120028	1	1	
20035	記念撮影「ブランケット」	120035	1	5		34			114	g_sitD_2l	26120029	1,2,3,4,5	1	
20036	記念撮影「手持ち花火」	120036	1	1		35			401	photoA016	26120030	1,2,3,4,5		
20037	記念撮影「線香花火」	120037	1	1		36			401	photoA017	26120031	1,2,3,4,5		
20038	記念撮影「ダンス」	120038	1	1		37			401	photoA018	26120032	1,2,3,4,5		
30001	高彩度フィルター	130001	2	1		1			1	0	26130001	1,2,3,4,5	1	
30002	高コントラストフィルター	130002	2	1		2			2	0	26130002	1,2,3,4,5	1	
30003	モノクロフィルター	130003	2	1		3			3	0	26130003	1,2,3,4,5	1	
30004	セピアフィルター	130004	2	1		4			4	0	26130004	1,2,3,4,5	1	
30007	レッド強調フィルター	130007	2	1		7			5	0	26130007	1,2,3,4,5	1	4
30008	ブルー強調フィルター	130008	2	1		8			7	0	26130008	1,2,3,4,5	1	4
30009	グリーン強調フィルター	130009	2	1		9			6	0	26130009	1,2,3,4,5	1	4
49001	フレーム「ゆるキャン」	149001	3	1		1			66140001	0	26140001	1,2,3,4,5	1	
49002	フレーム「ピンク」	149002	3	1		2			66140002	0	26140002	1,2,3,4,5	1	
49003	フレーム「青」	149003	3	1		3			66140003	0	26140003	1,2,3,4,5	1	
49004	フレーム「赤」	149004	3	1		4			66140004	0	26140004	1,2,3,4,5	1	
49005	フレーム「緑」	149005	3	1		5			66140005	0	26140005	1,2,3,4,5	1	
49006	フレーム「オレンジ」	149006	3	1		6			66140006	0	26140006	1,2,3,4,5	1	
49007	フレーム「ちくわ」	149007	3	1		7			66140007	0	26140007	1,2,3,4,5		
50001	通常	150001	4	1		1				0	26150001	1,2,3,4,5	1	
50002	にっこり	150002	4	1		2			18	0	26150002	1,2,3,4,5	1	
