level	exp	limit_follow	position_limit	home_gear_cost	release_func	work_target_types	work_weight_level1	work_weight_level2	work_weight_level3	work_weight_level4	work_weight_level5
1		10	5	100		31	10000				
2	100	10	5	120		31	10000				
3	200	10	5	140		31	10000				
4	253	10	5	160		31	10000				
5	308	10	5	175		31	10000				
6	364	10	5	203		31	10000				
7	421	10	5	230	1	31	10000				
8	480	10	5	255		31	10000				
9	539	10	5	280	2	31	10000				
10	599	10	5	303		31	5000	5000			
11	659	10	5	326	4	31	5000	5000			
12	721	10	5	349		31	5000	5000			
13	782	10	5	371		31	5000	5000			
14	845	10	5	392	5	31	5000	5000			
15	907	10	5	413		31	5000	5000			
16	971	10	5	434		31	5000	5000			
17	1034	10	5	454	6	31	5000	5000			
18	1098	10	5	473		31	5000	5000			
19	1163	10	5	493		31	5000	5000			
20	1228	10	5	512	3	31	5000	5000			
21	1293	10	5	531		31	5000	5000			
22	1358	10	5	549		31	5000	5000			
23	1424	10	5	568		31	5000	5000			
24	1490	10	5	586		31	5000	5000			
25	1556	10	5	604	7	31	3000	3000	3000		
26	1623	10	5	621		31	3000	3000	3000		
27	1690	10	5	639		31	3000	3000	3000		
28	1757	10	5	656		31	3000	3000	3000		
29	1824	10	5	673		31	3000	3000	3000		
30	1892	10	5	690		31	3000	3000	3000		
31	1960	10	5	707		31	3000	3000	3000		
32	2028	10	5	723		31	3000	3000	3000		
33	2096	10	5	740		31	3000	3000	3000		
34	2165	10	5	756		31	3000	3000	3000		
35	2233	10	5	772		31	2500	2500	2500	2500	
36	2302	10	5	788		31	2500	2500	2500	2500	
37	2372	10	5	804		31	2500	2500	2500	2500	
38	2441	10	5	820		31	2500	2500	2500	2500	
39	2510	10	5	835		31	2500	2500	2500	2500	
40	2580	10	5	851		31	2500	2500	2500	2500	
41	2650	10	5	866		31	2500	2500	2500	2500	
42	2720	10	5	882		31	2500	2500	2500	2500	
43	2790	10	5	897		31	2500	2500	2500	2500	
44	2861	10	5	912		31	2500	2500	2500	2500	
45	2931	10	5	927		31	2500	2500	2500	2500	
46	3002	10	5	942		31	2500	2500	2500	2500	
47	3073	10	5	956		31	2500	2500	2500	2500	
48	3144	10	5	971		31	2500	2500	2500	2500	
49	3215	10	5	986		31	2500	2500	2500	2500	
50	3286	10	5	1000		31	2000	2000	2000	2000	2000
51	3358	10	5	1000		31	2000	2000	2000	2000	2000
52	3429	10	5	1000		31	2000	2000	2000	2000	2000
53	3501	10	5	1000		31	2000	2000	2000	2000	2000
54	3573	10	5	1000		31	2000	2000	2000	2000	2000
55	3645	10	5	1000		31	2000	2000	2000	2000	2000
56	3717	10	5	1000		31	2000	2000	2000	2000	2000
57	3790	10	5	1000		31	2000	2000	2000	2000	2000
58	3862	10	5	1000		31	2000	2000	2000	2000	2000
59	3935	10	5	1000		31	2000	2000	2000	2000	2000
60	4007	10	5	1000		31	2000	2000	2000	2000	2000
61	4080	10	5	1000		31	2000	2000	2000	2000	2000
62	4153	10	5	1000		31	2000	2000	2000	2000	2000
63	4226	10	5	1000		31	2000	2000	2000	2000	2000
64	4299	10	5	1000		31	2000	2000	2000	2000	2000
65	4372	10	5	1000		31	2000	2000	2000	2000	2000
66	4446	10	5	1000		31	2000	2000	2000	2000	2000
67	4519	10	5	1000		31	2000	2000	2000	2000	2000
68	4593	10	5	1000		31	2000	2000	2000	2000	2000
69	4667	10	5	1000		31	2000	2000	2000	2000	2000
70	4740	10	5	1000		31	2000	2000	2000	2000	2000
71	4814	10	5	1000		31	2000	2000	2000	2000	2000
72	4888	10	5	1000		31	2000	2000	2000	2000	2000
73	4963	10	5	1000		31	2000	2000	2000	2000	2000
74	5037	10	5	1000		31	2000	2000	2000	2000	2000
75	5111	10	5	1000		31	2000	2000	2000	2000	2000
76	5186	10	5	1000		31	2000	2000	2000	2000	2000
77	5260	10	5	1000		31	2000	2000	2000	2000	2000
78	5335	10	5	1000		31	2000	2000	2000	2000	2000
79	5410	10	5	1000		31	2000	2000	2000	2000	2000
80	5484	10	5	1000		31	2000	2000	2000	2000	2000
81	5559	10	5	1000		31	2000	2000	2000	2000	2000
82	5634	10	5	1000		31	2000	2000	2000	2000	2000
83	5710	10	5	1000		31	2000	2000	2000	2000	2000
84	5785	10	5	1000		31	2000	2000	2000	2000	2000
85	5860	10	5	1000		31	2000	2000	2000	2000	2000
86	5935	10	5	1000		31	2000	2000	2000	2000	2000
87	6011	10	5	1000		31	2000	2000	2000	2000	2000
88	6087	10	5	1000		31	2000	2000	2000	2000	2000
89	6162	10	5	1000		31	2000	2000	2000	2000	2000
90	6238	10	5	1000		31	2000	2000	2000	2000	2000
91	6314	10	5	1000		31	2000	2000	2000	2000	2000
92	6390	10	5	1000		31	2000	2000	2000	2000	2000
93	6466	10	5	1000		31	2000	2000	2000	2000	2000
94	6542	10	5	1000		31	2000	2000	2000	2000	2000
95	6618	10	5	1000		31	2000	2000	2000	2000	2000
96	6694	10	5	1000		31	2000	2000	2000	2000	2000
97	6771	10	5	1000		31	2000	2000	2000	2000	2000
98	6847	10	5	1000		31	2000	2000	2000	2000	2000
99	6923	10	5	1000		31	2000	2000	2000	2000	2000
100	7000	10	5	1000		31	2000	2000	2000	2000	2000
