challenge_id	type	category	disp_flag	name_text_id	banner_id	season_id	feature_id	team_battle_event_id	conditions	grade	priority	passive_skill_id	passive_skill_level	sp_type	sp_val1	sp_val2	exclusive_season_id	exclusive_banner_id
505001	1	999	1	1	3101				0	1	1							
590000	2	200	1	62	3130		701		0	1	2							
590001	2	200		62	3130		701		0	1	1							
590003	3	999	1	63	3118				0	1	1							
590004	3	999	1	64	3119				0	1	1							
590005	3	999	1	65	3120				0	1	1							
590006	3	999	1	66	3121				0	1	1							
590007	3	999	1	67	3122				0	1	1							
590008	3	999	1	68	3123				0	1	1							
590009	3	999	1	69	3124				0	1	1							
590010	3	999	1	70	3125				0	1	1							
590011	3	999	1	71	3126				0	1	1							
590012	3	999	1	72	3127				0	1	1							
590013	3	999	1	73	3128				0	1	1							
590014	3	999	1	74	3129				0	1	1							
590015	2	200	1	75	3131				0	1	11							
590016	2	200	1	76	3132				0	1	10							
590017	2	200	1	77	3133				0	1	9							
590018	2	200	1	78	3134				0	1	8							
590019	2	200	1	79	3135				0	1	7							
590020	2	200	1	80	3136				0	1	6							
590021	2	200	1	81	3137				0	1	5							
590022	2	200	1	82	3138				0	1	4							
590023	2	200	1	83	3139				0	1	3							
590024	2	200	1	84	3140				0	1	2							
590025	2	200	1	85	3141				0	1	1							
590026	2	200		75	3131				0	1	11							
590027	2	200		76	3132				0	1	10							
590028	2	200		77	3133				0	1	9							
590029	2	200		78	3134				0	1	8							
590030	2	200		79	3135				0	1	7							
590031	2	200		80	3136				0	1	6							
590032	2	200		81	3137				0	1	5							
590033	2	200		82	3138				0	1	4							
590034	2	200		83	3139				0	1	3							
590035	2	200		84	3140				0	1	2							
590036	2	200		85	3141				0	1	1							
590037	2	200	1	86	3142				0	1	11							
590038	2	200	1	87	3143				0	1	10							
590039	2	200	1	88	3144				0	1	9							
590040	2	200	1	89	3145				0	1	8							
590041	2	200	1	90	3146				0	1	7							
590042	2	200	1	91	3147				0	1	6							
590043	2	200	1	92	3148				0	1	5							
590044	2	200	1	93	3149				0	1	4							
590045	2	200	1	94	3150				0	1	3							
590046	2	200	1	95	3151				0	1	2							
590047	2	200	1	96	3152				0	1	1							
590048	2	200		86	3142				0	1	11							
590049	2	200		87	3143				0	1	10							
590050	2	200		88	3144				0	1	9							
590051	2	200		89	3145				0	1	8							
590052	2	200		90	3146				0	1	7							
590053	2	200		91	3147				0	1	6							
590054	2	200		92	3148				0	1	5							
590055	2	200		93	3149				0	1	4							
590056	2	200		94	3150				0	1	3							
590057	2	200		95	3151				0	1	2							
590058	2	200		96	3152				0	1	1							
50010001	3	999	1	2	3102				0	1	1							
50010002	3	999	1	3	3103				0	2	2							
50010003	3	999	1	4	3104				0	3	3							
50010004	3	999	1	5	3105				0	4	4							
50010005	3	999	1	6	3102				0	1	5							
50010006	3	999	1	7	3103				0	2	6							
50010007	3	999	1	8	3104				0	3	7							
50010008	3	999	1	9	3105				0	4	8							
50010009	3	999	1	10	3102				0	1	9							
50010010	3	999	1	11	3103				0	2	10							
50010011	3	999	1	12	3104				0	3	11							
50010012	3	999	1	13	3105				0	4	12							
50010013	3	999	1	14	3102				0	1	13							
50010014	3	999	1	15	3103				0	2	14							
50010015	3	999	1	16	3104				0	3	15							
50010016	3	999	1	17	3105				0	4	16							
50011001		1	1	18	1101				0	1	1							
50011002		1	1	19	1102				0	2	2							
50011003		1	1	20	1103				0	3	3							
50011004		1	1	21	1104				0	4	4							
50011005		1	1	22	1101				0	1	5							
50011006		1	1	23	1102				0	2	6							
50011007		1	1	24	1103				0	3	7							
50011008		1	1	25	1104				0	4	8							
50011009		1	1	26	1101				0	1	9							
50011010		1	1	27	1102				0	2	10							
50011011		1	1	28	1103				0	3	11							
50011012		1	1	29	1104				0	4	12							
50011013		1	1	30	1101				0	1	13							
50011014		1	1	31	1102				0	2	14							
50011015		1	1	32	1103				0	3	15							
50011016		1	1	33	1104				0	4	16							
50011017		1	1	34	1101				0	1	17							
50011018		1	1	35	1102				0	2	18							
50011019		1	1	36	1103				0	3	19							
50011020		1	1	37	1104				0	4	20							
50011021		1	1	38	1101				0	1	21							
50011022		1	1	39	1102				0	2	22							
50011023		1	1	40	1103				0	3	23							
50011024		1	1	41	1104				0	4	24							
50011025		1	1	2	1101				0	1	25							
50011026		1	1	3	1102				0	2	26							
50011027		1	1	4	1103				0	3	27							
50011028		1	1	5	1104				0	4	28							
50011029		1	1	6	1101				0	1	29							
50011030		1	1	7	1102				0	2	30							
50011031		1	1	8	1103				0	3	31							
50011032		1	1	9	1104				0	4	32							
50011033		1	1	10	1101				0	1	33							
50011034		1	1	11	1102				0	2	34							
50011035		1	1	12	1103				0	3	35							
50011036		1	1	13	1104				0	4	36							
50011037		1	1	14	1101				0	1	37							
50011038		1	1	15	1102				0	2	38							
50011039		1	1	16	1103				0	3	39							
50011040		1	1	17	1104				0	4	40							
50012001		2	1	18	1105				0	1	1							
50012002		2	1	19	1106				0	2	2							
50012003		2	1	20	1107				0	3	3							
50012004		2	1	42	1108				0	4	4							
50012005		2	1	43	1105				0	1	5							
50012006		2	1	44	1106				0	2	6							
50012007		2	1	45	1107				0	3	7							
50012008		2	1	46	1108				0	4	8							
50012009		2	1	26	1105				0	1	9							
50012010		2	1	27	1106				0	2	10							
50012011		2	1	28	1107				0	3	11							
50012012		2	1	29	1108				0	4	12							
50012013		2	1	30	1105				0	1	13							
50012014		2	1	31	1106				0	2	14							
50012015		2	1	32	1107				0	3	15							
50012016		2	1	33	1108				0	4	16							
50012017		2	1	34	1105				0	1	17							
50012018		2	1	35	1106				0	2	18							
50012019		2	1	36	1107				0	3	19							
50012020		2	1	37	1108				0	4	20							
50012021		2	1	38	1105				0	1	21							
50012022		2	1	39	1106				0	2	22							
50012023		2	1	40	1107				0	3	23							
50012024		2	1	41	1108				0	4	24							
50012025		2	1	2	1105				0	1	25							
50012026		2	1	3	1106				0	2	26							
50012027		2	1	4	1107				0	3	27							
50012028		2	1	5	1108				0	4	28							
50012029		2	1	6	1105				0	1	29							
50012030		2	1	7	1106				0	2	30							
50012031		2	1	8	1107				0	3	31							
50012032		2	1	9	1108				0	4	32							
50012033		2	1	10	1105				0	1	33							
50012034		2	1	11	1106				0	2	34							
50012035		2	1	12	1107				0	3	35							
50012036		2	1	13	1108				0	4	36							
50012037		2	1	14	1105				0	1	37							
50012038		2	1	15	1106				0	2	38							
50012039		2	1	16	1107				0	3	39							
50012040		2	1	17	1108				0	4	40							
50013001		3	1	18	1109				0	1	1							
50013002		3	1	19	1110				0	2	2							
50013003		3	1	20	1111				0	3	3							
50013004		3	1	47	1112				0	4	4							
50013005		3	1	48	1109				0	1	5							
50013006		3	1	49	1110				0	2	6							
50013007		3	1	50	1111				0	3	7							
50013008		3	1	51	1112				0	4	8							
50013009		3	1	26	1109				0	1	9							
50013010		3	1	27	1110				0	2	10							
50013011		3	1	28	1111				0	3	11							
50013012		3	1	29	1112				0	4	12							
50013013		3	1	30	1109				0	1	13							
50013014		3	1	31	1110				0	2	14							
50013015		3	1	32	1111				0	3	15							
50013016		3	1	33	1112				0	4	16							
50013017		3	1	34	1109				0	1	17							
50013018		3	1	35	1110				0	2	18							
50013019		3	1	36	1111				0	3	19							
50013020		3	1	37	1112				0	4	20							
50013021		3	1	38	1109				0	1	21							
50013022		3	1	39	1110				0	2	22							
50013023		3	1	40	1111				0	3	23							
50013024		3	1	41	1112				0	4	24							
50013025		3	1	2	1109				0	1	25							
50013026		3	1	3	1110				0	2	26							
50013027		3	1	4	1111				0	3	27							
50013028		3	1	5	1112				0	4	28							
50013029		3	1	6	1109				0	1	29							
50013030		3	1	7	1110				0	2	30							
50013031		3	1	8	1111				0	3	31							
50013032		3	1	9	1112				0	4	32							
50013033		3	1	10	1109				0	1	33							
50013034		3	1	11	1110				0	2	34							
50013035		3	1	12	1111				0	3	35							
50013036		3	1	13	1112				0	4	36							
50013037		3	1	14	1109				0	1	37							
50013038		3	1	15	1110				0	2	38							
50013039		3	1	16	1111				0	3	39							
50013040		3	1	17	1112				0	4	40							
50014001		4	1	18	1113				0	1	1							
50014002		4	1	19	1114				0	2	2							
50014003		4	1	20	1115				0	3	3							
50014004		4	1	52	1116				0	4	4							
50014005		4	1	53	1113				0	1	5							
50014006		4	1	54	1114				0	2	6							
