category	name	name_text_id	banner_type	icon_type
1	各務原 なでしこ	10002	1	1
2	志摩 リン	10003	1	2
3	大垣 千明	10004	1	3
4	犬山 あおい	10005	1	4
5	斉藤 恵那	10006	1	5
100	プレイヤー	10007	3	
200	イベント「○○」	10008	3	
201	イベント「○○」	10008	3	
202	イベント「○○」	10008	3	
203	イベント「○○」	10008	3	
204	イベント「○○」	10008	3	
205	イベント「○○」	10008	3	
206	イベント「○○」	10008	3	
207	イベント「○○」	10008	3	
208	イベント「○○」	10008	3	
209	イベント「○○」	10008	3	
210	イベント「○○」	10008	3	
211	イベント「○○」	10008	3	
212	イベント「○○」	10008	3	
332	期間 2021-05-01 ～ 2021-09-01	10009	3	
333	キズナランキング（シーズン1）	10010	3	
999	サポートカード	10001	1	999
1000	グループ称号テスト	10011	1	
