id	red	green	blue	yellow	purple	obstacle	cold	block	ameba	chest	countdown	trap	barrier	normal	normal_level1	normal_level2	normal_level3	universal_ball	special_param	obstacle_life_min	obstacle_life_max	cold_life_min	cold_life_max	block_life_min	block_life_max	countdown_life_min	countdown_life_max	trap_life_min	trap_life_max	trap_param_min	trap_param_max	barrier_life_min	barrier_life_max	special_param_min	special_param_max	event_small	event_medium	event_large
1	25		25	25	25									100																								
2	25	25	25	25										100																								
3	25	25		25	25									100																								
4	25	25	25		25									100																								
5		25	25	25	25									100																								
6	25	25	25	25	25									100																								
7	25		25	25	25	25								75						1	1																	
8	25	25	25	25		25								75						1	1																	
9	25	25		25	25	25								75						1	1																	
10	25	25	25		25	25								75						1	1																	
11		25	25	25	25	25								75						1	1																	
12	25	25	25	25	25	25								75						1	1																	
13	25		25	25	25	25								75						1	2																	
14	25	25	25	25		25								75						1	2																	
15	25	25		25	25	25								75						1	2																	
16	25	25	25		25	25								75						1	2																	
17		25	25	25	25	25								75						1	2																	
18	25	25	25	25	25	25								75						1	2																	
19	25		25	25	25	25								75						1	3																	
20	25	25	25	25		25								75						1	3																	
21	25	25		25	25	25								75						1	3																	
22	25	25	25		25	25								75						1	3																	
23		25	25	25	25	25								75						1	3																	
24	25	25	25	25	25	25								75						1	3																	
25	25		25	25	25					50				100																								
26	25	25	25	25						50				100																								
27	25	25		25	25					50				100																								
28	25	25	25		25					50				100																								
29		25	25	25	25					50				100																								
30	25	25	25	25	25					50				100																								
31	25		25	25	25					50				100																								
32	25	25	25	25						50				100																								
33	25	25		25	25					50				100																								
34	25	25	25		25					50				100																								
35		25	25	25	25					50				100																								
36	25	25	25	25	25					50				100																								
37	25		25	25	25					50				100																								
38	25	25	25	25						50				100																								
39	25	25		25	25					50				100																								
40	25	25	25		25					50				100																								
41		25	25	25	25					50				100																								
42	25	25	25	25	25					50				100																								
43	25		25	25	25	25				50				75						1	1																	
44	25	25	25	25		25				50				75						1	1																	
45	25	25		25	25	25				50				75						1	1																	
46	25	25	25		25	25				50				75						1	1																	
47		25	25	25	25	25				50				75						1	1																	
48	25	25	25	25	25	25				50				75						1	1																	
49	25		25	25	25	25				50				75						1	2																	
50	25	25	25	25		25				50				75						1	2																	
51	25	25		25	25	25				50				75						1	2																	
52	25	25	25		25	25				50				75						1	2																	
53		25	25	25	25	25				50				75						1	2																	
54	25	25	25	25	25	25				50				75						1	2																	
55	25		25	25	25	25				50				75						1	3																	
56	25	25	25	25		25				50				75						1	3																	
57	25	25		25	25	25				50				75						1	3																	
58	25	25	25		25	25				50				75						1	3																	
59		25	25	25	25	25				50				75						1	3																	
60	25	25	25	25	25	25				50				75						1	3																	
61	25		25	25	25				25					75																								
62	25	25	25	25					25					75																								
63	25	25		25	25				25					75																								
64	25	25	25		25				25					75																								
65		25	25	25	25				25					75																								
66	25	25	25	25	25				25					75																								
67	25		25	25	25				25	50				75																								
68	25	25	25	25					25	50				75																								
69	25	25		25	25				25	50				75																								
70	25	25	25		25				25	50				75																								
71		25	25	25	25				25	50				75																								
72	25	25	25	25	25				25	50				75																								
73	25		25	25	25				25	50				75																								
74	25	25	25	25					25	50				75																								
75	25	25		25	25				25	50				75																								
76	25	25	25		25				25	50				75																								
77		25	25	25	25				25	50				75																								
78	25	25	25	25	25				25	50				75																								
79	25		25	25	25				25	50				75																								
80	25	25	25	25					25	50				75																								
81	25	25		25	25				25	50				75																								
82	25	25	25		25				25	50				75																								
83		25	25	25	25				25	50				75																								
84	25	25	25	25	25				25	50				75																								
85	25		25	25	25	25			25	50				50						1	1																	
86	25	25	25	25		25			25	50				50						1	1																	
87	25	25		25	25	25			25	50				50						1	1																	
88	25	25	25		25	25			25	50				50						1	1																	
89		25	25	25	25	25			25	50				50						1	1																	
90	25	25	25	25	25	25			25	50				50						1	1																	
91	25		25	25	25	25			25	50				50						1	2																	
92	25	25	25	25		25			25	50				50						1	2																	
93	25	25		25	25	25			25	50				50						1	2																	
94	25	25	25		25	25			25	50				50						1	2																	
95		25	25	25	25	25			25	50				50						1	2																	
96	25	25	25	25	25	25			25	50				50						1	2																	
97	25		25	25	25	25			25	50				50						1	3																	
98	25	25	25	25		25			25	50				50						1	3																	
99	25	25		25	25	25			25	50				50						1	3																	
100	25	25	25		25	25			25	50				50						1	3																	
101		25	25	25	25	25			25	50				50						1	3																	
102	25	25	25	25	25	25			25	50				50						1	3																	
103	25	25	25	25	25					50				100																								
104	25	25	25	25	25					50				100																								
105	33	33	33											100																								
106	20	20	20	20	20									100	66	22	12	5																				
107	25	25		25	25	25								100	70	20	10																					
108	20	20	20	20	20	15								100	70	20	10			1	1																	
109	20	20	20	20	20	15			10					100	80	10	10	3		1	3																	
110	20	20	20	20	20	10			7	25				100	80	10	10	5		1	2																	
111	20	20	20	20	20	25		3						100	70	20	10	10		1	3			1	1													
112	20	20	20	20	20	15				15				100	60	30	10	5		1	3																	
113	20	20	20	20	20	5								100	80	15	5	20		1	1																	
114	20	10	20	20	20									100	70	20	10	10																				
115	20	20	20	20	10									100	70	20	10	10																				
116	20	20	10	20	20									100	70	20	10	10																				
117	20	20	20	10	20									100	70	20	10	10																				
118	10	20	20	20	20									100	70	20	10	10																				
119	20	20	20	20	20	10								100	66	22	12	5		2	3																	
120	25	25	25	25	25									100																						60	30	10
121	25	25	25	25	25									100																						50	30	20
122	25	25	25	25	25									100																						40	40	20
123	25	25	25	25	25									100																						40	40	30
124	25	25	25	25	25									100																						40	40	50
125	25	25	25	25	25									100																						40	40	10
126	25	25	25	25	25									100																						40	40	20
127	25	25	25	25	25									100																						40	40	40
128	25	25	25	25	25									100																						40	40	50
129	25	25	25	25	25									100																						40	40	60
130	25		25	25	25									100																						60	30	10
131	25		25	25	25									100																						50	30	20
132	25		25	25	25									100																						40	40	20
133	25		25	25	25									100																						40	40	30
134	25		25	25	25									100																						40	40	50
135	25		25	25	25									100																						40	40	10
136	25		25	25	25									100																						40	40	20
137	25		25	25	25									100																						40	40	40
138	25		25	25	25									100																						40	40	50
139	25		25	25	25									100																						40	40	60
140	25	25	25	25										100																						60	30	10
141	25	25	25	25										100																						50	30	20
142	25	25	25	25										100																						40	40	20
143	25	25	25	25										100																						40	40	30
144	25	25	25	25										100																						40	40	50
145	25	25	25	25										100																						40	40	10
146	25	25	25	25										100																						40	40	20
147	25	25	25	25										100																						40	40	40
148	25	25		25	25									100																						40	40	50
149	25	25		25	25									100																						40	40	60
150	25	25		25	25									100																						60	30	10
151	25	25		25	25									100																						50	30	20
152	25	25		25	25									100																						40	40	20
153	25	25		25	25									100																						40	40	30
154	25	25		25	25									100																						40	40	50
155	25	25		25	25									100																						40	40	10
156	25	25		25	25									100																						40	40	20
157	25	25		25	25									100																						40	40	40
158	25	25		25	25									100																						40	40	50
159	25	25		25	25									100																						40	40	60
160	25	25	25		25									100																						60	30	10
161	25	25	25		25									100																						50	30	20
162	25	25	25		25									100																						40	40	20
163	25	25	25		25									100																						40	40	30
164	25	25	25		25									100																						40	40	50
165	25	25	25		25									100																						40	40	10
166	25	25	25		25									100																						40	40	20
167	25	25	25		25									100																						40	40	40
168	25	25	25		25									100																						40	40	50
169	25	25	25		25									100																						40	40	60
170		25	25	25	25									100																						60	30	10
171		25	25	25	25									100																						50	30	20
172		25	25	25	25									100																						40	40	20
173		25	25	25	25									100																						40	40	30
174		25	25	25	25									100																						40	40	50
175		25	25	25	25									100																						40	40	10
176		25	25	25	25									100																						40	40	20
177		25	25	25	25									100																						40	40	40
178		25	25	25	25									100																						40	40	50
179		25	25	25	25									100																						40	40	60
180	25	25	25	25	25									100																							40	60
181	25	25	25	25	25									100																							30	70
