id	ios	android	pc	coin
1000010	a2346d772c	564d0c1a85	5544e06f23	10
1000020	e35f51e5be	5d65c9aaa9	74490f16e4	20
1000030	20de628518	dd7d8501c0	c80b802423	30
1000040	72f23d36d0	4813448440	d282e17431	40
1000050	3c4dfff4e0	2747c81c3f	5d4d7ec030	50
1000060	00de74a358	4b14f7811e	7d03b67126	60
1000070	23a3e9b975	d09f9f19bf	77f057258e	70
1000080	a9ff7b09d0	6ff88c7b85	25e3dc411c	80
1000090	e89bb41963	61122174b7	b10737380b	90
1000100	3552a1bfc4	f3b05445f3	4002fc7665	100
1000150	87fa9e4493	42a53e1857	4a56149767	150
1000200	08237e09fa	d4a3e87238	65b71eb0bb	200
1000250	13a7cb8172	b25c4f63f6	3815a43c88	250
1000300	9392856a40	eb0edce986	277341069e	300
1000350	3f5e59c7e8	96e75ce9c0	0ddcec78e2	350
1000400	a75aa82e23	1d19b89c95	f27bfd58e9	400
1000450	a35892c40c	b794fd30b3	58e80a38d1	450
1000500	7142f64523	0e98e874c3	dac06fe9eb	500
1000550	d078fc2c0e	4ed9b386a9	4ad42c76ba	550
1000600	7b2572835b	79603ced59	a94307d3de	600
1000650	c16edbb5ff	4e38910cd9	a44b93e2a8	650
1000700	74e466a7cf	643960ab28	9afbf7d862	700
1000750	2ddcb969ad	e5a020c1c0	b885cf1e71	750
1000800	174df33a60	57f5dd7e5d	fcb27f5e53	800
1000850	8edd9533e6	287419e2e0	dd490e6146	850
1000900	d6f73b6adc	c141391d7a	20fd0ab406	900
1000950	2f2a1a4e56	e7fc62d61c	5aef87b3d4	950
1001000	e48db25944	bf27c128c3	79d06619ff	1000
2000010	7711faf430	6d9b88e6db	b19f05b7c2	10
2000020	7194246dba	5d2d1b301d	1cddaf54eb	20
2000030	72ad4a12ae	f140ead435	d571b0b51c	30
2000040	488e29b98e	ea2a6adfa7	85477af4d0	40
2000050	5209162eb9	b36dacd091	60bee5d23a	50
2000060	b1842d5259	05b3cd5e9a	2b1323327d	60
2000070	f4f5360386	0c8e415a72	30654021a0	70
2000080	c64676b9cf	618fad600f	f8428073f0	80
2000090	dbf8b92b5f	74a617c4b7	0d7c331e28	90
2000100	07a11ac8a3	7ebd0f90b8	345f81653b	100
2000150	e6902a7c79	fc854d2068	141e91a60a	150
2000200	28b9a1ae19	826eb7eee6	b27caeab46	200
2000250	1439a1e7c3	e94c0bba4e	2a5572b673	250
2000300	45acf2d3d0	a90bdb7076	4dcfa42272	300
2000350	00e6e77e6c	b3fb991f4a	02e7b418bc	350
2000400	229cf4af49	705e5a725c	ed7afd0bae	400
2000450	a47bc2c944	9b22ee8099	359b3961ce	450
2000500	eab719164e	387e1f4ff2	4f647e7248	500
2000550	9e93cc00f4	5ce4202f97	f86f2541da	550
2000600	dd9a4fb8eb	c85738cf49	e76efdc3cf	600
2000650	7c64b526dd	16cde3790d	307690e4bb	650
2000700	4aa9b7d463	a3a0e9ee3d	59678cbb5e	700
2000750	8b6747814b	d903582df7	9a907f1e63	750
2000800	4d133f84ab	eb64a7f5e3	a6936ca282	800
2000850	4673213653	e2d5ad2942	bdae36324d	850
2000900	3e4299a2d4	4ac9181e0f	dbdb23b0d9	900
2000950	c44ed61da8	1158e57ed3	ff1ccdc0c8	950
2001000	ef347d7b6e	1847cce2ef	0cb8480c6c	1000
3000010	587fa5bff4	15fcf08af2	d3401421e9	10
3000020	08304b5073	6e3cc1c3d9	3060b79c58	20
3000030	ae038af3be	9a0e0175d1	eedabafc69	30
3000040	78837b7e97	772fe9d46f	af312ee48b	40
3000050	abf7bec4c6	dda593ee92	5dc02abe7e	50
3000060	612634f406	e9a96d3673	e580953df7	60
3000070	d286c9831b	19fe1f5b7f	d2369fb79b	70
3000080	14df06e4ff	c110eb70a7	75f8ad5190	80
3000090	8e31654d61	8f32e2a41a	d2d4b3e181	90
3000100	c5e6f1976e	52a1ace2ca	ac7b0690cb	100
3000150	3fa0bfc5c7	81c9cdb775	aaa9b27e9a	150
