id	name_text_id	description_text_id	type	list_type	resource_id	character_id	clothes_id	model_id	bg_resource_id	feature_id	open_date	close_date
1	1	8	1	1	31100000	11	1	1	10110001		2100-01-01 00:00:00	2100-12-31 23:59:59
11	2	9	1	1	31100000	11	1	1	10110001		2020-05-01 00:00:00	2020-05-01 00:00:00
12	3	10	2	2	31100000	11	1	1	10110001		2020-05-01 00:00:00	2020-05-01 00:00:00
13	4	10	3	2	31100000	11	1	1	10110001		2020-05-01 00:00:00	2020-05-01 00:00:00
100	2	12	1	1	31100000	11	1	1	10110001		2021-07-01 00:00:00	2100-12-31 23:59:59
200	3	12	2	2	31100000	11	1	1	10110001		2021-07-01 00:00:00	2100-12-31 23:59:59
300	4	12	3	2	31100000	11	1	1	10110001		2021-07-01 00:00:00	2100-12-31 23:59:59
400	5	11		1	31100000	11	1	1	10110001		2021-07-01 00:00:00	2100-12-31 23:59:59
701	6	13	4	1	31100000	11	1	1	10110001	701	2021-09-10 11:00:00	2021-09-19 23:59:59
901	6	14	4	1	31100000	11	1	1	10110001	901	2021-02-28 11:00:00	2021-02-28 23:59:59
