id	character_id	type	line_id
1	11	1	2000111
1	11	1	2100111
1	11	1	2200111
1	11	2	2000112
1	11	2	2100112
1	11	2	2200112
1	12	1	2000121
1	12	1	2100121
1	12	1	2200121
1	12	2	2000122
1	12	2	2100122
1	12	2	2200122
1	13	1	2000131
1	13	1	2100131
1	13	1	2200131
1	13	2	2000132
1	13	2	2100132
1	13	2	2200132
1	14	1	2000141
1	14	1	2100141
1	14	1	2200141
1	14	2	2000142
1	14	2	2100142
1	14	2	2200142
1	15	1	2000151
1	15	1	2100151
1	15	1	2200151
1	15	2	2000152
1	15	2	2100152
1	15	2	2200152
1	16	1	2000161
1	16	1	2100161
1	16	1	2200161
1	16	2	2000162
1	16	2	2100162
1	16	2	2200162
1	21	1	2000211
1	21	1	2100211
1	21	1	2200211
1	21	2	2000212
1	21	2	2100212
1	21	2	2200212
1	22	1	2000221
1	22	1	2100221
1	22	1	2200221
1	22	2	2000222
1	22	2	2100222
1	22	2	2200222
1	23	1	2000231
1	23	1	2100231
1	23	1	2200231
1	23	2	2000232
1	23	2	2100232
1	23	2	2200232
1	31	1	2000311
1	31	1	2100311
1	31	1	2200311
1	31	2	2000312
1	31	2	2100312
1	31	2	2200312
1	32	1	2000321
1	32	1	2100321
1	32	1	2200321
1	32	2	2000322
1	32	2	2100322
1	32	2	2200322
1	33	1	2000331
1	33	1	2100331
1	33	1	2200331
1	33	2	2000332
1	33	2	2100332
1	33	2	2200332
1	34	1	2000341
1	34	1	2100341
1	34	1	2200341
1	34	2	2000342
1	34	2	2100342
1	34	2	2200342
1	35	1	2000351
1	35	1	2100351
1	35	1	2200351
1	35	2	2000352
1	35	2	2100352
1	35	2	2200352
1	41	1	2000411
1	41	1	2100411
1	41	1	2200411
1	41	2	2000412
1	41	2	2100412
1	41	2	2200412
1	42	1	2000421
1	42	1	2100421
1	42	1	2200421
1	42	2	2000422
1	42	2	2100422
1	42	2	2200422
1	43	1	2000431
1	43	1	2100431
1	43	1	2200431
1	43	2	2000432
1	43	2	2100432
1	43	2	2200432
1	51	1	2000511
1	51	1	2100511
1	51	1	2200511
1	51	2	2000512
1	51	2	2100512
1	51	2	2200512
1	52	1	2000521
1	52	1	2100521
1	52	1	2200521
1	52	2	2000522
1	52	2	2100522
1	52	2	2200522
1	53	1	2000531
1	53	1	2100531
1	53	1	2200531
1	53	2	2000532
1	53	2	2100532
1	53	2	2200532
1	61	1	2000611
1	61	1	2100611
1	61	1	2200611
1	61	2	2000612
1	61	2	2100612
1	61	2	2200612
1	71	1	2000711
1	71	1	2100711
1	71	1	2200711
1	71	2	2000712
1	71	2	2100712
1	71	2	2200712
1	81	1	2000811
1	81	1	2100811
1	81	1	2200811
1	81	2	2000812
1	81	2	2100812
1	81	2	2200812
1	91	1	2000911
1	91	1	2100911
1	91	1	2200911
1	91	2	2000912
1	91	2	2100912
1	91	2	2200912
1	101	1	2001011
1	101	1	2101011
1	101	1	2201011
1	101	2	2001012
1	101	2	2101012
1	101	2	2201012
1	111	1	2001111
1	111	1	2101111
1	111	1	2201111
1	111	2	2001112
1	111	2	2101112
1	111	2	2201112
1	112	1	2001121
1	112	1	2101121
1	112	1	2201121
1	112	2	2001122
1	112	2	2101122
1	112	2	2201122
1	121	1	2001211
1	121	1	2101211
1	121	1	2201211
1	121	2	2001212
1	121	2	2101212
1	121	2	2201212
1	122	1	2001221
1	122	1	2101221
1	122	1	2201221
