id	character_id	type	line_id
10	1	1	100111
10	2	1	100121
10	3	1	100131
10	4	1	100141
10	5	1	100151
13	1	1	130111
13	1	1	130112
13	2	1	130121
13	2	1	130122
13	3	1	130131
13	3	1	130132
13	4	1	130141
13	4	1	130142
13	5	1	130151
13	5	1	130152
14	1	1	140111
14	1	2	140111
14	1	2	140112
14	2	1	140121
14	2	2	140121
14	2	2	140122
14	3	1	140131
14	3	2	140131
14	3	2	140132
14	4	1	140141
14	4	2	140141
14	4	2	140142
14	5	1	140151
14	5	2	140151
14	5	2	140152
19	1	1	190111
19	1	1	190112
19	1	1	190113
19	2	1	190121
19	2	1	190122
19	2	1	190123
19	3	1	190131
19	3	1	190132
19	3	1	190133
19	4	1	190141
19	4	1	190142
19	4	1	190143
19	5	1	190151
19	5	1	190152
19	5	1	190153
20	1	1	200111
20	1	1	200112
20	1	1	200113
20	1	2	200111
20	1	2	200112
20	1	2	200113
20	2	1	200121
20	2	1	200122
20	2	1	200123
20	2	2	200121
20	2	2	200122
20	2	2	200123
20	3	1	200131
20	3	1	200132
20	3	1	200133
20	3	2	200131
20	3	2	200132
20	3	2	200133
20	4	1	200141
20	4	1	200142
20	4	1	200143
20	4	2	200141
20	4	2	200142
20	4	2	200143
20	5	1	200151
20	5	1	200152
20	5	1	200153
20	5	2	200151
20	5	2	200152
20	5	2	200153
21	1	1	210111
21	1	1	210112
21	1	1	210113
21	2	1	210121
21	2	1	210122
21	2	1	210123
21	3	1	210131
21	3	1	210132
21	3	1	210133
21	4	1	210141
21	4	1	210142
21	4	1	210143
22	1	1	220111
22	2	1	220121
22	3	1	220131
22	4	1	220141
22	5	1	220151
23	1	1	230111
23	1	1	230112
23	2	1	230121
23	2	1	230122
23	3	1	230131
23	3	1	230132
23	4	1	230141
23	4	1	230142
1801	1	1	180111
1801	1	1	180112
1801	1	1	180113
1801	2	1	180121
1801	2	1	180122
1801	2	1	180123
1801	3	1	180131
1801	3	1	180132
1801	3	1	180133
1801	4	1	180141
1801	4	1	180142
1801	4	1	180143
1801	5	1	180151
1801	5	1	180152
1801	5	1	180153
4001	1	1	410111
4001	1	1	410112
4001	2	1	410121
4001	2	1	410122
4001	3	1	410131
4001	3	1	410132
4001	4	1	410141
