id	member_id	dearlevel	title	title_text_id	carryover_ratio	type	value
1	11	1	顔見知り★1		50	1	1
2	11	5	顔見知り★2		51	2	2
3	11	10	顔見知り★3		52	3	20003
4	11	15	顔見知り★4		53	3	50003
5	11	20	顔見知り★5		54	2	999032
6	11	25	友だち★1		55	1	2
7	11	25	友だち★1		55	3	20006
8	11	30	友だち★2		56	2	3
9	11	35	友だち★3		57	3	20007
10	11	40	友だち★4		58	3	50005
11	11	45	友だち★5		59	2	999052
12	11	50	気になる存在★1		60	1	3
13	11	50	気になる存在★1		60	3	20008
14	11	55	気になる存在★2		61	3	20009
15	11	60	気になる存在★3		62	3	50006
16	11	65	気になる存在★4		63	2	999062
17	11	70	気になる存在★5		64	3	20010
18	11	70	気になる存在★5		64	3	20012
19	11	75	お試し彼氏		65	1	4
20	11	999	彼氏			1	5
21	12	1	顔見知り★1		50	1	1
22	12	5	顔見知り★2		51	2	2
23	12	10	顔見知り★3		52	3	20013
24	12	15	顔見知り★4		53	3	50003
25	12	20	顔見知り★5		54	2	999032
26	12	25	友だち★1		55	1	2
27	12	25	友だち★1		55	3	20014
28	12	30	友だち★2		56	2	3
29	12	35	友だち★3		57	3	20015
30	12	40	友だち★4		58	3	50005
31	12	45	友だち★5		59	2	999052
32	12	50	気になる存在★1		60	1	3
33	12	50	気になる存在★1		60	3	20016
34	12	55	気になる存在★2		61	3	20011
35	12	60	気になる存在★3		62	3	50006
36	12	65	気になる存在★4		63	2	999062
37	12	70	気になる存在★5		64	3	20018
38	12	70	気になる存在★5		64	3	20020
39	12	75	お試し彼氏		65	1	4
40	12	999	彼氏			1	5
41	13	1	顔見知り★1		50	1	1
42	13	5	顔見知り★2		51	2	2
43	13	10	顔見知り★3		52	3	20013
44	13	15	顔見知り★4		53	3	50003
45	13	20	顔見知り★5		54	2	999032
46	13	25	友だち★1		55	1	2
47	13	25	友だち★1		55	3	20014
48	13	30	友だち★2		56	2	3
49	13	35	友だち★3		57	3	20015
50	13	40	友だち★4		58	3	50005
51	13	45	友だち★5		59	2	999052
52	13	50	気になる存在★1		60	1	3
53	13	50	気になる存在★1		60	3	20016
54	13	55	気になる存在★2		61	3	20011
55	13	60	気になる存在★3		62	3	50006
56	13	65	気になる存在★4		63	2	999062
57	13	70	気になる存在★5		64	3	20018
58	13	70	気になる存在★5		64	3	20020
59	13	75	お試し彼氏		65	1	4
60	13	999	彼氏			1	5
