id	seq_id	name_text_id	type	reward_id	vip	quantity	weight	reward_card_property_id
	1	1				1	100	1000
1	1	2	1	1001		100	100	1000
2	1	3	2	10001		1	100	1000
3	1	4	3	9000050		1	100	1000
4	1	5	4			100	100	1000
5	1	6	5			100	100	1000
6	1	7	6	10200		1	100	1000
7	1	8	7	1		1	100	1000
8	1	9	8			1	100	1000
9	1	10	9	1001		1	100	1000
10	1	11	10			1	100	1000
11	1	12	11	900001		1	100	1000
14	1	11	14			1	100	1000
20	1	13	1	1001		100	100	1000
20	2	13	1	1001		200	200	1000
20	3	13	1	1001		300	300	1000
20	4	13	1	1001		400	400	1000
20	5	13	1	1001		500	500	1000
21	1	14	1	1001		1	100	1000
21	2	14	1	1002		2	100	1000
21	3	14	1	1003		3	100	1000
21	4	14	1	7001		4	100	1000
21	5	14	1	7003		5	100	1000
22	1	15	1	1001		1000	100	1000
22	2	15	1	1001		2000	100	1000
22	3	15	1	1001		3000	100	1000
22	4	15	1	1001		4000	100	1000
22	5	15	1	1001		5000	100	1000
23	1	16	19	1		1	100	1000
24	1	17	19	2		1	100	1000
25	1	18	19	3		1	100	1000
26	1	19	19	4		1	100	1000
27	1	20	19	5		1	100	1000
28	1	21	19	6		1	100	1000
29	1	22	19	7		1	100	1000
30	1	23	19	8		1	100	1000
31	1	24	19	9		1	100	1000
32	1	25	19	10		1	100	1000
33	1	26	19	701		1	100	1000
34	1	27	19	702		1	100	1000
35	1	28	19	703		1	100	1000
36	1	29	19	704		1	100	1000
37	1	30	1	50001		1	100	1000
38	1	31	1	50002		1	100	1000
39	1	33	1	6005		1	100	1000
40	1	34	1	6010		1	100	1000
41	1	35	1	6020		1	100	1000
42	1	36	1	1001		1		1000
42	2	36	4			100		1000
42	3	36	5			100		1000
43	1	37	1	50010		1	100	1000
44	1	38	1	50010		1	100	1000
45	1	39	2	10101		1	100	1000
46	1	39	2	10102		1	100	1000
47	1	39	2	10103		1	100	1000
48	1	39	2	10104		1	100	1000
49	1	39	2	10105		1	100	1000
50	1	40	1	101		1		1000
51	1	32	1	50003		1	100	1000
52	1	41	1	6030		1		1000
53	1	42	1	6060		1		1000
54	1	43	1	6090		1		1000
55	1	44	1	6003		1		1000
56	1	45	1	6005		1		1000
57	1	46	1	6005		1		1000
58	1	47	1	6150		1		1000
100	1	60	1	100		1	100	1000
901	1	131	1	1001		1		1000
902	1	132	2	10001		1		1000
903	1	133	3	9000555	1	1		1000
904	1	134	4			100		1000
905	1	135	6	10200		1		1000
906	1	136	16	20002		1		1000
907	1	137	17	21		1		1000
908	1	138	18	210		1		1000
909	1	139	19	701		1		1000
2001	1	121	3	9000009		1		1000
2002	1	121	3	9000030		1		1000
2003	1	121	3	9000119		1		1000
2004	1	121	3	9000194		1		1000
2005	1	121	3	9000350		1		1000
2006	1	121	3	9001050		1		1000
2011	2	52	1	2011		1	100	1000
2012	2	52	1	2012		1	100	1000
2013	2	52	1	2013		1	100	1000
2014	2	52	1	2014		1	100	1000
2015	2	52	1	2015		1	100	1000
2021	2	53	1	2021		1	100	1000
2022	2	53	1	2022		1	100	1000
2023	2	53	1	2023		1	100	1000
2024	2	53	1	2024		1	100	1000
2025	2	53	1	2025		1	100	1000
2031	2	54	1	2031		1	100	1000
2041	2	55	1	2041		1	100	1000
2110	1	56	3	9000010		1		1000
2115	1	56	3	9000015		1		1000
2120	1	56	3	9000020		1		1000
2125	1	56	3	9000025		1		1000
2130	1	56	3	9000030		1		1000
2135	1	56	3	9000035		1		1000
2140	1	56	3	9000040		1		1000
2145	1	56	3	9000045		1		1000
2150	1	56	3	9000050		1		1000
2180	1	56	3	9000080		1		1000
2203	1	57	1	1002		5		1000
2204	1	58	1	1002		35		1000
2205	1	59	1	1003		50		1000
3100	1	101	1	1001		300		1000
3101	1	102	1	1001		300		1000
3101	2	102	1	8011		5		1000
3102	1	103	1	1001		300		1000
3102	2	103	1	8011		5		1000
3102	3	103	1	8511		5		1000
3103	1	104	1	1001		1500		1000
3103	2	104	1	8011		5		1000
3103	3	104	1	8511		5		1000
3104	1	105	1	1001		1500		1000
3104	2	105	1	8011		10		1000
3104	3	105	1	8511		6		1000
3105	1	106	1	1001		1500		1000
3105	2	106	1	8011		15		1000
3105	3	106	1	8511		7		1000
3106	1	107	1	1001		2000		1000
3106	2	107	1	8011		20		1000
3106	3	107	1	8511		8		1000
3107	1	108	1	1001		2000		1000
3107	2	108	1	8011		25		1000
3107	3	108	1	8511		10		1000
3108	1	109	1	1001		2000		1000
3108	2	109	1	8011		30		1000
3108	3	109	1	8511		12		1000
3109	1	110	1	1001		2500		1000
3109	2	110	1	8011		35		1000
3109	3	110	1	8511		14		1000
3110	1	111	1	1001		2500		1000
3110	2	111	1	8011		40		1000
3110	3	111	1	8511		16		1000
3111	1	112	1	1001		2500		1000
3111	2	112	1	8011		45		1000
3111	3	112	1	8511		18		1000
3112	1	113	1	1001		3000		1000
3112	2	113	1	8011		50		1000
3112	3	113	1	8511		20		1000
4001	1	323	1	8013		10		1000
4001	2	324	1	8012		20		1000
4002	1	325	1	1003		5		1000
4003	1	325	1	1003		5		1000
4004	1	326	1	8071		1		1000
4004	2	325	1	1003		5		1000
4005	1	325	1	1003		5		1000
4006	1	327	1	8072		1		1000
4007	1	325	1	1003		5		1000
4008	1	328	1	8073		1		1000
4008	2	325	1	1003		5		1000
4009	1	329	1	8074		1		1000
4009	2	325	1	1003		5		1000
4010	1	330	1	8075		1		1000
4010	2	325	1	1003		5		1000
4011	1	331	1	8111		15		1000
4011	2	332	1	8211		3		1000
4012	1	333	1	8121		15		1000
4012	2	332	1	8211		3		1000
4013	1	334	1	8131		15		1000
4013	2	332	1	8211		3		1000
4014	1	335	1	8141		15		1000
4014	2	332	1	8211		3		1000
4015	1	336	1	8151		15		1000
4015	2	332	1	8211		3		1000
4016	1	332	1	8211		3		1000
4016	2	337	1	8221		3		1000
4016	3	338	1	8231		3		1000
4017	1	331	1	8111		70		1000
4017	2	337	1	8221		3		1000
4017	3	338	1	8231		3		1000
4018	1	339	1	51007		1		1000
4019	1	340	2	10181		1		1000
4020	1	341	1	8011		1800		1000
4021	1	342	2	10182		1		1000
4022	1	343	1	1010181		50		1000
4023	1	344	1	8511		600		1000
4024	1	345	1	8111		10		1000
4024	2	346	1	8121		10		1000
4024	3	347	1	8131		10		1000
4024	4	348	1	8141		10		1000
4024	5	349	1	8151		10		1000
4024	6	350	1	8611		10		1000
4024	7	351	1	8621		10		1000
4024	8	352	1	8631		10		1000
4024	9	353	1	8641		10		1000
4024	10	354	1	8651		10		1000
4025	1	343	1	1010181		50		1000
4026	1	355	1	1010182		50		1000
4027	1	341	1	8011		1800		1000
4027	2	344	1	8511		600		1000
4028	1	356	22	85050030		1		1000
4028	2	357	25	85050030		1		1000
4028	3	358	1	3050030		5		1000
4028	4	359	1	106007		6		1000
4028	5	360	1	106003		3		1000
4028	6	361	1	108002		2		1000
4028	7	362	1	105002		1		1000
4029	1	343	1	1010181		50		1000
4030	1	355	1	1010182		50		1000
4031	1	345	1	8111		20		1000
4031	2	346	1	8121		20		1000
4031	3	347	1	8131		20		1000
4031	4	348	1	8141		20		1000
4031	5	349	1	8151		20		1000
4031	6	363	1	8711		10		1000
4031	7	350	1	8611		20		1000
4031	8	351	1	8621		20		1000
4031	9	352	1	8631		20		1000
4031	10	353	1	8641		20		1000
4031	11	354	1	8651		20		1000
4031	12	364	1	8211		10		1000
4032	1	343	1	1010181		50		1000
4033	1	355	1	1010182		50		1000
4034	1	345	1	8111		30		1000
4034	2	346	1	8121		30		1000
4034	3	347	1	8131		30		1000
4034	4	348	1	8141		30		1000
4034	5	349	1	8151		30		1000
4034	6	363	1	8711		20		1000
4034	7	365	1	8721		10		1000
4034	8	350	1	8611		30		1000
4034	9	351	1	8621		30		1000
4034	10	352	1	8631		30		1000
