id	label	label_text_id	abbreviation	abbreviation_text_id	banner_resource_id	premium_confession_step_price	premium_love_step_price	bride_ranking	confession_story_id	open_date	close_date	end_check_date	start_display	end_display
1	野外活動計画(Season1)	1001	Season1	2001	55170006				1	2021-09-02 00:00:00	2099-12-31 23:59:59	2099-12-31 23:59:59	1630508400	4102412399
2	野外活動計画(Season2)	1002	Season2	2002	55170007				2	2100-01-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
3	野外活動計画(Season3)	1003	Season3	2003	37190001				3	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
4	野外活動計画(Season4)	1004	Season4	2004	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
5	野外活動計画(Season5)	1005	Season5	2005	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
6	野外活動計画(Season6)	1006	Season6	2006	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
7	野外活動計画(Season7)	1007	Season7	2007	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
8	野外活動計画(Season8)	1008	Season8	2008	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
9	野外活動計画(Season9)	1009	Season9	2009	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
10	野外活動計画(Season10)	1010	Season10	2010	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
11	野外活動計画(Season11)	1011	Season11	2011	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
12	野外活動計画(Season12)	1012	Season12	2012	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
13	野外活動計画(Season13)	1013	Season13	2013	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
14	野外活動計画(Season14)	1014	Season14	2014	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
15	野外活動計画(Season15)	1015	Season15	2015	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
16	野外活動計画(Season16)	1016	Season16	2016	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
17	野外活動計画(Season17)	1017	Season17	2017	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
18	野外活動計画(Season18)	1018	Season18	2018	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
19	野外活動計画(Season19)	1019	Season19	2019	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
20	野外活動計画(Season20)	1020	Season20	2020	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
21	野外活動計画(Season21)	1021	Season21	2021	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
22	野外活動計画(Season22)	1022	Season22	2022	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
23	野外活動計画(Season23)	1023	Season23	2023	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
24	野外活動計画(Season24)	1024	Season24	2024	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
25	野外活動計画(Season25)	1025	Season25	2025	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
26	野外活動計画(Season26)	1026	Season26	2026	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
27	野外活動計画(Season27)	1027	Season27	2027	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2100-12-31 23:59:59	4125999600	4133862000
999997	野外活動計画(Season28)	1028	testSeason	2041	37190001				1	2100-10-01 00:00:00	2100-12-31 23:59:59	2101-01-31 23:59:59	4125999600	4133862000
999998	野外活動計画(Season29)	1029	testSeason	2041	37190001				1	2021-04-01 00:00:00	2021-04-30 23:59:59	2021-09-01 23:59:59	1617202800	1619794799
999999	野外活動計画(Season30)	1030	testSeason	2041	37190001				1	2021-05-01 00:00:00	2021-09-01 23:59:59	2099-12-31 23:59:59	1619794800	1630508399
