id	season_id	type	upper	lower	special	reward_id
210901	1		4	10000	0	80015
210902	1		3	3	0	80016
210903	1		2	2	0	80017
210904	1		1	1	0	80018
211001	2		4	10000	0	1
211002	2		3	3	0	1
211003	2		2	2	0	1
211004	2		1	1	0	1
211101	3		4	10000	0	1
211102	3		3	3	0	1
211103	3		2	2	0	1
211104	3		1	1	0	1
211201	4		4	10000	0	1
211202	4		3	3	0	1
211203	4		2	2	0	1
211204	4		1	1	0	1
220101	5		4	10000	0	1
220102	5		3	3	0	1
220103	5		2	2	0	1
220104	5		1	1	0	1
220201	6		4	10000	0	1
220202	6		3	3	0	1
220203	6		2	2	0	1
220204	6		1	1	0	1
220301	7		4	10000	0	1
220302	7		3	3	0	1
220303	7		2	2	0	1
220304	7		1	1	0	1
220401	8		4	10000	0	1
220402	8		3	3	0	1
220403	8		2	2	0	1
220404	8		1	1	0	1
220501	9		4	10000	0	1
220502	9		3	3	0	1
220503	9		2	2	0	1
220504	9		1	1	0	1
220601	10		4	10000	0	1
220602	10		3	3	0	1
220603	10		2	2	0	1
220604	10		1	1	0	1
999991	999999		4	10000	0	1
999992	999999		3	3	0	1
999993	999999		2	2	0	1
999994	999999		1	1	0	1
