id	sort_id	title	title_text_id	banner_resource_id	banner_large_resource_id	gacha_color_top_line	gacha_color_top_bg	gacha_color_bottom_line	gacha_color_bottom_bg
1	1	○○	1	67100001	67200001	ffacc6	ff598c	ffe2a1	ffc542
2	2	○○	1	67100002	67200002	a11f1f	f1ca86	a11f1f	f1ca86
3	3	○○	1	67100003	67200003	ffd991	ff7aa8	ffd991	ff7aa8
4	4	○○	1	67100004	67200004	2b2b2b	e4333f	2b2b2b	e4333f
5	5	○○	1	67100005	67200005	b28f5e	415ad6	b28f5e	415ad6
6	6	○○	1	67100006	67200006	e14356	f36160	e14356	f36160
7	7	○○	1	67100007	67200007				
8	8	○○	1	67100008	67200008				
9	9	○○	1	67100009	67200009				
10	10	○○	1	67100010	67200010	ffc5d9	ff8ab2	baedff	75daff
11	11	○○	1	67100011	67200011	97deeb	2ebcd6	eeaabf	dd547e
12	12	○○	1	67100012	67200012	f3a6d4	e74da8	99caf4	3395e8
13	13	○○	1	67100013	67200013	b8a97b	d9d4c5	b8a97b	d9d4c5
16	16	○○	1	67100016	67200016	c653ec	181818	c653ec	181818
100	100	○○	1	67100100	67200100	ffacc6	ff598c	ffe2a1	ffc542
