id	pay_item_id	pay_item_name_abbr	name_abbr_text_id	shop_type	banner_resource_id	link	sort_priority	open_date	close_date
1		フレンドP	200002	13	24101001		9	2017-10-24 11:00:00	2100-12-31 00:00:00
2	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
3	1002	ふじさん	200004	18	24101001		11	2017-10-24 11:00:00	2100-12-31 00:00:00
4	1011	松ぼっくり	200005	19	24101001		12	2017-10-24 11:00:00	2100-12-31 00:00:00
5	1010	虹のツカぽん	200006	22	24101001		13	2017-10-24 11:00:00	2100-12-31 00:00:00
6	1009	金のツカぽん	200007	12	24101001		14	2017-10-24 11:00:00	2100-12-31 00:00:00
7	1008	銀のツカぽん	200008	11	24101002		15	2017-10-24 11:00:00	2100-12-31 00:00:00
8	1005	おでかけコイン	200009	20	24101001		17	2017-10-24 11:00:00	2100-12-31 00:00:00
10	10001	ガチャメダル	200010	6	24110001	gacha?gacha_id=10001	18	2021-05-01 00:00:00	2023-06-24 23:59:59
11	10002	ガチャメダル	200010	6	24110002	gacha?gacha_id=10002	19	2021-07-18 00:00:00	2023-06-24 23:59:59
12	10003	ガチャメダル	200010	6	24110002	gacha?gacha_id=10003	19	2021-07-18 00:00:00	2023-10-03 23:59:59
13		サークルP	200011	17	24110002		20	2017-10-24 11:00:00	2100-12-31 00:00:00
14		サークルP	200011	17	24110002		20	2017-10-24 11:00:00	2100-12-31 00:00:00
15		サークルP	200011	17	24110002		20	2017-10-24 11:00:00	2100-12-31 00:00:00
16	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
17	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
18	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
19	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
20	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
21	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
22	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
23	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
24	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
25	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
26	1012	ゆるすたP	200003	21	24101001		10	2017-10-24 11:00:00	2100-12-31 00:00:00
27	10004	ガチャメダル	200010	6	25110004	gacha?gacha_id=10006	15	2023-06-20 11:00:00	2023-07-01 23:59:59
28	10005	ガチャメダル	200010	6	25110005	gacha?gacha_id=10007	17	2023-06-20 11:00:00	2023-07-01 23:59:59
29	10006	ガチャメダル	200010	6	25110001	gacha?gacha_id=10008	13	2023-06-26 11:00:00	2023-07-05 23:59:59
30	10007	ガチャメダル	200010	6	25110002	gacha?gacha_id=10009	14	2023-06-26 11:00:00	2023-07-05 23:59:59
31	10008	ガチャメダル	200010	6	25110001	gacha?gacha_id=10010	12	2023-06-30 11:00:00	2023-07-15 23:59:59
