id	type	sub_type	parent_id	sort_id	pay	resource_id	banner_resource_id	text	text_id	is_guild	open_date	close_date
10	1				8		35100008	ゆるコイン	10		2022-01-27 11:00:00	2100-12-31 23:59:59
20	1			1	4		35100009	ゆるパス	20		2022-01-27 11:00:00	2100-12-31 23:59:59
21	1		20	2	4		35100009	会員	21		2022-01-27 11:00:00	2022-01-31 23:59:59
22	1		20	3	4		35100009	ゆるパス	22		2022-01-27 11:00:00	2100-12-31 23:59:59
30	2			8	5		35100010	交換所	30		2022-01-27 11:00:00	2100-12-31 23:59:59
31	2	1	30	9	2		35100010	フレンドP	31		2022-01-27 11:00:00	2100-12-31 23:59:59
33	2	3	30	11	5		35100010	ふじさん	33		2022-01-27 11:00:00	2100-12-31 23:59:59
34	2	4	30	12	5		35100010	松ぼっくり	34		2022-01-27 11:00:00	2100-12-31 23:59:59
35	2	5	30	13	5		35100010	虹のツカぽん	35		2022-01-27 11:00:00	2100-12-31 23:59:59
36	2	6	30	14	5		35100010	金のツカぽん	36		2022-01-27 11:00:00	2100-12-31 23:59:59
37	2	7	30	15	5		35100010	銀のツカぽん	37		2022-01-27 11:00:00	2100-12-31 23:59:59
38	2	8	30	16	5		35100010	おでかけコイン	38		2022-01-27 11:00:00	2100-12-31 23:59:59
40	3			30	7		35100003	リサイクル	40		2022-01-27 11:00:00	2023-05-23 23:59:59
41	3	1	40	31	5		35100003	カリブー君	41		2022-01-27 11:00:00	2023-05-23 23:59:59
50	1			5	3		35100004	特別セール	50		2022-01-27 11:00:00	2023-05-23 23:59:59
51	1		50	6	3		35100004	特別セール	51		2022-01-27 11:00:00	2023-05-23 23:59:59
52	1		50	7	3		35100004	プライムセール	52		2022-01-27 11:00:00	2023-05-23 23:59:59
70	1			17	3		35100012	AP	70		2022-01-27 11:00:00	2100-12-31 23:59:59
71	1		70	18	3		35100012	AP	71		2022-01-27 11:00:00	2100-12-31 23:59:59
72	1		70	19	3		35100012	YP	72		2022-01-27 11:00:00	2023-05-23 23:59:59
80	2			12	5		35100011	ガチャメダル	80		2022-01-27 11:00:00	2100-12-31 23:59:59
81	2	10	80	13	5		35100011	コスチューム	81		2022-01-27 11:00:00	2023-06-24 23:59:59
82	2	11	80	14	5		35100011	サポート	82		2022-01-27 11:00:00	2023-06-24 23:59:59
83	2	12	80	15	5		35100011	野外活動	83		2022-01-27 11:00:00	2100-12-31 23:59:59
84	2	27	80	16	5		35100011	小田原キャンプ	84		2023-06-20 11:00:00	2023-07-01 23:59:59
85	2	28	80	17	5		35100011	旅キャン	85		2023-06-20 11:00:00	2023-07-01 23:59:59
86	2	29	80	18	5		35100011	小田原キャンプ②	86		2023-06-26 11:00:00	2023-07-05 23:59:59
87	2	30	80	19	5		35100011	旅キャン②	87		2023-06-26 11:00:00	2023-07-05 23:59:59
88	2	31	80	20	5		35100011	海キャン水着	88		2023-06-30 11:00:00	2023-07-15 23:59:59
89	2	32	80	21	5		35100011	夏だ！ビーチだ！	89		2023-06-30 11:00:00	2023-07-15 23:59:59
91	2	33	80	22	5		35100011	海キャン水着②	91		2023-07-12 11:00:00	2023-07-28 23:59:59
94	2	36	80	23	5		35100011	夏だ！ビーチだ！②	94		2023-07-12 11:00:00	2023-07-28 23:59:59
95	2	35	80	24	5		35100011	海キャン水着③	95		2023-07-19 11:00:00	2023-07-31 23:59:59
96	2	34	80	25	5		35100011	人気サポートカード	96		2023-07-19 11:00:00	2023-07-31 23:59:59
97	2	37	80	26	5		35100011	お祭り浴衣	97		2023-07-28 11:00:00	2023-08-13 23:59:59
98	2	38	80	27	5		35100011	浴衣サポカ	98		2023-07-28 11:00:00	2023-08-13 23:59:59
100	1			21	10		35100013	クラブギフト	100		2022-01-27 11:00:00	2100-12-31 23:59:59
101	1		100	22	10		35100013	クラブギフト	100		2022-01-27 11:00:00	2100-12-31 23:59:59
110	2			23	5		35100010	ゆるすたP	110		2022-01-27 11:00:00	2100-12-31 23:59:59
111	2	16	110	24	5		35100010	テント/タープ	111		2022-01-27 11:00:00	2100-12-31 23:59:59
112	2	17	110	25	5		35100010	チェア/テーブル	112		2022-01-27 11:00:00	2100-12-31 23:59:59
113	2	18	110	26	5		35100010	クッカー	113		2022-01-27 11:00:00	2100-12-31 23:59:59
114	2	19	110	27	5		35100010	照明/焚火	114		2022-01-27 11:00:00	2100-12-31 23:59:59
116	2	21	110	29	5		35100010	シュラフ	116		2022-01-27 11:00:00	2100-12-31 23:59:59
117	2	22	110	30	5		35100010	フィールドギア	117		2022-01-27 11:00:00	2100-12-31 23:59:59
119	2	24	110	32	5		35100010	料理	119		2022-01-27 11:00:00	2100-12-31 23:59:59
120	2	25	110	33	5		35100010	素材/素材	120		2022-01-27 11:00:00	2100-12-31 23:59:59
150	2	13		1	11		35100014	フレンド	150	1	2022-01-27 11:00:00	2100-12-31 23:59:59
160	2	14		2	11		35100015	スタンプ	160	1	2022-01-27 11:00:00	2100-12-31 23:59:59
180	2	15		3	11		35100016	フレーム	180	1	2022-01-27 11:00:00	2100-12-31 23:59:59
