group_id	position_id	button_text_id	tips_text_id	link	resource_id
1	1				15470053
1	2	1		stamprally	15070066
1	3	2		gacha?gacha_id=30005	15130005
1	4	4		challenge	15170049
1	5	3		notify	15270051
1	6	3		notify	15270053
1	7	5		https://yurucamp-game.enish.com/comeback/	15370053
2	1				15470063
2	2	6		minigame01	15070062
2	3	2		gacha?gacha_id=10022	15110022
2	4	4		challenge	15170054
2	5	2		gacha	15270064
2	6	7		shop?tab_type=101&shop_type=10&shop_item_id=700044	15270056
2	7	5		https://yurucamp-game.enish.com/10mfest/	15370063
3	1				15470089
3	2	4		challenge	15070070
3	3	7		shop?tab_type=51&shop_type=4&shop_item_id=700048	15170073
3	4	2		gacha	15130006
3	5	2		gacha	15270079
3	6	3		notify	15270080
3	7	5		https://yurucamp-game.enish.com/10mfest/2nd/	15370089
