id	name	name_text_id	type	tutorial	x	y	information	information_text_id	character_id	clothes_id	model_id	can_skip	can_continue	max_continue	play_condition	chapter_id	unlock_stage_id	secret_unlock_type	secret_member_id	secret_unlock_condition	rank_score_s	rank_score_a	rank_score_b	rank_score_c	rank_score_d	firstclear_reward_id	rank_s_reward_id	clear_reward_id	drop_reward1_id	drop_reward2_id	drop_reward3_id	exp	card_exp	ep_coefficient	publish_date	open_date	close_date
1	テスト1	1					テストステージ	1	11	1	1	1	1			11					130000	110000	91000	71000	52000										2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:00
2	テスト2	1					テストステージ	1	11	1	1	1	1			11					162000	138000	113000	89000	65000										2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:00
3	テスト3	1					テストステージ	1	11	1	1	1	1			11					195000	165000	136000	107000	78000										2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:00
4	テスト4	1					テストステージ	1	11	1	1	1	1			11					195000	165000	136000	107000	78000										2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:00
5	テスト5	1					テストステージ	1	11	1	1	1	1			11					195000	165000	136000	107000	78000										2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:00
6	テスト6	1					テストステージ	1	11	1	1	1	1			11					145000	123000	101000	79000	58000										2100-01-01 00:00:00	2100-01-01 00:00:00	2100-12-31 23:59:00
40001	チュートリアル1	1					チュートリアルステージ	1	11	1	1	1	1			4001					700	600	500	400	300										2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:00
101101	ステージ1	1					10手以内に目標を達成しよう！	1	11	1	1	1	1			1011					15500	13100	10800	8500	6200	100101101	200101101	300101101	400101101	500101101	600101101	50	5		2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
101102	ステージ2	1		3			10手以内に目標を達成しよう！	1	11	1	1	1	1			1011	101101				10000	8500	7000	5500	4000	100101101	200101101	300101102	400101102	500101102	600101102	51	5		2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
101103	ステージ3	1		4			15手以内に目標を達成しよう！	1	11	1	1	1	1			1011	101102				12500	10700	8800	6900	5000	100101101	200101101	300101103	400101103	500101103	600101103	51	6		2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
101104	ステージ4	1		5			20手以内に目標を達成しよう！	1	11	1	1	1	1			1011	101103				15000	12900	10600	8300	6000	100101101	200101101	300101104	400101104	500101104	600101104	52	6		2021-07-01 00:00:00	2021-07-01 00:00:00	2100-12-31 23:59:59
