id	type	target_id	target_value
1	1	1	1
1	1	5	1
1	2	1	1
1	2	12	1
2	1	1	1
2	1	2	2
2	1	3	1
2	1	4	1
3	2	2	2
3	2	5	1
3	2	8	1
4	1	1	1
4	1	2	1
4	1	3	1
4	1	4	1
5	1	1	2
5	1	2	1
5	1	3	1
5	1	5	1
6	1	1	5
7	1	2	5
8	1	3	5
9	1	4	5
10	1	5	5
11	2	1	1
12	2	11	1
13	2	3	1
14	2	4	1
15	2	5	1
16	2	6	1
17	2	7	1
18	2	8	1
19	2	9	1
20	2	35	1
21	2	11	1
22	2	12	1
23	2	13	1
24	2	14	1
25	2	15	1
26	2	16	1
27	2	17	1
28	2	19	1
29	2	7	1
30	2	20	1
31	2	21	1
32	2	22	1
33	2	23	1
34	2	24	1
35	2	25	1
36	2	26	1
37	2	27	1
38	2	28	1
39	2	29	1
40	2	30	1
41	2	31	1
42	2	32	1
43	2	33	1
44	2	34	1
45	2	35	1
46	2	36	1
47	2	37	1
48	2	38	1
49	2	39	1
50	2	40	1
51	2	41	1
