id	master_type	leaf	material1	material2	material3	value1	value2	value3
901			1001			1		
950			1001			1		
951			1001			1		
952			1001			1		
303101	1		1			1		
303102	1		1			1		
303103	1		1			1		
303104	1		1			1		
303105	1		1			1		
303106	1		1			1		
303401	1		1			1		
303402	1		1			1		
303403	1		1			1		
303404	1		1			1		
303405	1		1			1		
303406	1		1			1		
303701	1		1			1		
303702	1		1			1		
303703	1		1			1		
303704	1		1			1		
303705	1		1			1		
303706	1		1			1		
304101	1		1			1		
304102	1		1			1		
304103	1		1			1		
304104	1		1			1		
304105	1		1			1		
304106	1		1			1		
304301	1		1			1		
304302	1		1			1		
304303	1		1			1		
304304	1		1			1		
304305	1		1			1		
304306	1		1			1		
304601	1		1			1		
304602	1		1			1		
304603	1		1			1		
304604	1		1			1		
304605	1		1			1		
304606	1		1			1		
304801	1		1			1		
304802	1		1			1		
304803	1		1			1		
304804	1		1			1		
304805	1		1			1		
304806	1		1			1		
305001	1		1			1		
305002	1		1			1		
305003	1		1			1		
305004	1		1			1		
305005	1		1			1		
305006	1		1			1		
305201	1		1			1		
305202	1		1			1		
305203	1		1			1		
305204	1		1			1		
305205	1		1			1		
305206	1		1			1		
305301	1		1			1		
305302	1		1			1		
305303	1		1			1		
305304	1		1			1		
305305	1		1			1		
305306	1		1			1		
305501	1		1			1		
305502	1		1			1		
305503	1		1			1		
305504	1		1			1		
305505	1		1			1		
305506	1		1			1		
305701	1		1			1		
305702	1		1			1		
305703	1		1			1		
305704	1		1			1		
305705	1		1			1		
305706	1		1			1		
305901	1		1			1		
305902	1		1			1		
305903	1		1			1		
305904	1		1			1		
305905	1		1			1		
305906	1		1			1		
306101	1		1			1		
306102	1		1			1		
306103	1		1			1		
306104	1		1			1		
306105	1		1			1		
306106	1		1			1		
306301	1		1			1		
306302	1		1			1		
306303	1		1			1		
306304	1		1			1		
306305	1		1			1		
306306	1		1			1		
306601	1		1			1		
306602	1		1			1		
306603	1		1			1		
306604	1		1			1		
306605	1		1			1		
306606	1		1			1		
307001	1		1			1		
307002	1		1			1		
307003	1		1			1		
307004	1		1			1		
307005	1		1			1		
307006	1		1			1		
