stamp_id	seq	target_stamp_count	reward_id
1	1	1	40020001
1	2	2	40020001
1	3	3	40020001
1	4	4	40020001
1	5	5	40020001
1	6	7	40020001
1	7	10	40020001
1	8	15	40020001
1	9	20	40020001
1	10	25	40020001
1	11	30	40020001
1	12	35	40020001
1	13	40	40020001
1	14	45	40020001
1	15	50	40020001
1	16	55	40020001
1	17	60	40020001
1	18	65	40020001
1	19	70	40020001
1	20	75	40020001
1	21	80	40020001
1	22	85	40020001
1	23	90	40020001
1	24	95	40020001
1	25	100	40020001
2	1	1	40020001
2	2	2	40020001
2	3	3	40020001
2	4	4	40020001
2	5	5	40020001
2	6	7	40020001
2	7	10	40020001
2	8	15	40020001
2	9	20	40020001
2	10	25	40020001
2	11	30	40020001
2	12	35	40020001
2	13	40	40020001
2	14	45	40020001
2	15	50	40020001
2	16	55	40020001
2	17	60	40020001
2	18	65	40020001
2	19	70	40020001
2	20	75	40020001
2	21	80	40020001
2	22	85	40020001
2	23	90	40020001
2	24	95	40020001
2	25	100	40020001
3	1	1	40020001
3	2	2	40020001
3	3	3	40020001
3	4	4	40020001
3	5	5	40020001
3	6	7	40020001
3	7	10	40020001
3	8	15	40020001
3	9	20	40020001
3	10	25	40020001
3	11	30	40020001
3	12	35	40020001
3	13	40	40020001
3	14	45	40020001
3	15	50	40020001
3	16	55	40020001
3	17	60	40020001
3	18	65	40020001
3	19	70	40020001
3	20	75	40020001
3	21	80	40020001
3	22	85	40020001
3	23	90	40020001
3	24	95	40020001
3	25	100	40020001
4	1	1	40020001
4	2	2	40020001
4	3	3	40020001
4	4	4	40020001
4	5	5	40020001
4	6	7	40020001
4	7	10	40020001
4	8	15	40020001
4	9	20	40020001
4	10	25	40020001
4	11	30	40020001
4	12	35	40020001
4	13	40	40020001
4	14	45	40020001
4	15	50	40020001
4	16	55	40020001
4	17	60	40020001
4	18	65	40020001
4	19	70	40020001
4	20	75	40020001
4	21	80	40020001
4	22	85	40020001
4	23	90	40020001
4	24	95	40020001
4	25	100	40020001
5	1	1	40020001
5	2	2	40020001
5	3	3	40020001
5	4	4	40020001
5	5	5	40020001
5	6	7	40020001
5	7	10	40020001
5	8	15	40020001
5	9	20	40020001
5	10	25	40020001
5	11	30	40020001
5	12	35	40020001
5	13	40	40020001
5	14	45	40020001
5	15	50	40020001
5	16	55	40020001
5	17	60	40020001
5	18	65	40020001
5	19	70	40020001
5	20	75	40020001
5	21	80	40020001
5	22	85	40020001
5	23	90	40020001
5	24	95	40020001
5	25	100	40020001
6	1	1	40020001
6	2	2	40020001
6	3	3	40020001
6	4	4	40020001
