id	label	label_text_id	resource_id	thumbnail_resource_id
1	メインストーリー第1章	1	10110001	10110001
2	メインストーリー第2章	2	10110001	10110001
3	メインストーリー第3章	3	10110001	10110001
4	メインストーリー第4章	4	10110001	10110001
5	メインストーリー第5章	5	10110001	10110001
6	メインストーリー第6章	6	10110001	10110001
7	メインストーリー第7章	7	10110001	10110001
8	メインストーリー第8章	8	10110001	10110001
9	メインストーリー第9章	9	10110001	10110001
10	メインストーリー第10章	10	10110001	10110001
11	メインストーリー第11章	11	10110001	10110001
12	メインストーリー第12章	12	10110001	10110001
701	○○	701	10110001	10110001
702	○○	702	10110001	10110001
