id	story_type	chapter_text_id	title_text_id	media_type	chapter_id	feature_id	target_id	target_value	sort_id	card_lv	awakening_type	dear_point	media_id	has_choice	name_rank	reward_id	publish_date	open_date	close_date
70010101	8	1	1101	1	5011								70010101				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010102	8	1	1102	1	5011		70010101						70010102				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010103	8	1	1103	1	5011		70010102						70010103				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010104	8	1	1104	1	5011		70010103						70010104				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010105	8	1	1105	1	5011		70010104						70010105				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010106	8	1	1106	1	5011		70010105						70010106				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010107	8	1	1107	1	5011		70010106						70010107				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010108	8	1	1108	1	5011		70010107						70010108				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010109	8	1	1109	1	5011		70010108						70010109				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010110	8	1	1110	1	5011		70010109						70010110				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010111	8	1	1111	1	5011		70010110						70010111				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010201	8	2	1201	1	5021		70010111						70010201				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010202	8	2	1202	1	5021		70010201						70010202				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010203	8	2	1203	1	5021		70010202						70010203				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010204	8	2	1204	1	5021		70010203						70010204				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010205	8	2	1205	1	5021		70010204						70010205				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010206	8	2	1206	1	5021		70010205						70010206				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010207	8	2	1207	1	5021		70010206						70010207				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010208	8	2	1208	1	5021		70010207						70010208				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010209	8	2	1209	1	5021		70010208						70010209				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010210	8	2	1210	1	5021		70010209						70010210				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010211	8	2	1211	1	5021		70010210						70010211				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010301	8	3	1301	1	5031		70010211						70010301				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010302	8	3	1302	1	5031		70010301						70010302				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010303	8	3	1303	1	5031		70010302						70010303				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010304	8	3	1304	1	5031		70010303						70010304				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010305	8	3	1305	1	5031		70010304						70010305				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010306	8	3	1306	1	5031		70010305						70010306				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010307	8	3	1307	1	5031		70010306						70010307				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010308	8	3	1308	1	5031		70010307						70010308				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010309	8	3	1309	1	5031		70010308						70010309				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010310	8	3	1310	1	5031		70010309						70010310				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
70010311	8	3	1311	1	5031		70010310						70010311				2020-05-01 00:00:00	2020-05-01 00:00:00	2100-12-31 23:59:59
