	VrText	WorkText	AppointmentText	ArText	CampText	ItemText	RewardText	SeasonText	TipsText	AdvertisementText	CampaignText	CraftText	GachaText	GuildCampText	ReactionText	SpecialContentText	BgmText	CollectionText	FuncText	ShopTabText	StickerText	BoostGroupText	CharaNaviText	ConfessionText	GuildText	InvitationText	LoginText	ProfileText	FeedText	ShopText	StageText	FeatureText	PhotoText	PlayerTitleText	RelationshipText	SituationText	StoryText	TeamBattleText	AttributeText	GuideMissionText	HomeBgmText	HomeText	SeriesText	CardText	HelpText	LocationText	MemberText	SkillText	ApText	BannerText	PuzzleText	QuestText	StampText	UnitText	ChallengeText	ChapterText	GrowthRewardText	LotteryText	AreaText	CommonText	GearText	StillPictureText
0																																0																														
1	jp	jp	jp	ピース	ふじさんとまったり本栖湖キャンプ		【テスト用】報酬なし		jp	広告動画を見たら、1日1回無料でガチャが引けるようになります	時限パズル報酬増量キャンペーン				テスト	jp	BGM01	jp	「サークル」解放		丸	コスチューム	あいうえお◯◯◯◯◯◯◯◯◯◯◯	jp		jp	ログインボーナス		jp	お助けアイテム	テスト	イベントヘルプ・注意事項		つなキャン初心者	jp	jp	プロローグ２	イベントヘルプ・注意事項	0	第1話①	つなキャン	"ふぁあ……
おはよー"	jp	未使用	jp		0	縦消去		ガチャへ	おねだりステージ	ダミークエスト	スタンプラリー1	jp	初期称号	○○	jp	テスト		えーっと　今日の予定は…		メインストーリー第1章
2				手を振る	イベント・ミッションテスト用		【テスト用】アイテム			「宿題」に広告動画を見るという宿題が追加され、クリア報酬が入手できます。1日2回リセットされます。	挨拶獲得FP2倍キャンペーン						BGM02		「記念撮影」に新ポーズ追加		A	サポートカード	かきくけこ◯◯◯◯◯◯◯◯◯◯◯				○○パス(30days)限定			★3コスチューム交換券		利用規約		色づく景色			プロローグ３	利用規約	つながり+1	第1話②	キャンプ場のテーマ~本栖湖~	"オムライスって
日本生まれなんだよね"		ダミー			つながり+1	黄玉消去			もっとおねだりステージ	メインストーリー	スタンプラリー2		"サポートカードを
{0}個獲得する"	1		テスト注意文言		さて　どれからやろうかな？		メインストーリー第2章
3				大きく手を振る	テストキャンプ		【テスト用】カード			パズル後	◯◯パズルクリア報酬2倍キャンペーン						BGM03		「記念撮影」のフィルター解放		B		さしすせそ◯◯◯◯◯◯◯◯◯◯◯				フレッシュパス(10days)限定			"★3『ゆるキャン△②服』
各務原 なでしこ"				知らない世界も			ふじさんとカレーめん		まんぞく+1	第1話③	キャンプ場のテーマ~麓~	えーっと　今日の予定は…		『サバキャン服』			まんぞく+1	青玉チェンジ			ひみつのおねだりステージ	日替わりデート	スタンプラリー3		"サポートカードを
{0}個強化する"	2		テストしないテストしようテストしますテストしたテストしたときテストすればテストしろ！		どうしよう		メインストーリー第3章
4				遠くを見る			【テスト用】HC			パズル失敗後のダイアログに「広告動画を見ると無料でコンティニュー」のボタンが追加され、動画を見ることで無料で1日3回までコンティニューできます。	カード強化獲得経験値1.5倍キャンペーン						BGM04		「記念撮影」のレンズ解放		C		たちつてと◯◯◯◯◯◯◯◯◯◯◯				レギュラーパス(10days)限定			まんじゅうセット				探しに行こうよ			ようこそ 野クルへ！		いごこち+1	第1話④	キャンプ場のテーマ~高ボッチ、イーストウッド~	"お昼ごはん
おいしかったよー"		『夏服（オレンジ）』			いごこち+1	紫玉レベルアップ				時間限定デート	スタンプラリー4		"サポートカードを
{0}回ランクアップする"	3				なにしよう…		メインストーリー第4章
5				指さし			【テスト用】プレイヤー経験値			時間短縮の確認ダイアログに「広告動画を見ると無料で3時間短縮」のボタンが追加され、動画を見ることで宿題の待ち時間が3時間(180分)短縮されます	◯◯チャレンジ経験値2倍キャンペーン						BGM05		「AR」解放		D		なにぬねの◯◯◯◯◯◯◯◯◯◯◯				特別な関係限定ログインボーナス			"★3『ゆるキャン△①服』
志摩 リン"				never stop!			ふじさんとまったりお鍋キャンプ		ぬくもり+1	第1話⑤	キャンプ場のテーマ~四尾連湖~	"昔々　あるところに
なでしこという女の子が
おったんじゃ…"		『夏服（ブルー）』			ぬくもり+1	万能玉				チュートリアル	スタンプラリー5		"サポートカードを
{0}回限界突破する"	4				まずは　あれかなぁ		メインストーリー第5章
6				見上げる			【テスト用】カード経験値			チャレンジ実行確認ダイアログに「広告動画を見ると無料でランクアップ」のボタンが追加され、動画を見ることでチャレンジランクアップ+120%の消費コインが無料になります。	キズナポイント1.5倍キャンペーン						BGM06		「ステッカー作成・共有」解放		E		はひふへほ◯◯◯◯◯◯◯◯◯◯◯				3月ログインボーナス			"★3『ゆるキャン△②服』
なでしこの限凸セット"				窓を開けたら			野クルとソロキャンガール		いやし+1	第1話⑥	キャンプ場のテーマ~陣馬形山~	"あれって　もしかして…
タケノコ！？"		『夏服（ベージュ）』			いやし+1	横消去				期間限定イベント	スタンプラリー6		"{ta_mi_mn}がメインの
キャンプに{0}回行く"	5				えっと　次にやること…		メインストーリー第6章
7				振り返る			【テスト用】ホーム背景			AP回復							BGM07				F		まみむめも◯◯◯◯◯◯◯◯◯◯◯				ゆるパス(30days)限定			おち葉シールセット				その向こうに			二つのキャンプ、二人の景色		キャンプ開始時のつながりが+1される	第1話⑦	キャンプ場のテーマ~朝霧高原~	"日が長く
なりましたなぁ…"		『夏服（カーキ）』			キャンプ開始時のつながりが+1される	縦横消去				0	スタンプラリー7		"{ta_mi_mn}のコスチュームを
{0}個獲得する"	6				どうしようかな		メインストーリー第7章
8				サムズアップ			【テスト用】ホーム写真			広告動画を見たら、1日1回無料で時限パズルが開放できます。							BGM08				G		うーん…				ゆるパスS(10days)限定			ランクアップセット				世界は広がる			お肉と紅葉と謎の湖		キャンプ開始時のまんぞくが+1される	第1話⑧		"春野菜を使った　ごはん
いかがでしょーか？"		『夏服（ブラウン）』			キャンプ開始時のまんぞくが+1される	X消去				マスタの辻褄合わせに使用する仮クエスト	スタンプラリー8		"{ta_mi_mn}のキャラストーリーを
{0}種類見る"	7				何をしようかな…		メインストーリー第8章
9				仁王立ち			【テスト用】欠番			広告動画を見たら、1日1回無料で曜日パズルが開放できます。							BGM09				H		えーっと…				ゆるパスM(10days)限定			"★3『ゆるキャン△①服』
リンの限凸セット"				どこへでも行ける			湖畔の夜とキャンプの人々		キャンプ開始時のいごこちが+1される	第1話⑨		"夕日を見ながら
まったりしよー"		『夏服（ウッドランド）』			キャンプ開始時のいごこちが+1される	範囲消去				近日開催予定。開催までしばらくお待ちください	スタンプラリー9		"{ta_mi_mn}のコスチュームを
{0}個強化する"	8				うーん　何しようかな…		メインストーリー第9章
