id	ja	zh-TW	en	ko
1	BGM01	BGM01	BGM01	BGM01
2	BGM02	BGM02	BGM02	BGM02
3	BGM03	BGM03	BGM03	BGM03
4	BGM04	BGM04	BGM04	BGM04
5	BGM05	BGM05	BGM05	BGM05
6	BGM06	BGM06	BGM06	BGM06
7	BGM07	BGM07	BGM07	BGM07
8	BGM08	BGM08	BGM08	BGM08
9	BGM09	BGM09	BGM09	BGM09
10	BGM10	BGM10	BGM10	BGM10
2001	BGM2001	BGM2001	BGM2001	BGM2001
2002	BGM2002	BGM2002	BGM2002	BGM2002
2003	BGM2003	BGM2003	BGM2003	BGM2003
2004	BGM2004	BGM2004	BGM2004	BGM2004
2005	BGM2005	BGM2005	BGM2005	BGM2005
2006	BGM2006	BGM2006	BGM2006	BGM2006
2007	BGM2007	BGM2007	BGM2007	BGM2007
2008	BGM2008	BGM2008	BGM2008	BGM2008
2009	BGM2009	BGM2009	BGM2009	BGM2009
2010	BGM2010	BGM2010	BGM2010	BGM2010
2011	BGM2011	BGM2011	BGM2011	BGM2011
2012	BGM2012	BGM2012	BGM2012	BGM2012
2013	BGM2013	BGM2013	BGM2013	BGM2013
2014	BGM2014	BGM2014	BGM2014	BGM2014
2015	BGM2015	BGM2015	BGM2015	BGM2015
2016	BGM2016	BGM2016	BGM2016	BGM2016
2017	BGM2017	BGM2017	BGM2017	BGM2017
