id	ja	zh-TW	en	ko
1	未使用	未使用(TW)	未使用(EN)	未使用(KO)
2	ダミー	ダミー(TW)	ダミー(EN)	ダミー(KO)
3	『サバキャン服』	『夏季露營服』	『Summer Camping Clothes』	『여름 캠핑복』
4	『夏服（オレンジ）』	『夏季服裝（橘色）』	『Orange Summer Clothes』	『하복(오렌지)』
5	『夏服（ブルー）』	『夏季服裝（藍色）』	『Blue Summer Clothes』	『하복(블루)』
6	『夏服（ベージュ）』	『夏季服裝（米色）』	『Beige Summer Clothes』	『하복(베이지)』
7	『夏服（カーキ）』	『夏季服裝（卡其色）』	『Khaki Summer Clothes』	『하복(카키)』
8	『夏服（ブラウン）』	『夏季服裝（褐色）』	『Brown Summer Clothes』	『하복(브라운)』
9	『夏服（ウッドランド）』	『夏季服裝（林地迷彩）』	『Woodland Summer Clothes』	『하복(우드랜드)』
10	『夏服（マルチカム）』	『夏季服裝（多地形迷彩）』	『MultiCam Summer Clothes』	『하복(멀티캠)』
11	『夏服（ホワイト）』	『夏季服裝（白色）』	『White Summer Clothes』	『하복(화이트)』
12	『夏服（ブラック）』	『夏季服裝（黑色）』	『Black Summer Clothes』	『하복(블랙)』
13	『イーストウッド薄着』	『EAST WOOD薄衣服』	『Eastwood Cozy Casual』	『이스트우드 캐주얼』
14	『麓キャンプ薄着』	『麓露營地薄衣服』	『Fumoto Camp Cozy Casual』	『후모토 캠핑 캐주얼』
15	『伊豆キャン薄着』	『伊豆營地薄外套』	『Izu Camp Cozy Casual』	『이즈 캠핑 캐주얼』
16	『冬服A（オレンジ）』	『冬季服裝A（橘色）』	『Orange Winter Clothes A』	『동복 A(오렌지)』
17	『冬服A（ブルー）』	『冬季服裝A（藍色）』	『Blue Winter Clothes A』	『동복 A(블루)』
18	『冬服A（ベージュ）』	『冬季服裝A（米色）』	『Beige Winter Clothes A』	『동복 A(베이지)』
19	『冬服A（カーキ）』	『冬季服裝A（卡其色）』	『Khaki Winter Clothes A』	『동복 A(카키)』
20	『クリキャン長袖』	『聖誕露營長袖』	『Xmas Camp Long Sleeves』	『크리캠 롱 슬리브』
21	『冬服B（ウッドランド）』	『冬季服裝B（林地迷彩）』	『Woodland Winter Clothes B』	『동복 B(우드랜드)』
22	『冬服B（マルチカム）』	『冬季服裝B（多地形迷彩）』	『Multicam Winter Clothes B』	『동복 B(멀티캠)』
23	『冬服B（ホワイト）』	『冬季服裝B（白色）』	『White Winter Clothes B』	『동복 B(화이트)』
24	『冬服B（ブラック）』	『冬季服裝B（黑色）』	『Black Winter Clothes B』	『동복 B(블랙)』
25	『本栖湖キャンプ服』	『本栖湖露營服裝』	『Lake Motosu Camp Clothes』	『모토스호 캠핑복』
26	『ゆるキャン△④服』	『搖曳露營△④服裝』	『Laid-Back Camp ④ Clothes』	『유루캠△ 4권 복장』
27	『ゆるキャン△③服』	『搖曳露營△③服裝』	『Laid-Back Camp ③ Clothes』	『유루캠△ 3권 복장』
28	『ゆるキャン△⑤服』	『搖曳露營△⑤服裝』	『Laid-Back Camp ⑤ Clothes』	『유루캠△ 5권 복장』
29	『本栖高校制服＆コート』	『本栖湖高中制服＆外套』	『Motosu HS Uniform & Coat』	『모토스고 교복&코트』
30	『本栖高校制服』	『本栖湖高中制服』	『Motosu HS Uniform』	『모토스고 교복』
31	『本栖高校ジャージ』	『本栖湖高中運動服』	『Motosu HS Jersey』	『모토스고 저지』
32	『麓キャンプ服』	『麓露營地服裝』	『Fumoto Camp Clothes』	『후모토 캠핑복』
33	『伊豆キャン服』	『伊豆營地服裝』	『Izu Camp Clothes』	『이즈 캠핑복』
34	『イーストウッド服』	『EAST WOOD服裝』	『Eastwood Clothes』	『이스트우드 복장』
35	『バイト普段着』	『打工便服』	『Informal Work Wear』	『알바 평상복』
36	『麓キャンプ厚着』	『麓露營地厚衣服』	『Fumoto Camp Thick Wear』	『후모토 캠핑복(커버드)』
37	『山中湖キャンプ服』	『山中湖露營服裝』	『Lake Yamanaka Camp Clothes』	『야마나카호 캠핑복』
38	『四尾連湖キャンプ服』	『四尾連湖露營服裝』	『Lake Shibire Camp Clothes』	『시비레호 캠핑복』
39	『甲府キャンプ普段着』	『甲府露營便服』	『Kofu Camp Informal Wear』	『고후 캠핑 평상복』
40	『買い物普段着』	『購物便服』	『Informal Shopping Wear』	『쇼핑 평상복』
41	『はるキャン服』	『春季露營服裝』	『Spring Camping Clothes』	『봄 캠핑복』
42	『カリブーキャンプ服』	『卡力布露營服』	『Caribou Camping Clothes』	『카리부 캠핑복』
43	『クリキャン服』	『聖誕露營服裝』	『Christmas Camp Clothes』	『크리캠 복장』
44	『サンタクレンジャー』	『聖誕戰隊』	『Santa Claus Rangers』	『산타크레인저』
45	『サバキャン水着』	『求生露營泳裝』	『Survival Camp Swimsuit』	『서바캠 수영복』
46	『四尾連湖ブランケット』	『四尾連湖毛毯』	『Lake Shibire Blanket』	『시비레호 블랭킷』
47	『山中湖ブランケット』	『山中湖毛毯』	『Lake Yamanaka Blanket』	『야마나카호 블랭킷』
48	『秘密結社ブランケット』	『秘密結社毛毯』	『Secret Society Blanket』	『비밀결사 블랭킷』
49	『お料理キャンプ（仮）』	『お料理キャンプ（仮）』(TW)	『お料理キャンプ（仮）』(EN)	『お料理キャンプ（仮）』(KO)
50	『ハロウィン（仮）』	『ハロウィン（仮）』(TW)	『ハロウィン（仮）』(EN)	『ハロウィン（仮）』(KO)
51	『小田原キャンプ服』	『小田原露營服裝』	『Odawara Camp Clothes』	『오다와라 캠핑복』
