id	ja	zh-TW	en	ko
1	○○	○○	○○	○○
2	1		1	
3	2		2	
4	3		3	
5	4		4	
6	5		5	
7	6		6	
8	7		7	
9	8		8	
10	9		9	
11	10		10	
12	11		11	
13	12		12	
14	ふじさんとカレーめん	富士山與咖哩泡麵	Mount Fuji and Curry Noodles	후지산과 카레면
15	ようこそ 野クルへ！	歡迎來到野活組！	Welcome to the Outclub!	야클에 온 걸 환영해!
16	ふじさんとまったりお鍋キャンプ	富士山與悠閒火鍋露營	Mount Fuji and Easy Hotpot	후지산과 느긋한 전골 캠핑
17	野クルとソロキャンガール	野活組與單人露營女孩	The Outclub and the Solo Camper	야클과 솔로 캠핑 걸
18	二つのキャンプ、二人の景色	兩處露營，不同景色	Two Camps, Two Views	두 개의 캠핑, 두 사람의 풍경
19	お肉と紅葉と謎の湖	お肉と紅葉と謎の湖	お肉と紅葉と謎の湖	お肉と紅葉と謎の湖
20	湖畔の夜とキャンプの人々	湖畔の夜とキャンプの人々	湖畔の夜とキャンプの人々	湖畔の夜とキャンプの人々
21	テスト、カリブー、まんじゅううまい	テスト、カリブー、まんじゅううまい	テスト、カリブー、まんじゅううまい	テスト、カリブー、まんじゅううまい
22	なでしこナビと湯けむりの夜	なでしこナビと湯けむりの夜	なでしこナビと湯けむりの夜	なでしこナビと湯けむりの夜
23	旅下手さんとキャンプ会議	旅下手さんとキャンプ会議	旅下手さんとキャンプ会議	旅下手さんとキャンプ会議
24	クリキャン！	クリキャン！	クリキャン！	クリキャン！
25	ふじさんとゆるキャンガール	ふじさんとゆるキャンガール	ふじさんとゆるキャンガール	ふじさんとゆるキャンガール
26	0	0	0	0
