id	ja	zh-TW	en	ko
1	あいうえお◯◯◯◯◯◯◯◯◯◯◯	あいうえお◯◯◯◯◯◯◯◯◯◯◯	あいうえお◯◯◯◯◯◯◯◯◯◯◯	あいうえお◯◯◯◯◯◯◯◯◯◯◯
2	かきくけこ◯◯◯◯◯◯◯◯◯◯◯	かきくけこ◯◯◯◯◯◯◯◯◯◯◯	かきくけこ◯◯◯◯◯◯◯◯◯◯◯	かきくけこ◯◯◯◯◯◯◯◯◯◯◯
3	さしすせそ◯◯◯◯◯◯◯◯◯◯◯	さしすせそ◯◯◯◯◯◯◯◯◯◯◯	さしすせそ◯◯◯◯◯◯◯◯◯◯◯	さしすせそ◯◯◯◯◯◯◯◯◯◯◯
4	たちつてと◯◯◯◯◯◯◯◯◯◯◯	たちつてと◯◯◯◯◯◯◯◯◯◯◯	たちつてと◯◯◯◯◯◯◯◯◯◯◯	たちつてと◯◯◯◯◯◯◯◯◯◯◯
5	なにぬねの◯◯◯◯◯◯◯◯◯◯◯	なにぬねの◯◯◯◯◯◯◯◯◯◯◯	なにぬねの◯◯◯◯◯◯◯◯◯◯◯	なにぬねの◯◯◯◯◯◯◯◯◯◯◯
6	はひふへほ◯◯◯◯◯◯◯◯◯◯◯	はひふへほ◯◯◯◯◯◯◯◯◯◯◯	はひふへほ◯◯◯◯◯◯◯◯◯◯◯	はひふへほ◯◯◯◯◯◯◯◯◯◯◯
7	まみむめも◯◯◯◯◯◯◯◯◯◯◯	まみむめも◯◯◯◯◯◯◯◯◯◯◯	まみむめも◯◯◯◯◯◯◯◯◯◯◯	まみむめも◯◯◯◯◯◯◯◯◯◯◯
8	うーん…	嗯──……	Hrm...	으음…
9	えーっと…	那個……	So...	그러니까…
10	うーん	嗯──	Err...	으음…
11	いやまてよ…	不，妳等一下……	Hey, wait...	아니, 잠깐…
12	ちょっと待てよ…	等一下啦……	Hey...	잠깐만…
13	どないしよか…	怎麼辦呢……	What to do...	우야꼬…
14	せやなぁ…	我想想啊……	Well...	그러네…
15	どうしよう	怎麼辦呢。	What now?	어쩌지
