id	ja	zh-TW	en	ko
0	0	0	0	0
1	イベントヘルプ・注意事項	活動幫助・注意事項	Event Help & Precautions	이벤트 도움말・주의 사항
2	利用規約	使用條款	Terms of Use	이용 약관
3111	"お知らせをよく確認して
 レポキャンに最適な
 野外活動レポートを準備してくれ！"	"仔細確認公告內容
準備好適合於「報告露營」的
最佳野外活動報告書吧！"	"Check the notice
Prepare the best Report for RepoCamp!"	"공지사항을 꼼꼼히 확인한다음 
「리포트캠핑」에 가장 적합한
야외활동 리포트 준비!"
3112	"お知らせをよく確認して
 レポキャンに最適な
 野外活動レポートを準備してくれ！"	"仔細確認公告內容
準備好適合於「報告露營」的
最佳野外活動報告書吧！"	"Check the notice
Prepare the best Report for RepoCamp!"	"공지사항을 꼼꼼히 확인한다음 
「리포트캠핑」에 가장 적합한
야외활동 리포트 준비!"
3113	"お知らせをよく確認して
 レポキャンに最適な
 野外活動レポートを準備してくれ！"	"仔細確認公告內容
準備好適合於「報告露營」的
最佳野外活動報告書吧！"	"Check the notice
Prepare the best Report for RepoCamp!"	"공지사항을 꼼꼼히 확인한다음 
「리포트캠핑」에 가장 적합한
야외활동 리포트 준비!"
3121	"よろしく頼むぞ
 諸君のイキゴミを選んでくれ！"	"好~現在
選擇參加意願！"	Choose your Enthusiasm!	"자, 그럼 먼저 
참가 각오을 선택해 볼까"
3122	ゆる～く参加！は中級者向けだぞ	輕鬆派！這是給中級者的。	Join Leisurely! For intermediates.	중급자는 느긋하게!
3123	"ガチッと参加！は上級者向けだ
 報酬も豪華だぞ"	"認真派！是給上級者的
獎勵也很豪華喔"	"Join Seriously! For experts.
Great rewards!"	"고급자는 진지하게!
보상도 좋아."
3131	"あつい・あそぶが得意な 
 野外活動レポートを投稿しよう！"	"發佈擅長熱・玩適性的
野外活動報告書吧！"	"Good at Hot・Play
Post your Report!"	"더위・놀다 적성에 능숙한
리포트를 게시!"
3132	"3回勝つと報酬が豪華な
 【カリブー】クラスで2回戦進出だ"	"贏三次，在【卡力布】級別進入第2輪
獎勵會很豪華喔"	"If win three times, will be in the [Caribou] class 
advance to the second round"	"3승하면 보상이 보다 좋은 
【카리부】클래스에서 2라운드 진출!"
3133	忘れるなよー	不要忘了喔ー	Don't forget.	잊지 마!
3141	決勝進出目指してがんばろう！	目標是進入決賽！	Aim for the finals!	결승 진출을 목표로 힘내자!
3142	"勝てない時はレポートを作り直そう
 「夏の海でスイカ割り」
 がおすすめだ！"	"如果不能贏，就重做報告書
推薦「夏天的海邊劈西瓜」喔"	"If you can't win,
redo the Report. Try 'Watermelon Split'"	"이기기 어려울땐 리포트를 다시 작성해봐!
'여름 해변에서 수박깨기'가 좋을듯한데"
3143	よーし これで決まりだー！	OK，就這麽定了！	Settled!	오케이, 이제 결정됐다!
3151	"決勝戦で使う野外活動レポートを
 登録してしばしまたれよ"	"登錄好用於決賽的野外活動報告書
稍作等待吧"	"Register Finals Report
Wait a moment."	"결승전에서 사용할 리포트를 등록하고
잠깐 기다려"
