id	ja	zh-TW	en	ko
1001	テストガチャ	テストガチャ(TW)	テストガチャ(EN)	テストガチャ(KO)
1002	チュートリアル専用ガチャ(コスチューム)	教學專用轉蛋（服裝）	Tutorial Exclusive Gacha (Costume)	튜토리얼 전용 뽑기 (코스튬)
1003	チュートリアル専用ガチャ（サポートカード）	教學專用轉蛋（輔助卡）	Tutorial Exclusive Gacha (Support Card)	튜토리얼 전용 뽑기 (서포트 카드)
1004	チュートリアル専用ガチャ（なでしこ）	教學專用轉蛋（服裝）	Tutorial Exclusive Gacha (Costume)	튜토리얼 전용 뽑기 (코스튬)
1005	チュートリアル専用ガチャ（リン）	教學專用轉蛋（服裝）	Tutorial Exclusive Gacha (Costume)	튜토리얼 전용 뽑기 (코스튬)
1006	チュートリアル専用ガチャ（千明）	教學專用轉蛋（服裝）	Tutorial Exclusive Gacha (Costume)	튜토리얼 전용 뽑기 (코스튬)
1007	チュートリアル専用ガチャ（あおい）	教學專用轉蛋（服裝）	Tutorial Exclusive Gacha (Costume)	튜토리얼 전용 뽑기 (코스튬)
1008	チュートリアル専用ガチャ（恵那）	教學專用轉蛋（服裝）	Tutorial Exclusive Gacha (Costume)	튜토리얼 전용 뽑기 (코스튬)
1009	【テンプレ】有償ガチャ	【テンプレ】有償ガチャ(TW)	【テンプレ】有償ガチャ(EN)	【テンプレ】有償ガチャ(KO)
1010	【テンプレ】おまけ付きガチャ	【テンプレ】おまけ付きガチャ(TW)	【テンプレ】おまけ付きガチャ(EN)	【テンプレ】おまけ付きガチャ(KO)
1011	【テンプレ】セレクトパネルガチャ	【テンプレ】セレクトパネルガチャ(TW)	【テンプレ】セレクトパネルガチャ(EN)	【テンプレ】セレクトパネルガチャ(KO)
1012	【テンプレ】ボックスガチャ（ランクアップ式）	【テンプレ】ボックスガチャ（ランクアップ式）(TW)	【テンプレ】ボックスガチャ（ランクアップ式）(EN)	【テンプレ】ボックスガチャ（ランクアップ式）(KO)
1013	【テンプレ】チケットガチャ	【テンプレ】チケットガチャ(TW)	【テンプレ】チケットガチャ(EN)	【テンプレ】チケットガチャ(KO)
1014	【テンプレ】プレミアムガチャ	【テンプレ】プレミアムガチャ(TW)	【テンプレ】プレミアムガチャ(EN)	【テンプレ】プレミアムガチャ(KO)
1015	【テスト】確認用	【テスト】確認用(TW)	【テスト】確認用(EN)	【テスト】確認用(KO)
1016	【テンプレ】1枠★5確定	【テンプレ】1枠★5確定(TW)	【テンプレ】1枠★5確定(EN)	【テンプレ】1枠★5確定(KO)
1017	【テンプレ】1回限定★5確定	【テンプレ】1回限定★5確定(TW)	【テンプレ】1回限定★5確定(EN)	【テンプレ】1回限定★5確定(KO)
1018	【テンプレ】花嫁ガチャ	【テンプレ】花嫁ガチャ(TW)	【テンプレ】花嫁ガチャ(EN)	【テンプレ】花嫁ガチャ(KO)
1019	【テンプレ】メダルガチャ	【テンプレ】メダルガチャ(TW)	【テンプレ】メダルガチャ(EN)	【テンプレ】メダルガチャ(KO)
1020	【テンプレ】メダルガチャ(有償)	【テンプレ】メダルガチャ(有償)(TW)	【テンプレ】メダルガチャ(有償)(EN)	【テンプレ】メダルガチャ(有償)(KO)
1021	【テンプレ】ステップアップガチャ	【テンプレ】ステップアップガチャ(TW)	【テンプレ】ステップアップガチャ(EN)	【テンプレ】ステップアップガチャ(KO)
1022	【テンプレ】1日1回無料ガチャ	【テンプレ】1日1回無料ガチャ(TW)	【テンプレ】1日1回無料ガチャ(EN)	【テンプレ】1日1回無料ガチャ(KO)
1023	プレミアムガチャ	プレミアムガチャ(TW)	プレミアムガチャ(EN)	プレミアムガチャ(KO)
1024	期間限定ガチャ	期間限定ガチャ(TW)	期間限定ガチャ(EN)	期間限定ガチャ(KO)
1025	チケットガチャ	チケットガチャ(TW)	チケットガチャ(EN)	チケットガチャ(KO)
1026	オールインワン!!コスチュームガチャ	一體!!服裝轉蛋	All-in-One!!Costume Gacha	올인원!!코스튬 뽑기
1027	【テンプレ】コスチュームガチャテスト	【テンプレ】コスチュームガチャテスト(TW)	【テンプレ】コスチュームガチャテスト(EN)	【テンプレ】コスチュームガチャテスト(KO)
1028	【テンプレ】サポカガチャテスト	【テンプレ】サポカガチャテスト(TW)	【テンプレ】サポカガチャテスト(EN)	【テンプレ】サポカガチャテスト(KO)
1029	【テンプレ】コスチュームガチャテスト2	【テンプレ】コスチュームガチャテスト2(TW)	【テンプレ】コスチュームガチャテスト2(EN)	【テンプレ】コスチュームガチャテスト2(KO)
1030	【テンプレ】フィーバーガチャテスト	【テンプレ】フィーバーガチャテスト(TW)	【テンプレ】フィーバーガチャテスト(EN)	【テンプレ】フィーバーガチャテスト(KO)
1031	【テンプレ】1日1回有償ガチャ	一體!!服裝轉蛋	All-in-One!!Costume Gacha	올인원!!코스튬 뽑기
1032	つなげる!!サポートカードガチャ	連結!!輔助卡轉蛋	Connect!!Support Card Gacha	연결하다!!서포트 카드 뽑기
1033	野外活動コスチュームガチャ	野外活動服裝轉蛋	Outdoor Activity Costume Gacha	야외활동코스튬 뽑기
1034	[1回限り]★3確定スタートダッシュガチャ	[僅限1次]★3必出!!轉蛋起步衝刺	[One-time Only]★3 Ensured!! Gacha Start Dash	[1회 한정]★3 확정! 뽑기스타트 대시
1035	[1回限り]SR確定スタートダッシュガチャ	[僅限1次]SR必出 轉蛋起步衝刺	[One-time Only]SR Ensured Gacha Start Dash	[1회 한정]SR 확정 뽑기 스타트 대시
1036	★3確定チケットガチャ	★3必出！抽獎券轉蛋	★3 Ensured!Ticket Gacha	★3 확정!티켓 뽑기
1037	SR確定チケットガチャ	SR必出抽獎券轉蛋	SR Ensured Ticket Gacha	SR 확정 티켓 뽑기
1038	R以上確定チケットガチャ	R或以上必出抽獎券轉蛋	R or Higher Ensured Ticket Gacha	R 이상 확정 티켓 뽑기
1039	小田原キャンプコスチュームガチャ	小田原露營服裝轉蛋	Odawara Camp Costume Gacha	오다와라 캠핑코스튬 뽑기
1040	旅キャンはじまり！サポートカードガチャ	出發去旅遊露營！輔助卡轉蛋	Travel Camping Begins! Support Card Gacha	여행캠 시작! 서포트 카드 뽑기
1041	小田原キャンプコスチュームガチャ第2弾	小田原キャンプコスチュームガチャ第2弾(TW)	小田原キャンプコスチュームガチャ第2弾(EN)	小田原キャンプコスチュームガチャ第2弾(KO)
1042	旅キャンはじまり！サポートカードガチャ第2弾	旅キャンはじまり！サポートカードガチャ第2弾(TW)	旅キャンはじまり！サポートカードガチャ第2弾(EN)	旅キャンはじまり！サポートカードガチャ第2弾(KO)
1043	★2以上確定チケットガチャ	★2或以上必出抽獎券轉蛋	★2 or Higher Ensured Ticket Gacha	★2 이상 확정 티켓 뽑기
1044	海キャン水着コスチュームガチャ	海邊露營泳裝服裝轉蛋	Seaside Camp Swimsuit Costume Gacha	바다 캠핑 수영복 코스튬 뽑기
1045	夏だ！ビーチだ！海キャンだ！サポートカードガチャ	夏天！沙灘！海邊露營！輔助卡轉蛋	Sun, Sand, and Seaside Camp! Support Card Gacha	여름이다! 해변이다! 바다 캠핑이다! 서포트 카드 뽑기
1046	海キャン水着コスチュームガチャ第2弾	第2彈海邊露營泳裝服裝轉蛋	Part2 Seaside Camp Swimsuit Costume Gacha	제2탄 바다 캠핑 수영복 코스튬 뽑기
1047	人気サポートカードピックアップガチャ	熱門輔助卡牌精選轉蛋	Popular Support Card Pickup Gacha	인기 서포트 카드픽업 뽑기
1048	夏だ！ビーチだ！海キャンだ！サポートカードガチャ第2弾	第2彈夏天！沙灘！海邊露營！輔助卡轉蛋	Part2 Sun, Sand, and Seaside Camp! Support Card Gacha	제2탄 여름이다! 해변이다! 바다 캠핑이다! 서포트 카드 뽑기
1049	海キャン水着コスチュームガチャ第3弾	第3彈海邊露營泳裝服裝轉蛋	Part3 Seaside Camp Swimsuit Costume Gacha	제3탄 바다 캠핑 수영복 코스튬 뽑기
1050	絶対なでしこ育成MAXスペシャルガチャ	絕對撫子培育MAX特別轉蛋	Nadeshiko MAX Growth Special Gacha	절대 나데시코 육성 MAX스페셜 뽑기
1051	SR土岐綾乃PUサポートカードガチャ	SR土岐綾乃PU輔助卡轉蛋	SR Ayano Toki PU Support Card Gacha	SR도키 아야노PU서포트 카드 뽑기
1052	パジャマパーティーコスチュームガチャ	睡衣派對服裝轉蛋	Pyjama Party Costume Gacha	파자마 파티코스튬 뽑기
1053	千明★3確定ガチャ	★3必出！抽獎券轉蛋	★3 Ensured!Ticket Gacha	★3 확정!티켓 뽑기
1054	恵那★3確定ガチャ	★3必出！抽獎券轉蛋	★3 Ensured!Ticket Gacha	★3 확정!티켓 뽑기
2001	0	0(TW)	0(EN)	0(KO)
3002	チュートリアル中専用のガチャです。	這是教學期間專用的轉蛋。	This is a Gacha exclusively for use during the tutorial.	튜토리얼 중 전용 뽑기입니다.
3003	有償ガチャのテンプレです	有償ガチャのテンプレです(TW)	有償ガチャのテンプレです(EN)	有償ガチャのテンプレです(KO)
3004	おまけ付きガチャのテンプレです。1日1回無料付き	おまけ付きガチャのテンプレです。1日1回無料付き(TW)	おまけ付きガチャのテンプレです。1日1回無料付き(EN)	おまけ付きガチャのテンプレです。1日1回無料付き(KO)
3005	セレクトパネルガチャのテンプレです。	セレクトパネルガチャのテンプレです。(TW)	セレクトパネルガチャのテンプレです。(EN)	セレクトパネルガチャのテンプレです。(KO)
3006	ランクアップ式のボックスガチャです。	ランクアップ式のボックスガチャです。(TW)	ランクアップ式のボックスガチャです。(EN)	ランクアップ式のボックスガチャです。(KO)
3007	チケットガチャのテンプレです	チケットガチャのテンプレです(TW)	チケットガチャのテンプレです(EN)	チケットガチャのテンプレです(KO)
3008	通常ガチャのテンプレです。	通常ガチャのテンプレです。(TW)	通常ガチャのテンプレです。(EN)	通常ガチャのテンプレです。(KO)
3009	連ガチャ無料の確認用ガチャです。	連ガチャ無料の確認用ガチャです。(TW)	連ガチャ無料の確認用ガチャです。(EN)	連ガチャ無料の確認用ガチャです。(KO)
3010	★5確定枠があるガチャのテンプレです。	★5確定枠があるガチャのテンプレです。(TW)	★5確定枠があるガチャのテンプレです。(EN)	★5確定枠があるガチャのテンプレです。(KO)
3011	1回限定★5確定ガチャのテンプレです。	1回限定★5確定ガチャのテンプレです。(TW)	1回限定★5確定ガチャのテンプレです。(EN)	1回限定★5確定ガチャのテンプレです。(KO)
3012	花嫁ガチャのテンプレです。	花嫁ガチャのテンプレです。(TW)	花嫁ガチャのテンプレです。(EN)	花嫁ガチャのテンプレです。(KO)
3013	メダルガチャのテンプレです。	メダルガチャのテンプレです。(TW)	メダルガチャのテンプレです。(EN)	メダルガチャのテンプレです。(KO)
3014	メダルガチャ（有償）のテンプレです。	メダルガチャ（有償）のテンプレです。(TW)	メダルガチャ（有償）のテンプレです。(EN)	メダルガチャ（有償）のテンプレです。(KO)
3015	ステップアップガチャのテンプレです。	ステップアップガチャのテンプレです。(TW)	ステップアップガチャのテンプレです。(EN)	ステップアップガチャのテンプレです。(KO)
3016	1日1回無料ガチャのテンプレです。	1日1回無料ガチャのテンプレです。(TW)	1日1回無料ガチャのテンプレです。(EN)	1日1回無料ガチャのテンプレです。(KO)
3017	プレミアムガチャです。	プレミアムガチャです。(TW)	プレミアムガチャです。(EN)	プレミアムガチャです。(KO)
3018	期間限定ガチャです。	期間限定ガチャです。(TW)	期間限定ガチャです。(EN)	期間限定ガチャです。(KO)
3019	チケットガチャです。	チケットガチャです。(TW)	チケットガチャです。(EN)	チケットガチャです。(KO)
3020	"ガチャ50回100回200回で
<color=""red"">★3確定！ガチャメダル250枚</color>
で<color=""red"">好きな★3交換可能！</color>"	"在轉蛋50次、100次、200次時
<color=""red"">★3確定！轉蛋獎牌250枚</color>
可以<color=""red"">兌換你喜歡的★3！</color>"	"At 50, 100, and 200 gacha pulls
<color=""red"">★3 Guaranteed! 250 Gacha Medals</color>
which can be <color=""red"">exchanged for a ★3 of your choice!</color>"	"뽑기 50회, 100회, 200회에서
<color=""red"">★3 확정! 뽑기 메달 250개</color>
로 <color=""red"">원하는 ★3코스튬 교환 가능!</color>"
3021	コスチュームガチャのテスト用データです	コスチュームガチャのテスト用データです(TW)	コスチュームガチャのテスト用データです(EN)	コスチュームガチャのテスト用データです(KO)
3022	サポートカードガチャのテスト用データです	サポートカードガチャのテスト用データです(TW)	サポートカードガチャのテスト用データです(EN)	サポートカードガチャのテスト用データです(KO)
3023	ガチャフィーバーのテスト用データです	ガチャフィーバーのテスト用データです(TW)	ガチャフィーバーのテスト用データです(EN)	ガチャフィーバーのテスト用データです(KO)
3024	1日1回有償ガチャのテンプレです	"在轉蛋50次、100次、200次時
<color=""red"">★3確定！轉蛋獎牌250枚</color>
可以<color=""red"">兌換你喜歡的★3！</color>"	"At 50, 100, and 200 gacha pulls
<color=""red"">★3 Guaranteed! 250 Gacha Medals</color>
which can be <color=""red"">exchanged for a ★3 of your choice!</color>"	"뽑기 50회, 100회, 200회에서
<color=""red"">★3 확정! 뽑기 메달 250개</color>
로 <color=""red"">원하는 ★3코스튬 교환 가능!</color>"
3025	"ガチャ50回100回200回で
<color=""red"">SR確定！ガチャメダル250枚</color>
で<color=""red"">好きなSR交換可能！</color>"	"轉蛋50次，100次，200次
<color=""red"">SR確定！轉蛋獎牌250枚</color>
可以<color=""red"">兌換喜歡的SR！</color>"	"Gacha 50 times, 100 times, 200 times to get
<color=""red"">SR Guaranteed! 250 Gacha Medals</color>
which you can use to <color=""red"">exchange for an SR of your choice!</color>"	"뽑기 50회, 100회, 200회에서
<color=""red"">SR 확정! 뽑기 메달 250개</color>
<color=""red"">로 원하는 SR카드 교환 가능!</color>"
3026	"<color=""red"">野外活動計画</color>でチケットを獲得
しよう！<color=""red"">ガチャメダル50枚</color>で
好きな<color=""red"">★3と交換可能！</color>"	"在<color=""red"">野外活動計劃</color>中獲得門票
吧！用<color=""red"">50個扭蛋勳章</color>可以
兌換你喜歡的<color=""red"">★3！</color>"	"Earn tickets in the <color=""red"">Outdoor Activity Plan</color>!
With <color=""red"">50 Gacha Medals</color>, you
 can exchange for your favorite <color=""red"">★3!</color>"	"<color=""red"">야외 활동 계획</color>에서 티켓을 획득
하세요! <color=""red"">뽑기 메달 50개</color>로
선호하는 <color=""red"">★3코스튬 교환 가능!</color>"
3027	"<color=""red"">★３コスチューム必ず手に入る!</color>
ゆるコイン(金)限定
１回限定のお得なガチャです！"	"<color=""red"">★3服裝一定能得到！</color>
悠遊幣（金）限定
是一次限定的划算轉蛋！"	"<color=""red"">Get a ★3 costume guaranteed!</color>
Yuru Coins (Gold) only
This is a one-time special offer Gacha!"	"<color=""red"">★3 코스튬 반드시 획득!</color>
유루코인(금) 한정
1회 한정 스페셜 뽑기입니다!"
3028	"<color=""red"">SRサポートカード必ず手に入る!</color>
ゆるコイン(金)限定
１回限定のお得なガチャです！"	"<color=""red"">SR輔助卡一定能得到！</color>
悠遊幣（金）限定
是一次限定的划算轉蛋！"	"<color=""red"">Get an SR Support Card guaranteed!</color>
Yuru Coins (Gold) only
This is a one-time special offer Gacha!"	"<color=""red"">SR 서포트 카드 반드시 획득!</color>
유루코인(금) 한정
1회 한정 스페셜 뽑기입니다!"
3029	"<color=""red"">★3コスチュームが手に入る！</color>
★3確定ガチャチケ専用の
ガチャです"	"<color=""red"">可以獲得★3服裝！</color>
是專用於★3確定轉蛋券的
轉蛋！"	"<color=""red"">Get a ★3 costume!</color>
This Gacha is exclusive for
★3 Guaranteed Gacha Tickets!"	"<color=""red"">★3 코스튬을 획득할 수 있습니다!</color>
★3 확정 뽑기 티켓 전용
뽑기입니다!"
3030	"<color=""red"">SRサポートカードが手に入る！</color>
SR確定ガチャチケ専用の
ガチャです"	"<color=""red"">可以獲得SR輔助卡！</color>
是專用於SR確定轉蛋券的
轉蛋！"	"<color=""red"">Get an SR Support Card!</color>
This Gacha is exclusive for
SR Guaranteed Gacha Tickets!"	"<color=""red"">SR 서포트 카드를 획득할 수 있습니다!</color>
SR 확정 뽑기 티켓 전용
뽑기입니다!"
3031	"<color=""red"">R以上サポートカード手に入る</color>
R以上確定ガチャチケ専用の
ガチャです"	"<color=""red"">可以獲得R以上的輔助卡</color>
是專用於R以上確定轉蛋券的
轉蛋！"	"<color=""red"">Get an R or higher Support Card</color>
This Gacha is exclusive for
R or higher Guaranteed Gacha Tickets!"	"<color=""red"">R 이상 서포트 카드를 획득합니다</color>
R 이상 확정 뽑기 티켓 전용
뽑기입니다!"
3032	"<color=""red"">★2以上コスチューム手に入る</color>
★2以上確定ガチャチケ専用の
ガチャです"	"<color=""red"">可以獲得★2以上的服裝</color>
是專用於★2以上確定轉蛋券的
轉蛋！"	"<color=""red"">Get a ★2 or higher costume</color>
This Gacha is exclusive for
★2 or higher Guaranteed Gacha Tickets!"	"<color=""red"">★2 이상 코스튬을 획득합니다</color>
★2 이상 확정 뽑기 티켓 전용
뽑기입니다!"
3033	"ガチャ50回100回200回で
<color=""red"">★3確定！ガチャメダル250枚</color>
で<color=""red"">ピックアップ★3交換可能！</color>"	"在轉蛋50次、100次、200次時
<color=""red"">★3確定！轉蛋獎牌250枚</color>
可以<color=""red"">兌換你喜歡的★3！</color>"	"At 50, 100, and 200 gacha pulls
<color=""red"">★3 Guaranteed! 250 Gacha Medals</color>
which can be <color=""red"">exchanged for a ★3 of your choice!</color>"	"뽑기 50회, 100회, 200회에서
<color=""red"">★3 확정! 뽑기 메달 250개</color>
로 <color=""red"">원하는 ★3코스튬 교환 가능!</color>"
3034	"ガチャ50回100回200回で
<color=""red"">SR確定！ガチャメダル250枚</color>
で<color=""red"">ピックアップSR交換可能！</color>"	"轉蛋50次，100次，200次
<color=""red"">SR確定！轉蛋獎牌250枚</color>
可以<color=""red"">兌換喜歡的SR！</color>"	"Gacha 50 times, 100 times, 200 times to get
<color=""red"">SR Guaranteed! 250 Gacha Medals</color>
which you can use to <color=""red"">exchange for an SR of your choice!</color>"	"뽑기 50회, 100회, 200에서
<color=""red"">SR 확정! 뽑기 메달 250개</color>
<color=""red"">로 원하는 SR카드 교환 가능!</color>"
