id	ja	zh-TW	en	ko
1010	テント	帳篷	Tent	텐트
1011	テント	帳篷	Tent	텐트
1012	タープ	天幕	Tarp	타프
1013	ガーランド	旗幟掛飾	Garland	갈런드
1020	チェア／テーブル	椅子/桌子	Chairs/Tables	의자/테이블
1021	ローチェア	低腳椅	Camping Chair	로우 체어
1022	ハイチェア	高腳椅	High Chair	하이 체어
1023	ローテーブル	矮桌	Low Table	로우 테이블
1024	テーブル	桌子	Tables	테이블
1030	クッカー	炊具	Cookers	밥솥
1031	鍋類	壺和鍋	Pots and pans	냄비류
1032	コップ	杯子	Cups	컵
1033	皿類	碗碟	Plates	접시류
1034	コンロ	瓦斯爐	Stoves	곤로
1040	焚火	篝火	Campfires	모닥불
1041	焚火	篝火	Campfires	모닥불
1042	焚火台	篝火台	Fire Pit	모닥불 받침대
1050	照明器具	照明器具	Lighting fixtures	조명기구
1051	照明器具	照明器具	Lighting fixtures	조명기구
1060	シュラフ	睡袋	Sleeping Bag	침낭
1061	シュラフ	睡袋	Sleeping Bag	침낭
1070	フィールドギア	野外用品	Field Gear	필드 기어
1071	シート類	野餐墊	Sheets	시트류
1072	乗り物	車輛	Vehicles	놀이기구
1073	ケース	箱子	Cases	케이스
1074	ツール	工具類	Tools	공구
1075	キャリー	載具	Carry	캐리
1076	その他	其他的	Other	기타
1080	料理	烹飪	Cooking	요리
1081	肉・魚	肉類/魚類	Meat & Fish	고기, 생선
1082	野菜	蔬菜	Vegetables	야채
1083	パン・ご飯	麵包/米飯	Bread & Rice	빵, 밥
1084	鍋	火鍋	Hot Pot	전골
1085	麺	麵條	Noodles	국수
1086	その他	其他的	Other	기타
1090	ペットギア	寵物用品	Pet Gear	반려동물 용품
1091	ペットギア	寵物用品	Pet Gear	반려동물 용품
10001	リンのテント	凜的帳篷	Rin's Tent	린의 텐트
10002	野クルのテント（オレンジ）	野活組的帳篷（橘色）	Outclub Tent (OR)	야클 텐트(오렌지)
10003	ロッジテント	小屋帳	Lodge Tent	로지 텐트
10004	ドームテント	圓頂帳	Dome Tent	돔 텐트
10005	Ａフレームテント	A型帳	A-Frame Tent	A 프레임 텐트
10006	ワンタッチテント	一鍵式速搭帳	Inflatable Tent	원터치 텐트
10007	鳥羽先生の妹のテント	鳥羽老師的妹妹的帳篷	Ms. Toba's Sister's Tent	토바 선생님 여동생의 텐트
10008	ファミリーテント	家庭帳	Family Tent	패밀리 텐트
10009	ヒーター付きテント	附暖爐帳篷	Heated Tent	히터 달린 텐트
10010	自転車用キャンピングカー	自行車用露營車	Bicycle Camper	자전거용 캠핑카
10011	スノーテント	雪地帳	Snow Tent	스노우 텐트
10012	ドギーテント	狗狗帳	Doggy Tent	도기 텐트
10013	飯田さんのテント	飯田先生的帳篷	Ida's Tent	이이다 씨의 텐트
