id	ja	zh-TW	en	ko
1	"ふぁあ……
おはよー"	"呼啊……
早安──"	"*yawn*
Gooood morning!"	"흐아암……
좋은 아침~"
2	"オムライスって
日本生まれなんだよね"	"蛋包飯啊
是從日本起源的喔。"	"Omelette rice came from Japan,
right?"	"오므라이스는
일본에서 발명한 요리래"
3	えーっと　今日の予定は…	我看看呐，今天預定要……	Let's see what I have to do today...	음~ 오늘의 일정은…
4	"お昼ごはん
おいしかったよー"	"午餐
很好吃喔──"	Lunch was so good!	"점심밥
맛있었어~"
5	"昔々　あるところに
なでしこという女の子が
おったんじゃ…"	"很久很久以前，在某個地方
有個名叫
撫子的女孩子……"	"A long time ago, in a faraway
place, there once lived a girl
named Nadeshiko..."	"옛날 옛날에 어떤 곳에
나데시코라는 여자애가
있었지…"
6	"あれって　もしかして…
タケノコ！？"	"那個該不會……
是竹筍耶！？"	"Hey...
Are these bamboo shoots?!"	"저거 혹시…
죽순 아니야!?"
7	"日が長く
なりましたなぁ…"	"白天開始
變長了呢……"	The days are so long...	"날이
길어졌구만요…"
8	"春野菜を使った　ごはん
いかがでしょーか？"	"要不要吃用春天蔬菜
做的料理啊？"	"I'm making rice with spring
veggies... Want some?"	"봄 채소로 만든 요리
어떠신가요~?"
9	"夕日を見ながら
まったりしよー"	"一起看著夕陽
悠閒一下吧──"	"Watching the sunset feels
so serene."	"노을을 보면서
느긋하게 있자~"
10	"まだ　夜は冷えるから…
じゃーん！
カイロを持ってきました！"	"晚上啊，還有一點涼……
鏘──！
我有帶暖暖包喔！"	"It's still pretty cold at
night... Ta-da! I brought heat
packs!"	"아직 밤에는 쌀쌀하니까…
짠~!
핫팩을 가져왔어요!"
11	"焚き火見てたら
眠くなってきた…"	"盯著篝火看啊
就開始睏了耶……"	"Staring at the campfire
makes me sleepy..."	"모닥불을 보고 있으니
갑자기 잠이 와…"
12	"ひゃあーっ
ランタンに　おっきい虫！"	"呀啊──
燈上面有好大隻的蟲！"	"Eeeek! There's a gigantic bug
flying around the lantern!"	"꺄악~!
랜턴에 큰 벌레가 있어!"
13	"朝から
あっつーい…"	"一大早而已
就好熱喔……"	"It's been scorching since
morning..."	"아침부터
더워…"
