id	ja	zh-TW	en	ko
1001	称号用アイテム	翻訳不要	翻訳不要	翻訳不要
1002	称号用アイテムです	翻訳不要	翻訳不要	翻訳不要
1011	称号用アイテム(テスト)	翻訳不要	翻訳不要	翻訳不要
1012	テスト用の称号です	翻訳不要	翻訳不要	翻訳不要
1031	旅キャンはじまり！RECAMPおだわら称号セット	旅遊露營的開始！RECAMP 小田原 稱號集	Beginning of Camping Trip！Recamp Odawara title set	여행 캠핑 시작！RECAMP 오다와라 칭호 세트
1032	称号+ステッカー+スタンプ+プロフィールアイテムが獲得できます	贏得頭銜、貼紙、表情和個人資料項目	Earn titles, stickers, emotes, and profile items	칭호, 스티커, 스탬프, 프로필 아이템을 획득할 수 있습니다.
1041	『大きな桜のレジャーシート』クラフト素材セット	“大號櫻花休閒床單”工藝材料套裝	"""Large cherry blossom leisure sheet"" craft material set"	「큰 벚꽃 레저 시트」공예 소재 세트
1042	"『大きな桜のレジャーシート』のクラフトに
必要な素材が獲得できます"	"您可以獲得製作
“大號櫻花休閒床單”所需的材料"	"You can get the materials necessary for crafting the 
""Large cherry blossom leisure sheet""."	"「큰 벚꽃 레저 시트」의 크래프트에 
필요한 소재를 획득할 수 있습니다"
1051	『ビーチボール』クラフト素材セット	“大號櫻花休閒床單”工藝材料套裝	"""Large cherry blossom leisure sheet"" craft material set"	「큰 벚꽃 레저 시트」공예 소재 세트
1052	"入手と同時に使用され、『ビーチボール』のクラフトに
必要な素材が獲得できます"	"您可以獲得製作
“大號櫻花休閒床單”所需的材料"	"You can get the materials necessary for crafting the 
""Large cherry blossom leisure sheet""."	"「큰 벚꽃 레저 시트」의 크래프트에 
필요한 소재를 획득할 수 있습니다"
1061	『ビーチボール』クラフト素材ボックス	牽手露營新手支援箱	Together Camp beginner box	츠나캠 초보자 응원 BOX
1062	"アイテム画面から使用すると
『ビーチボール』のクラフトに必要な素材が獲得できます"	獲得箱子裡的所有物品	Get all the items in the box	상자 안의 모든 아이템을 획득 가능
1071	『お祭りうちわ』クラフト素材ボックス	『祭典扇子』製作素材箱子	"""Festival Fan"" Craft Material Box"	『축제 부채』 크래프트 재료 박스
1072	"アイテム画面から使用すると
『お祭りうちわ』のクラフトに必要な素材が獲得できます"	獲得箱子裡的所有物品	Get all the items in the box	상자 안의 모든 아이템을 획득 가능
1081	第1回レポキャンふじさん級ステッカーセット	第一回 報告露營富士山級貼紙套裝	1st Report Camp Mt. Fuji Class Sticker Set	제1회 레포트 캠핑 후지산 등급 스티커 세트
1082	"アイテム画面から使用すると
ステッカーなどが獲得できます"	獲得箱子裡的所有物品	Get all the items in the box	상자 안의 모든 아이템을 획득 가능
1091	第1回レポキャンやまごや級ステッカーセット	第一回 報告露營山小屋級貼紙套裝	1st Report Camp Cabin Class Sticker Set	제1회 레포트 캠핑 산장 등급 스티커 세트
1101	第1回レポキャンテント級ステッカーセット	第一回 報告露營帳篷級貼紙套裝	1st Report Camp Tent Class Sticker Set	제1회 레포트 캠핑 텐트 등급 스티커 세트
1111	第1回レポキャン松ぼっくり級ステッカーセット	第一回 報告露營松果級貼紙套裝	1st Report Camp Pinecone Rank Sticker Set	제1회 레포트 캠핑 솔방울 등급 스티커 세트
1121	第1回レポキャン 1位 ステッカーセット	第一回 報告露營第一名 貼紙套裝	1st Report Camp 1st Place Sticker Set	제1회 레포트 캠핑 1위 스티커 세트
1131	第1回レポキャン 2位 ステッカーセット	第一回 報告露營第二名 貼紙套裝	1st Report Camp 2nd Place Sticker Set	제1회 레포트 캠핑 2위 스티커 세트
1141	第1回レポキャン 3位 ステッカーセット	第一回 報告露營 第三名 貼紙套裝	1st Report Camp 3rd Place Sticker Set	제1회 레포트 캠핑 3위 스티커 세트
1151	第1回レポキャン TOP5 ステッカーセット	第一回 報告露營 TOP5 貼紙套裝	1st Report Camp TOP 5 Sticker Set	제1회 레포트 캠핑 TOP5 스티커 세트
1161	第1回レポキャン TOP10 ステッカーセット	第一回 報告露營 TOP10 貼紙套裝	1st Report Camp TOP10 Sticker Set	제1회 레포트 캠핑 TOP10 스티커 세트
1171	第1回レポキャン TOP50 ステッカーセット	第一回 報告露營 TOP50 貼紙套裝	1st Report Camp TOP50 Sticker Set	제1회 레포트 캠핑 TOP50 스티커 세트
1181	第1回レポキャン TOP100 ステッカーセット	第一回 報告露營 TOP100 貼紙套裝	1st Report Camp TOP100 Sticker Set	제1회 레포트 캠핑 TOP100 스티커 세트
1191	『いが栗』クラフト素材ボックス	『板栗』製作素材箱子	"""Chestnut"" Craft Material Box"	『밤송이』 크래프트 재료 박스
1192	"アイテム画面から使用すると
『いが栗』のクラフトに必要な素材が獲得できます"	獲得箱子裡的所有物品	Get all the items in the box	상자 안의 모든 아이템을 획득 가능
10011	ユール	YURU	Yuru	유르
10012	カード強化などに使用する素材	用於增強卡的材料	Material used for enhancing cards	카드 강화에 필요한 재료
10021	ふじさん	富士山	Mt.Fuji	후지산
10022	交換所でアイテムと交換できるポイント	可以在交易所交換項目的點	"Points that can be exchanged
 for items at the exchange"	교환소에서 아이템과 바꿀수 있는 포인트
10031	金のふじさん	金色富士山	Gold Fuji	금빛 후지산
10041	フレンドポイント	好友P	Friend Points	친구 Pt
10051	おでかけコイン(銀)	外出幣（銀）	Outing Coin (Silver)	외출 코인(은)
10061	おでかけコイン(金)	翻訳不要	翻訳不要	翻訳不要
10071	虹のふじさん	彩虹富士山	Rainbow Fuji	무지개빛 후지산
10081	銀のツカぽん	銀色TUKAPON	Silver Tsukapon	은빛 츠카퐁
10091	金のツカぽん	金色TUKAPON	Gold Tsukapon	금빛 츠카퐁
10101	虹のツカぽん	彩虹TUKAPON	Rainbow Tsukapon	무지개빛 츠카퐁
10111	松ぼっくり	松果	Pinecone	솔방울
10121	ゆるすたポイント	YG P	Yurusta Point	유르스타 Pt
10141	サークルポイント	社團P	Circle Points	서클 Pt
10142	サークルショップでアイテムと交換できるポイント	可以在圈子店交換項目的點	"Points that can be exchanged
 for items at the Circle Shop"	서클숍에서 아이템과 교환 할 수있는 포인트
10151	フレンド	好友	Friend	친구
10152	フレンドになれる人数が1人分増える	可以成為朋友的人數增加一個	The number of people who can become friends increases by one.	친구를 1명 늘릴수 있는 포인트
11001	野外活動計画プレミアム	野外活動計畫保費	Outdoor activities plan Premium	야외 활동 계획 프리미엄
11002	野外活動計画プレミアムが解放される	野外活動計畫保費解鎖	Outdoor activities plan Premium Unlocked	야외활동계획 프리미엄이 해방
11011	もっと野外活動計画プレミアム	更多野外活動計畫保費	More Outdoor activities plan Premium	더 야외 활동 계획 프리미엄
11012	もっと野外活動計画プレミアムが解放される	更多野外活動計畫保費解鎖	More Outdoor activities plan Premium Unlocked	야외활동계획 플러스 프리미엄이 해방
20111	おしゃれ	時髦穿搭	Chicness	패션
20112	おしゃれが1増加する	時髦穿搭 增加了1	Increased Chicness by 1	패션이 1 증가
20121	おしゃれ(ブルー)	翻訳不要	翻訳不要	翻訳不要
20122	おしゃれ(ブルー)が1増加する	翻訳不要	翻訳不要	翻訳不要
20131	おしゃれ(レッド)	翻訳不要	翻訳不要	翻訳不要
20132	おしゃれ(レッド)が1増加する	翻訳不要	翻訳不要	翻訳不要
20141	おしゃれ(グリーン)	翻訳不要	翻訳不要	翻訳不要
20142	おしゃれ(グリーン)が1増加する	翻訳不要	翻訳不要	翻訳不要
20151	おしゃれ(オレンジ)	翻訳不要	翻訳不要	翻訳不要
20152	おしゃれ(オレンジ)が1増加する	翻訳不要	翻訳不要	翻訳不要
20211	おもいで	開心回憶	Memories	추억
20212	おもいでが1増加する	開心回憶 增加了1	Increased Memories by 1	추억이 1 증가
20221	おもいで(ピンク)	翻訳不要	翻訳不要	翻訳不要
20222	おもいで(ピンク)が1増加する	翻訳不要	翻訳不要	翻訳不要
20231	おもいで(レッド)	翻訳不要	翻訳不要	翻訳不要
20232	おもいで(レッド)が1増加する	翻訳不要	翻訳不要	翻訳不要
20241	おもいで(グリーン)	翻訳不要	翻訳不要	翻訳不要
20242	おもいで(グリーン)が1増加する	翻訳不要	翻訳不要	翻訳不要
20251	おもいで(オレンジ)	翻訳不要	翻訳不要	翻訳不要
20252	おもいで(オレンジ)が1増加する	翻訳不要	翻訳不要	翻訳不要
20311	じゅくれん	熟練度	Proficiency	숙련
20312	じゅくれんが1増加する	熟練度 增加了1	Increased Proficiency by 1	숙련도가 1 증가
20411	うでまえ	料理技術	Cookery	실력
20412	うでまえが1増加する	料理技術 增加了1	Increased Cookery by 1	실력이 1 증가
30001	【テスト】ランダムボックス	翻訳不要	翻訳不要	翻訳不要
30002	テスト用のランダムボックスです	翻訳不要	翻訳不要	翻訳不要
30021	フレンドボックスS	翻訳不要	翻訳不要	翻訳不要
30022	ボックス内のいずれか1種類のアイテムが獲得できる	您可以在箱中找到其中一件項目	You can get one of the items in the box	상자 안의 아이템 중 하나를 획득 가능
30031	フレンドボックスM	翻訳不要	翻訳不要	翻訳不要
30041	プレミアムボックス	翻訳不要	翻訳不要	翻訳不要
30042	ランダムで★3の限界突破素材が１種獲得できる	翻訳不要	翻訳不要	翻訳不要
30051	マイレージボックス(銅)	里程箱（銅）	Mileage Box (Bronze)	마일리지 박스(동)
30061	マイレージボックス(銀)	里程箱（銀）	Mileage Box (Silver)	마일리지 박스(은)
30071	マイレージボックス(金)	里程箱（金）	Mileage Box (Gold)	마일리지 박스(금)
30081	初心者応援ボックス	翻訳不要	翻訳不要	翻訳不要
30091	カード育成パック	翻訳不要	翻訳不要	翻訳不要
30111	素材ボックス	素材箱	Material Box	재료 상자
30121	食材ボックス	食材箱	Food Box	식재료 상자
30131	つなキャン初心者応援ボックス	牽手露營新手支援箱	Together Camp beginner box	츠나캠 초보자 응원 BOX
30132	ボックス内のすべてのアイテムが獲得できる	獲得箱子裡的所有物品	Get all the items in the box	상자 안의 모든 아이템을 획득 가능
30141	CM視聴ゆるコイン(銀)ボックス	CM觀看搖曳幣（銀）箱子	CM View YuruCoin (Silver) Box	CM 시청 유루코인(은) 박스
30171	ランクアップランダムBOX	提升階級隨機箱	Rank Up Random Box	랭크업 랜덤 박스
30181	『サバキャン水着』なでしこセット	『求生露營泳裝』撫子套裝	Nadeshiko Set	『서바캠 수영복』나데시코 세트
30191	『サバキャン水着』リンセット	『求生露營泳裝』凛套裝	Rin Set	『서바캠 수영복』린 세트
30201	『サバキャン水着』千明セット	『求生露營泳裝』千明套裝	Chiaki Set	『서바캠 수영복』치아키 세트
30211	『サバキャン水着』あおいセット	『求生露營泳裝』葵套裝	Aoi Set	『서바캠 수영복』아오이 세트
30221	『サバキャン水着』恵那セット	『求生露營泳裝』惠那套裝	Ena Set	『서바캠 수영복』에나 세트
30231	『サバキャン水着』なでしこのカケラBOX	『求生露營泳裝』撫子碎片盒子	Nadeshiko Fragment Box	『서바캠 수영복』나데시코 파편 박스
30241	『サバキャン水着』リンのカケラBOX	『求生露營泳裝』凛碎片盒子	Rin Fragment Box	『서바캠 수영복』린 파편 박스
30251	『サバキャン水着』千明のカケラBOX	『求生露營泳裝』千明碎片盒子	Chiaki Fragment Box	『서바캠 수영복』치아키 파편 박스
30261	『サバキャン水着』あおいのカケラBOX	『求生露營泳裝』葵碎片盒子	Aoi Fragment Box	『서바캠 수영복』아오이 파편 박스
30271	『サバキャン水着』恵那のカケラBOX	『求生露營泳裝』惠那碎片盒子	Ena Fragment Box	『서바캠 수영복』에나 파편 박스
30281	ゆるコインザクザクBOX	搖曳幣滿滿箱子	Yuru Coin Zakuzaku Box	유루코인 가득 BOX
30291	ランクアップランダムBOX(フル)	提升階級隨機箱(全)	Rank Up Random Box(Full)	랭크업 랜덤 박스(풀)
32121	ストキャンボックス(旅キャンはじまり！)	故事露營箱「出發去旅遊露營！」	"Story Camp Box""Travel Camping Begins!"""	"스토캠 상자""여행캠 시작!"""
37011	くじテスト	翻訳不要	翻訳不要	翻訳不要
37012	ランダムで「◯◯」が7～777個獲得できる	翻訳不要	翻訳不要	翻訳不要
40011	鍵(テスト)	翻訳不要	翻訳不要	翻訳不要
40012	(テストデータ)をいつでも１時間だけ解放できる	翻訳不要	翻訳不要	翻訳不要
41001	バズる予感	有爆紅的預感	Buzzing	버즈 예감
41002	ゆるスタグラムでやる気を絶好調にする	在Yurustagram中讓熱情保持絕佳狀態	Boosting morale on Yurustagram	유르스타그램에서 열정을 최고조로 끌어올리다
50011	マニュアル(テスト)	翻訳不要	翻訳不要	翻訳不要
50012	"指定したパズル玉・スキル玉・ギミックを
壊すことができる
※ギミックは1段階下げる効果"	翻訳不要	翻訳不要	翻訳不要
50021	コンティニューチケット	翻訳不要	翻訳不要	翻訳不要
50022	パズルでコンティニューができるチケット	翻訳不要	翻訳不要	翻訳不要
50031	スキップチケット	翻訳不要	翻訳不要	翻訳不要
50032	パズルでスキップができるチケット	翻訳不要	翻訳不要	翻訳不要
60011	AP1	AP1	AP1	AP1
60012	"キャンプをするのに必要な
APが1回復する"	恢復營地所需的 1 AP	Restores 1 AP needed to camp	캠핑에 필요한 AP가 1 회복
60031	AP3	AP3	AP3	AP3
60032	"キャンプをするのに必要な
APが3回復する"	恢復營地所需的 3 AP	Restores 3 AP needed to camp	캠핑에 필요한 AP가 3 회복
60051	AP5	AP5	AP5	AP5
60052	"キャンプをするのに必要な
APが5回復する"	恢復營地所需的 5 AP	Restores 5 AP needed to camp	캠핑에 필요한 AP가 5 회복
60101	AP10	AP10	AP10	AP10
60102	"キャンプをするのに必要な
APが10回復する"	恢復營地所需的 10 AP	Restores 10 AP needed to camp	캠핑에 필요한 AP가 10 회복
60201	AP20	AP20	AP20	AP20
60202	"キャンプをするのに必要な
APが20回復する"	恢復營地所需的 20 AP	Restores 20 AP needed to camp	캠핑에 필요한 AP가 20 회복
60301	AP30	AP30	AP30	AP30
60302	"キャンプをするのに必要な
APが30回復する"	恢復營地所需的 30 AP	Restores 30 AP needed to camp	캠핑에 필요한 AP가 30 회복
60601	AP60	AP60	AP60	AP60
60602	"キャンプをするのに必要な
APが60回復する"	恢復營地所需的 60 AP	Restores 60 AP needed to camp	캠핑에 필요한 AP가 60 회복
60901	AP90	AP90	AP90	AP90
60902	"キャンプをするのに必要な
APが90回復する"	恢復營地所需的 90 AP	Restores 90 AP needed to camp	캠핑에 필요한 AP가 90 회복
61011	AP1(1日限定)	翻訳不要	翻訳不要	翻訳不要
61051	AP5(1日限定)	翻訳不要	翻訳不要	翻訳不要
61501	AP150	AP150	AP150	AP150
61502	"キャンプをするのに必要な
APが150回復する"	恢復營地所需的 150 AP	Restores 150 AP needed to camp	캠핑에 필요한 AP가 150 회복
62011	YP1	YP1	YP1	YP1
62012	"ゆるすたぐらむをするのに必要な
YPが1回復する"	恢復Yurustagram所需的 1 YP	Restores 1 YP needed to Yurustagram	유르스타그램에 필요한 YP가 1 회복
62031	YP3	YP3	YP3	YP3
62032	"ゆるすたぐらむをするのに必要な
YPが3回復する"	恢復Yurustagram所需的 3 YP	Restores 3 YP needed to Yurustagram	유르스타그램에 필요한 YP가 3 회복
62051	YP5	YP5	YP5	YP5
62052	"ゆるすたぐらむをするのに必要な
YPが5回復する"	恢復Yurustagram所需的 5 YP	Restores 5 YP needed to Yurustagram	유르스타그램에 필요한 YP가 5 회복
62101	YP10	YP10	YP10	YP10
62102	"ゆるすたぐらむをするのに必要な
YPが10回復する"	恢復Yurustagram所需的 10 YP	Restores 10 YP needed to Yurustagram	유르스타그램에 필요한 YP가 10 회복
62201	YP20	YP20	YP20	YP20
62202	"ゆるすたぐらむをするのに必要な
YPが20回復する"	恢復Yurustagram所需的 20 YP	Restores 20 YP needed to Yurustagram	유르스타그램에 필요한 YP가 20 회복
62301	YP30	YP30	YP30	YP30
