id	ja	zh-TW	en	ko
101	キャンプ場	露營地	Camp Site	캠핑장
102	モデル地	動漫地點	Anime Location	애니메이션 위치
103	提携店舗	夥伴店	Partner Store	제휴점포
104	カテゴリ4	類別4	Category4	카테고리4
105	カテゴリ5	類別5	Category5	카테고리5
106	カテゴリ6	類別6	Category6	카테고리6
1001	北海道	北海道	Hokkaido	홋카이도
1002	青森県	青森縣	Aomori	아오모리현
1003	岩手県	岩手縣	Iwate	이와테현
1004	宮城県	宮城縣	Miyagi	미야기현
1005	秋田県	秋田縣	Akita	아키타현
1006	山形県	山形縣	Yamagata	야마가타현
1007	福島県	福島縣	Fukushima	후쿠시마현
1008	茨城県	茨城縣	Ibaraki	이바라키현
1009	栃木県	栃木縣	Tochigi	토치기현
1010	群馬県	群馬縣	Gunma	군마현
1011	埼玉県	埼玉縣	Saitama	사이타마현
1012	千葉県	千葉縣	Chiba	치바현
1013	東京都	東京都	Tokyo	도쿄도
1014	神奈川県	神奈川縣	Kanagawa	카나가와현
1015	新潟県	新潟縣	Niigata	니가타현
1016	富山県	富山縣	Toyama	토야마현
1017	石川県	石川縣	Ishikawa	이시카와현
1018	福井県	福井縣	Fukui	후쿠이현
1019	山梨県	山梨縣	Yamanashi	야마나시현
1020	長野県	長野縣	Nagano	나가노현
1021	岐阜県	岐阜縣	Gifu	기후현
1022	静岡県	靜岡縣	Shizuoka	시즈오카현
1023	愛知県	愛知縣	Aichi	아이치현
1024	三重県	三重縣	Mie	미에현
1025	滋賀県	滋賀縣	Shiga	시가현
1026	京都府	京都府	Kyoto	교토부
1027	大阪府	大阪府	Osaka	오사카부
1028	兵庫県	兵庫縣	Hyogo	효고현
1029	奈良県	奈良縣	Nara	나라현
1030	和歌山県	和歌山縣	Wakayama	와카야마현
1031	鳥取県	鳥取縣	Tottori	돗토리현
1032	島根県	島根縣	Shimane	시마네현
1033	岡山県	岡山縣	Okayama	오카야마현
1034	広島県	廣島縣	Hiroshima	히로시마현
