id	ja	zh-TW	en	ko
1	ログインボーナス	登入獎勵	Login Bonus	로그인 보너스
2	○○パス(30days)限定	〇〇通行證(30天)限定	〇〇 Pass (30 Days) Limited	〇〇 패스(30일)한정
3	フレッシュパス(10days)限定	新鮮通行證(10天)限定	Fresh Pass (10 Days) Limited	신선한 패스(10일)한정
4	レギュラーパス(10days)限定	常規通行證(10天)限定	Regular Pass (10 Days) Limited	정규 패스(10일)한정
5	特別な関係限定ログインボーナス	特別限定登入獎勵	Special Limited Login Bonus	특별한 관계 한정 로그인 보너스
6	3月ログインボーナス	3月登入獎勵	Mar. Login Bonus	3월 로그인 보너스
7	ゆるパス(30days)限定	搖曳通行證(30天)限定	Laid-Back Pass (30 Days) Limited	유루 패스(30일)한정
8	ゆるパスS(10days)限定	搖曳通行證S(10天)限定	Laid-Back Pass S (10Days)Limited	유루 패스S(10일)한정
9	ゆるパスM(10days)限定	搖曳通行證M(10天)限定	Laid-Back Pass M (10Days)Limited	유루 패스M(10일)한정
10	つなキャンスサービスタートログインボーナス	相約露營活動開始登入獎勵	Camp Together Start Login Bonus	츠나캠 서비스 시작 로그인 보너스
11	7月ログインボーナス	7月登入獎勵	Jul. Login Bonus	7월 로그인 보너스
12	リリース記念ログインボーナス第1弾	0	0	0
13	ゆるパス(7days)限定	0	0	0
14	リリース記念ログインボーナス第2弾	0	0	0
15	世界キャンプデー記念ログインボーナス	0	0	0
16	8月ログインボーナス	8月登入獎勵	Aug. Login Bonus	8월 로그인 보너스
17	9月ログインボーナス	9月登入獎勵	Sep. Login Bonus	9월 로그인 보너스
