id	ja	zh-TW	en	ko
1	0	0	0	0
2	つながり+1	關係+1	Relationship+1	관계+1
3	まんぞく+1	滿足+1	Satisfaction+1	만족+1
4	いごこち+1	舒適+1	Coziness+1	쾌적함+1
5	ぬくもり+1	溫暖+1	Warmth+1	따뜻함+1
6	いやし+1	治癒+1	Healing+1	치유+1
7	キャンプ開始時のつながりが+1される	露營開始時的關係+1	Relationship at camp start increases by +1	캠핑 시작 시 관계 +1 증가
8	キャンプ開始時のまんぞくが+1される	露營開始時滿足+1	Satisfaction at camp start increases by +1	캠핑 시작 시 만족 +1 증가
9	キャンプ開始時のいごこちが+1される	露營開始時的舒適+1	Coziness at camp start increases by +1	캠핑 시작 시 쾌적함+1 증가
10	キャンプ開始時のぬくもりが+1される	露營開始時的溫暖+1	Warmth at camp start increases by +1	캠핑 시작 시 따뜻함+1 증가
11	キャンプ開始時のいやしが+1される	露營開始時的治癒+1	Healing at camp start increases by +1	캠핑 시작 시 치유 +1 증가
10001	各務原	各務原	Kagamihara	카가미하라
10002	志摩	志摩	Shima	시마
10003	大垣	大垣	Ogaki	오가키
10004	犬山	犬山	Inuyama	이누야마
10005	斉藤	齊藤	Saito	사이토
10006	なでしこ	撫子	Nadeshiko	나데시코
10007	リン	凜	Rin	린
10008	千明	千明	Chiaki	치아키
10009	あおい	葵	Aoi	아오이
10010	恵那	惠那	Ena	에나
10011	各務原 なでしこ	各務原撫子	Nadeshiko Kagamihara	카가미하라 나데시코
10012	志摩 リン	志摩凜	Rin Shima	시마 린
10013	大垣 千明	大垣千明	Chiaki Ogaki	오가키 치아키
10014	犬山 あおい	犬山葵	Aoi Inuyama	이누야마 아오이
10015	斉藤 恵那	齊藤惠那	Ena Saito	사이토 에나
10016	○○	○○	○○	○○
10017	○○	○○	○○	○○
10018	○○	○○	○○	○○
10019	○○	○○	○○	○○
10020	○○	○○	○○	○○
10021	花守 ゆみり	花守由美裡	Hanamori Yumiri	하나모리 유미리
10022	東山 奈央	東山奈央	Nao Higashiyama	토야마 나오
10023	原 紗友里	原紗友里	Sayuri Hara	하라 사유리
10024	豊崎 愛生	豊崎愛生	Aki Toyosaki	토요사키 아키
10025	高橋 李依	高橋李依	Rie Takahashi	타카하시 리에
20001	"なでしこ「次のキャンプはいつにする？
計画立てたいな(*´v`*)」"	"撫子「下次露營想要哪天去啊？
想來規劃一下(*´v`*)」"	"Nadeshiko: ""When's the next camp? 
Let me do the planning! (*^ w ^*)"""	"나데시코 ""다음 캠핑은 언제 
갈래?같이 계획 세우자(*´v`*)"""
20002	リン「この前言ってたキャンプの話なんだけど…」	凜「上次說好要去露營的事啊……」	"Rin: ""About that camping trip 
we were planning the other day..."""	"린 ""지난번에 했던 
캠핑 얘기 말인데…"""
20003	"あおい「いいキャンプ場見つけたんよ～
今度行きたいなぁ」"	"葵「我找到一個很棒的露營區囉～～
改天想要去看看耶」"	"Aoi: ""I found a great campsite! 
We should go there next!"""	"아오이 ""좋은 캠핑장을 
찾았데이~이번에 함 가보재이~"""
20004	"千明「野クル集合！！
次のキャンプの話しようぜ」"	"千明「野活組集合！！
來討論下次露營的事吧」"	"Chiaki: ""Outclub, assemble!! 
Time to talk about 
our next camping trip!"""	"치아키 ""야클 집합!!다음 
캠핑 계획을 세워보자구"""
20005	"恵那「ちょっと次のキャンプについて
相談したいんだけどいいかな？」"	"惠那「想要商量一下下次露營的事情，
現在方便嗎？」"	"Ena: ""I need some advice for 
the next camping trip."""	"에나 ""다음 캠핑 계획으로상담할 
게 있는데 괜찮을까?"""
20006	"なでしこ「面白いギアを見つけたよ！！
見に来ない？」"	"撫子「我找到一個有點厲害的用品！！
要不要來看看？」"	"Nadeshiko: ""I found some 
interesting gear! 
Come and see!"""	"나데시코 ""재미있는 기어를 
발견했어!!한번 보러 올래?"""
20007	"リン「次の週末晴れるかな？
キャンプ行きたいんだけど…」"	"凜「下個週末會不會放晴啊？
我想去露營耶……」"	"Rin: ""Is the weather next weekend 
good enough for camping?"""	"린 ""다음 주말은 
맑으려나?캠핑 가고 싶은데…"""
20008	"あおい「みんなでお茶飲んでるから
時間あったら来てなー」"	"葵「我跟大家在一起喝茶聊天
有空的話要不要過來啊──」"	"Aoi: ""We're having tea together. 
Drop by when you have some time!"""	"아오이 ""다 같이 티파티 
중이니께시간 있음 함 보러 오래이~"""
20009	"千明「キャンプの準備はバッチリだぜ！
いつでも声かけてくれよ☝(◔◞౪◟◔)☝」"	"千明「去露營的準備都搞定了！
要去的話隨時都可以
叫我哦☝(◔◞౪◟◔)☝」"	"Chiaki: ""Ready to camp! 
Just say the word! d(^3^)b"""	"치아키 ""캠핑 준비도 완벽히 
해놨어! 언제든지 출발 
가능하다구☝(◔◞౪◟◔)☝"""
20010	"恵那「おーい　元気？
また一緒にキャンプしたいな」"	"惠那「喂──最近還好嗎？
偶爾還想再一起去露營耶」"	"Ena: ""Hey, how're you? 
Well enough to come 
camping with us again?"""	"에나 ""안녕~ 잘 지내?또 
같이 캠핑하러 가고 싶어"""
20011	"なでしこ「新しいキャンプごはんの
レシピを考えてみたんだけど…」"	撫子「我想到了新的露營料理的食譜了……」	"Nadeshiko: ""So...I have this new 
camp food recipe that I wanna try..."""	"나데시코 ""새로운 캠핑 요리 
레시피를생각해 봤는데, 
같이 먹을래…?"""
20012	"リン「あのさ…いや　やっぱいいや
待ってるから」"	凜「我說啊……不，還是算了，我會等妳的」	"Rin: ""Hey, umm... You know what, 
nevermind. I'll wait."""	"린 ""저기… 아니, 
아무것도 아니야기다리고 있을게"""
20013	"あおい「忙しいみたいやね。
息抜きにキャンプせえへん？」"	"葵「妳好像很忙耶。
要不要去露營放鬆一下啊？」"	"Aoi: ""Been busy, huh? 
Going camping would be a nice break!"""	"아오이 ""요즘 바쁜 기 같데이.
휴식 겸해가 같이 캠핑 어떻나?"""
20014	"千明「応答せよ隊員！！
野クルは君を待ってるからな(゜∀゜)」"	"千明「隊員請回覆！！
野活組在等著妳哦(゜∀゜)」"	"Chiaki: ""Officer! 
Are you there, officer?! 
The Outclub awaits! (owo)"""	"치아키 ""대원, 응답하라!!야클은 
자네의 귀환을 기다린다(゜∀゜)"""
20015	"恵那「ちくわが会いに来てほしいみたい(＊´エ`＊)
今日時間あるかな？」"	"惠那「竹輪說想要妳
來陪牠玩喔(＊´エ`＊)
今天有空嗎？」"	"Ena: ""Chikuwa misses you! (*T_T*) 
You free to pop by today?"""	"에나 ""치쿠와가 
보고 싶대(＊´エ`＊)
혹시 오늘 시간 있어?"""
20016	"なでしこ「最近忙しいのかな？
時間があったらまたキャンプ行こうね(＞v＜)ﾉｼ」"	"撫子「最近是不是很忙啊？
等妳有空的時候再去露營吧(＞v＜)ﾉｼ」"	"Nadeshiko: ""Life can get so busy! 
But come camp with us again 
when you find some time! (>w<)/"""	"나데시코 ""요즘 많이 
바빠?시간 나면 같이 
캠핑하러 가자(＞v＜)ﾉｼ"""
20017	"リン「久しぶり。
もし時間あったら来てくれると嬉しいな」"	"凜「好久不見。
如果能抽空碰個面的話我會很開心的」"	"Rin: ""It's been a while. 
I really hope to see you again soon."""	"린 ""오랜만이야.
혹시 시간 나면 와줬으면 좋겠어"""
20018	"あおい「あきから面白い話聞いたんよ
気にならへん？」"	"葵「小明跟我講了一個很好笑的事耶。
想不想聽聽看？」"	"Aoi: ""I just heard 
a funny story from Aki. 
Do you wanna hear it too?"""	"아오이 ""아키한테 웃긴 얘기 
들었데이듣고 싶어지지 않나?"""
20019	"千明「元気してるか？
また野クルに遊びに来いよな」"	"千明「最近還好嗎？
偶爾也來野活組露個臉吧」"	"Chiaki: ""How are you? 
Looking forward to seeing you 
at the Outclub again!"""	"치아키 ""요즘 잘 지내고 있어?시간 
나면 야클에 또 놀러 오라구!"""
20020	"恵那「あなたはキャンプに行きたくなーる…なんてね。
待ってるよー（*’エ`）b」"	"惠那「妳突然變得很想去露營──
……開玩笑地啦。
隨時都等著妳哦──（*’エ`）b」"	"Ena: ""You will go camping… 
You WILL go camping! Did it work? 
Well, whenever you're free! (^3^)b"""	"에나 ""당신은 캠핑을 하러 
가고 싶어진다~장난이야, 
기다리고 있을게~（*’エ`）b"""
20021	"「あれ？　誰か来たみたいだ
待ち合わせしてたっけ…？」"	"「咦？好像有人來了
有約好見面嗎…？」"	"""Huh? Seems like someone's here.
Did I have a meetup...?"""	"""어? 누군가 온 것 같아
약속이 있었던 거야...?"""
