id	ja	zh-TW	en	ko
120001	記念撮影「ピース」	紀念拍照「V字形手勢」	"Commemorative Photo ""Peace"""	"기념 촬영 ""피스"""
120002	記念撮影「手を振る」	紀念拍照「揮手」	"Commemorative Photo: ""Wave Hand"""	"기념 촬영 ""손 흔들기"""
120003	記念撮影「大きく手を振る」	紀念拍照「大力挥手」	"Commemorative Photo: ""Wave Big"""	"기념 촬영 ""크게 손 흔들기"""
120004	記念撮影「遠くを見る」	紀念拍照「遠眺」	"Commemorative Photo: ""Looking Far Away"""	"기념 촬영 ""멀리 보기"""
120005	記念撮影「指さし」	紀念拍照「指向」	"Commemorative Photo ""Finger Pointing"""	"기념 촬영 ""손가락 가리키기"""
120006	記念撮影「見上げる」	紀念拍照「仰望」	"Commemorative Photo: ""Looking Up"""	"기념 촬영 ""올려다보기"""
120007	記念撮影「振り返る」	紀念拍照「回顧」	"Commemorative Photo ""Look Back"""	"기념 촬영 ""뒤돌아보기"""
120008	記念撮影「サムズアップ」	紀念拍照「讚好」	"Commemorative Photo: ""Thumbs Up"""	"기념 촬영 ""썸즈 업"""
120009	記念撮影「仁王立ち」	紀念拍照「仁王立姿」	"Commemorative Photo: ""Imposing stance"""	"기념 촬영 ""인왕 서"""
120010	記念撮影「おー！」	紀念拍照「哦！」	"Commemorative Photo ""Oh!"""	"기념 촬영 ""오!"""
120011	記念撮影「腕組み」	紀念拍照「交叉手臂」	"Commemorative Photo ""Arm Crossing"""	"기념 촬영 ""팔짱"""
120012	記念撮影「ガッツポーズ」	紀念拍照「加油姿勢」	"Commemorative Photo: ""Guts Pose"""	"기념 촬영 ""갓츠 포즈"""
120013	記念撮影「ピース（座り）」	紀念拍照「V字形手勢（坐姿）」	"Commemorative Photo: ""Peace (Sitting)"""	"기념 촬영 ""피스 (앉아)"""
120014	記念撮影「コップを持つ（座り）」	紀念拍照「拿著杯子（坐著）」	"Commemorative Photo: ""Holding a Cup (Sitting)"""	"기념 촬영 ""컵 들기 (앉아서)"""
120015	記念撮影「見上げる（座り）」	紀念拍照「仰望（坐著）」	"Commemorative Photo: ""Looking Up (Sitting)"""	"기념 촬영 ""올려다보기 (앉아)"""
120016	記念撮影「読書（座り）」	紀念拍照「閱讀（坐姿）」	"Commemorative Photo: ""Reading (Sitting)"""	"기념 촬영 ""독서 (앉아)"""
120017	記念撮影「手を振る（座り）」	紀念拍照「揮手（坐姿）」	"Commemorative Photo: ""Waving Hand (Sitting)"""	"기념 촬영 ""손 흔들기 (앉아서)"""
120018	記念撮影「手を振る（座り）」	紀念拍照「揮手（坐姿）」	"Commemorative Photo: ""Waving Hand (Sitting)"""	"기념 촬영 ""손 흔들기 (앉아서)"""
120019	記念撮影「ピース（座り）」	紀念拍照「V字形手勢（坐姿）」	"Commemorative Photo: ""Peace (Sitting)"""	"기념 촬영 ""피스 (앉아)"""
120020	記念撮影「コップを持つ（座り）」	紀念拍照「拿著杯子（坐著）」	"Commemorative Photo: ""Holding a Cup (Sitting)"""	"기념 촬영 ""컵 들기 (앉아서)"""
120021	記念撮影「見上げる（座り）」	紀念拍照「仰望（坐著）」	"Commemorative Photo: ""Looking Up (Sitting)"""	"기념 촬영 ""올려다보기 (앉아)"""
120022	記念撮影「読書（座り）」	紀念拍照「閱讀（坐姿）」	"Commemorative Photo: ""Reading (Sitting)"""	"기념 촬영 ""독서 (앉아)"""
120023	記念撮影「手を振る（座り）」	紀念拍照「揮手（坐姿）」	"Commemorative Photo: ""Waving Hand (Sitting)"""	"기념 촬영 ""손 흔들기 (앉아서)"""
120024	記念撮影「ピース（体育座り）」	紀念拍照「V字形手勢（體育坐姿）」	"Commemorative Photo: ""Peace (Sitting Gymnastics)"""	"기념 촬영 ""피스 (체육 앉기)"""
120025	記念撮影「コップを持つ（体育座り）」	紀念拍照「拿著杯子（體育坐姿）」	"Commemorative Photo: ""Holding a Cup (Sitting Gymnastics)"""	"기념 촬영 ""컵 들기 (체육 앉기)"""
120026	記念撮影「サムズアップ（体育座り）」	紀念拍照「竖大拇指（體育坐姿）」	"Commemorative Photo: ""Thumbs Up (Sitting Gymnastics)"""	"기념 촬영 ""썸즈 업 (체육 앉기)"""
120027	記念撮影「手を振る（体育座り）」	紀念拍照「揮手（體育坐姿）」	"Commemorative Photo: ""Wave Hand (Sitting Gymnastics)"""	"기념 촬영 ""손 흔들기 (체육 앉기)"""
120028	記念撮影「挙手（体育座り）」	紀念拍照「舉手（體育坐姿）」	"Commemorative Photo: ""Raise Hand (Gym Sit)"""	"기념 촬영 ""손 들기 (체육 앉기)"""
120029	記念撮影「おー！（体育座り）」	紀念拍照「哦！（體育坐姿）」	"Commemorative Photo: ""Ooh! (Sitting Gymnastics)"""	"기념 촬영 ""오! (체육 앉기)"""
120030	記念撮影「サンタクレンジャー」	紀念拍照「聖誕戰士」	"Commemorative Photo: ""Santa Ranger"""	"기념 촬영 ""산타 레인저"""
120031	記念撮影「キャンプ場開発」	紀念拍照「營地開發」	"Commemorative Photo: ""Campsite Development"""	"기념 촬영 ""캠프장 개발"""
120032	記念撮影「ゆるキャンポーズ」	紀念拍照「搖曳露營姿勢」	"Commemorative Photo: ""Laid-Back Camp Pose"""	"기념 촬영 ""유루캠프 포즈"""
120033	記念撮影「ふじさん」	紀念拍照「富士山」	"Commemorative Photo ""Mt. Fuji"""	"기념 촬영 ""후지산"""
120034	記念撮影「一人はみんなのため」	紀念拍照「一人為了大家」	"Commemorative Photo: ""One for All"""	"기념 촬영 ""한 명은 모두를 위해"""
120035	記念撮影「ブランケット」	紀念拍照「毯子」	"Commemorative Photo ""Blanket"""	"기념 촬영 ""블랭킷"""
130001	高彩度フィルター	高彩度濾鏡	High Saturation Filter	고품질 필터
130002	高コントラストフィルター	高對比濾鏡	High Contrast Filter	고컨트라스트 필터
130003	モノクロフィルター	單色濾鏡	Monochrome Filter	모노크롬 필터
130004	セピアフィルター	棕褐色濾鏡	Sepia Filter	세피아 필터
130007	レッド強調フィルター	紅色強調濾鏡	Red Emphasis Filter	레드 강조 필터
130008	ブルー強調フィルター	藍色強調濾鏡	Blue Emphasis Filter	블루 강조 필터
130009	グリーン強調フィルター	綠色強調濾鏡	Green Emphasis Filter	그린 강조 필터
149001	フレーム「ゆるキャン」	框架「搖曳露營」	"Frame ""Laid-Back Camp"""	"프레임 ""유루캠"""
149002	フレーム「ピンク」	框架「粉紅色」	"Frame ""Pink"""	"프레임 ""핑크"""
149003	フレーム「青」	框架「藍」	"Frame ""Blue"""	"프레임 ""파랑"""
149004	フレーム「赤」	框架「紅」	"Frame ""Red"""	"프레임 ""빨강"""
149005	フレーム「緑」	框架「綠」	"Frame ""Green"""	"프레임 ""녹색"""
