id	ja	zh-TW	en	ko
90001	ステッカー01（テスト用）	ステッカー01（テスト用）	ステッカー01（テスト用）	ステッカー01（テスト用）
90002	ステッカー02（テスト用）	ステッカー02（テスト用）	ステッカー02（テスト用）	ステッカー02（テスト用）
90003	ステッカー03（テスト用）	ステッカー03（テスト用）	ステッカー03（テスト用）	ステッカー03（テスト用）
90004	ステッカー04（テスト用）	ステッカー04（テスト用）	ステッカー04（テスト用）	ステッカー04（テスト用）
90005	ステッカー05（テスト用）	ステッカー05（テスト用）	ステッカー05（テスト用）	ステッカー05（テスト用）
90006	ステッカー06（テスト用）	ステッカー06（テスト用）	ステッカー06（テスト用）	ステッカー06（テスト用）
90007	ステッカー07（テスト用）	ステッカー07（テスト用）	ステッカー07（テスト用）	ステッカー07（テスト用）
90008	ステッカー08（テスト用）	ステッカー08（テスト用）	ステッカー08（テスト用）	ステッカー08（テスト用）
90009	ステッカー09（テスト用）	ステッカー09（テスト用）	ステッカー09（テスト用）	ステッカー09（テスト用）
90010	ステッカー10（テスト用）	ステッカー10（テスト用）	ステッカー10（テスト用）	ステッカー10（テスト用）
90018	プロフィールアイテム「ブロンズ会員」	個人資料項目「銅牌會員」	"""Bronze MBR"""	"프로필 아이템 ""브론즈 회원"""
90019	プロフィールアイテム「シルバー会員★」	個人資料項目「銀牌會員★」	"""Silver MBR ★"""	"프로필 아이템 ""실버 회원 ★"""
90020	プロフィールアイテム「シルバー会員★2」	個人資料項目「銀牌會員★2」	"""Silver MBR ★2"""	"프로필 아이템 ""실버 회원 ★2"""
90021	プロフィールアイテム「シルバー会員★3」	個人資料項目「銀牌會員★3」	"""Silver MBR ★3"""	"프로필 아이템 ""실버 회원 ★3"""
90022	プロフィールアイテム「シルバー会員★4」	個人資料項目「銀牌會員★4」	"""Silver MBR ★4"""	"프로필 아이템 ""실버 회원 ★4"""
90023	プロフィールアイテム「シルバー会員★5」	個人資料項目「銀牌會員★5」	"""Silver MBR ★5"""	"프로필 아이템 ""실버 회원 ★5"""
90024	プロフィールアイテム「ゴールド会員★」	個人資料項目「金牌會員★」	"""Gold MBR ★"""	"프로필 아이템 ""골드 회원 ★"""
90025	プロフィールアイテム「ゴールド会員★2」	個人資料項目「金牌會員★2」	"""Gold MBR ★2"""	"프로필 아이템 ""골드 회원 ★2"""
90026	プロフィールアイテム「ゴールド会員★3」	個人資料項目「金牌會員★3」	"""Gold MBR ★3"""	"프로필 아이템 ""골드 회원 ★3"""
90027	プロフィールアイテム「ゴールド会員★4」	個人資料項目「金牌會員★4」	"""Gold MBR ★4"""	"프로필 아이템 ""골드 회원 ★4"""
90028	プロフィールアイテム「ゴールド会員★5」	個人資料項目「金牌會員★5」	"""Gold MBR ★5"""	"프로필 아이템 ""골드 회원 ★5"""
90029	プロフィールアイテム「ブラック会員」	個人資料項目「黑牌會員」	"""Black MBR"""	"프로필 아이템 ""블랙 회원"""
100701	旅キャンはじまり！　RECAMPおだわら	ステッカー10（テスト用）	ステッカー10（テスト用）	ステッカー10（テスト用）
170201	プロフィールアイテム「夏だ！ビーチだ！海キャンだ！ 1位」	個人資料項目「夏天！沙灘！海邊露營！ 1位」	"""Sun, Sand, and Seaside Camp! 1st place"""	"프로필 아이템 ""여름이다! 해변이다! 바다 캠핑이다! 1위"""
170202	プロフィールアイテム「夏だ！ビーチだ！海キャンだ！ 2位」	個人資料項目「夏天！沙灘！海邊露營！ 2位」	"""Sun, Sand, and Seaside Camp! 2nd place"""	"프로필 아이템 ""여름이다! 해변이다! 바다 캠핑이다! 2위"""
170203	プロフィールアイテム「夏だ！ビーチだ！海キャンだ！ 3位」	個人資料項目「夏天！沙灘！海邊露營！ 3位」	"""Sun, Sand, and Seaside Camp! 3rd place"""	"프로필 아이템 ""여름이다! 해변이다! 바다 캠핑이다! 3위"""
170204	プロフィールアイテム「夏だ！ビーチだ！海キャンだ！ TOP5」	個人資料項目「夏天！沙灘！海邊露營！ TOP5」	"""Sun, Sand, and Seaside Camp! TOP5"""	"프로필 아이템 ""여름이다! 해변이다! 바다 캠핑이다! TOP5"""
