id	ja	zh-TW	en	ko
1	ダミークエスト	ダミークエスト	ダミークエスト	ダミークエスト
2	メインストーリー	メインストーリー	メインストーリー	メインストーリー
3	日替わりデート	日替わりデート	日替わりデート	日替わりデート
4	時間限定デート	時間限定デート	時間限定デート	時間限定デート
5	チュートリアル	チュートリアル	チュートリアル	チュートリアル
6	期間限定イベント	期間限定イベント	期間限定イベント	期間限定イベント
7	0	0	0	0
8	マスタの辻褄合わせに使用する仮クエスト	マスタの辻褄合わせに使用する仮クエスト	マスタの辻褄合わせに使用する仮クエスト	マスタの辻褄合わせに使用する仮クエスト
9	近日開催予定。開催までしばらくお待ちください	近日開催予定。開催までしばらくお待ちください	近日開催予定。開催までしばらくお待ちください	近日開催予定。開催までしばらくお待ちください
10	近日開催予定	近日開催予定	近日開催予定	近日開催予定
11	チュートリアル用のデータ	チュートリアル用のデータ	チュートリアル用のデータ	チュートリアル用のデータ
12	ー	ー	ー	ー
13	通常イベント（オールスター）	通常イベント（オールスター）	通常イベント（オールスター）	通常イベント（オールスター）
14	チームイベント（テスト）	チームイベント（テスト）	チームイベント（テスト）	チームイベント（テスト）
