id	ja	zh-TW	en	ko
1	【テスト用】報酬なし	【テスト用】報酬なし(TW)	【テスト用】報酬なし(EN)	【テスト用】報酬なし(KO)
2	【テスト用】アイテム	【テスト用】アイテム(TW)	【テスト用】アイテム(EN)	【テスト用】アイテム(KO)
3	【テスト用】カード	【テスト用】カード(TW)	【テスト用】カード(EN)	【テスト用】カード(KO)
4	【テスト用】HC	【テスト用】HC(TW)	【テスト用】HC(EN)	【テスト用】HC(KO)
5	【テスト用】プレイヤー経験値	【テスト用】プレイヤー経験値(TW)	【テスト用】プレイヤー経験値(EN)	【テスト用】プレイヤー経験値(KO)
6	【テスト用】カード経験値	【テスト用】カード経験値(TW)	【テスト用】カード経験値(EN)	【テスト用】カード経験値(KO)
7	【テスト用】ホーム背景	【テスト用】ホーム背景(TW)	【テスト用】ホーム背景(EN)	【テスト用】ホーム背景(KO)
8	【テスト用】ホーム写真	【テスト用】ホーム写真(TW)	【テスト用】ホーム写真(EN)	【テスト用】ホーム写真(KO)
9	【テスト用】欠番	【テスト用】欠番(TW)	【テスト用】欠番(EN)	【テスト用】欠番(KO)
10	【テスト用】習得アイテム	【テスト用】習得アイテム(TW)	【テスト用】習得アイテム(EN)	【テスト用】習得アイテム(KO)
11	【テスト用】？？？	【テスト用】？？？(TW)	【テスト用】？？？(EN)	【テスト用】？？？(KO)
12	【テスト用】スペシャルカード	【テスト用】スペシャルカード(TW)	【テスト用】スペシャルカード(EN)	【テスト用】スペシャルカード(KO)
13	【テスト用】抽選テスト1	【テスト用】抽選テスト1(TW)	【テスト用】抽選テスト1(EN)	【テスト用】抽選テスト1(KO)
14	【テスト用】抽選テスト2	【テスト用】抽選テスト2(TW)	【テスト用】抽選テスト2(EN)	【テスト用】抽選テスト2(KO)
15	【テスト用】5個報奨	【テスト用】5個報奨(TW)	【テスト用】5個報奨(EN)	【テスト用】5個報奨(KO)
16	【テスト用】スチル1	【テスト用】スチル1(TW)	【テスト用】スチル1(EN)	【テスト用】スチル1(KO)
17	【テスト用】スチル2	【テスト用】スチル2(TW)	【テスト用】スチル2(EN)	【テスト用】スチル2(KO)
18	【テスト用】スチル3	【テスト用】スチル3(TW)	【テスト用】スチル3(EN)	【テスト用】スチル3(KO)
19	【テスト用】スチル4	【テスト用】スチル4(TW)	【テスト用】スチル4(EN)	【テスト用】スチル4(KO)
20	【テスト用】スチル5	【テスト用】スチル5(TW)	【テスト用】スチル5(EN)	【テスト用】スチル5(KO)
21	【テスト用】スチル6	【テスト用】スチル6(TW)	【テスト用】スチル6(EN)	【テスト用】スチル6(KO)
22	【テスト用】スチル7	【テスト用】スチル7(TW)	【テスト用】スチル7(EN)	【テスト用】スチル7(KO)
23	【テスト用】スチル8	【テスト用】スチル8(TW)	【テスト用】スチル8(EN)	【テスト用】スチル8(KO)
24	【テスト用】スチル9	【テスト用】スチル9(TW)	【テスト用】スチル9(EN)	【テスト用】スチル9(KO)
25	【テスト用】スチル10	【テスト用】スチル10(TW)	【テスト用】スチル10(EN)	【テスト用】スチル10(KO)
26	【テスト用】スチル11	【テスト用】スチル11(TW)	【テスト用】スチル11(EN)	【テスト用】スチル11(KO)
27	【テスト用】スチル12	【テスト用】スチル12(TW)	【テスト用】スチル12(EN)	【テスト用】スチル12(KO)
28	【テスト用】スチル13	【テスト用】スチル13(TW)	【テスト用】スチル13(EN)	【テスト用】スチル13(KO)
29	【テスト用】スチル14	【テスト用】スチル14(TW)	【テスト用】スチル14(EN)	【テスト用】スチル14(KO)
30	【テスト用】シルバー会員	【テスト用】シルバー会員(TW)	【テスト用】シルバー会員(EN)	【テスト用】シルバー会員(KO)
31	【テスト用】ゴールド会員	【テスト用】ゴールド会員(TW)	【テスト用】ゴールド会員(EN)	【テスト用】ゴールド会員(KO)
32	【テスト用】プラチナ会員	【テスト用】プラチナ会員(TW)	【テスト用】プラチナ会員(EN)	【テスト用】プラチナ会員(KO)
33	【テスト用】AP5	【テスト用】AP5(TW)	【テスト用】AP5(EN)	【テスト用】AP5(KO)
34	【テスト用】AP10	【テスト用】AP10(TW)	【テスト用】AP10(EN)	【テスト用】AP10(KO)
35	【テスト用】AP20	【テスト用】AP20(TW)	【テスト用】AP20(EN)	【テスト用】AP20(KO)
36	【テスト用】お仕事報酬	【テスト用】お仕事報酬(TW)	【テスト用】お仕事報酬(EN)	【テスト用】お仕事報酬(KO)
37	【テスト用】○○パック(10days)	【テスト用】フレッシュパック(10days)(TW)	【テスト用】フレッシュパック(10days)(EN)	【テスト用】フレッシュパック(10days)(KO)
38	【テスト用】○○パック(30days)	【テスト用】レンカノパック(30days)(TW)	【テスト用】レンカノパック(30days)(EN)	【テスト用】レンカノパック(30days)(KO)
39	【テスト用】○○	【テスト用】一花(TW)	【テスト用】一花(EN)	【テスト用】一花(KO)
40	【テスト】コクハクステップ報酬です。	【テスト】コクハクステップ報酬です。(TW)	【テスト】コクハクステップ報酬です。(EN)	【テスト】コクハクステップ報酬です。(KO)
41	AP30	AP30(TW)	AP30(EN)	AP30(KO)
42	AP60	AP60(TW)	AP60(EN)	AP60(KO)
43	AP90	AP90(TW)	AP90(EN)	AP90(KO)
44	BP1	BP1(TW)	BP1(EN)	BP1(KO)
45	BP3	BP3(TW)	BP3(EN)	BP3(KO)
46	BP5	BP5(TW)	BP5(EN)	BP5(KO)
47	クラブポイントランクで獲得できる報酬です。	這是可以通過俱樂部點數階級獲得的獎勵。	These are the rewards that can be obtained through club point ranking.	클럽 포인트 랭크로 획득할 수 있는 보상입니다.
48	ガチャメダル(コスチューム)	ガチャメダル1(TW)	ガチャメダル1(EN)	ガチャメダル1(KO)
49	ガチャメダル(サポートカード)	ガチャメダル2(TW)	ガチャメダル2(EN)	ガチャメダル2(KO)
50	サークルログインボーナス	社團登入獎勵	Circle Login Bonus	서클 로그인 보너스
51	おしゃれ	おしゃれ(ピンク)(TW)	おしゃれ(ピンク)(EN)	おしゃれ(ピンク)(KO)
52	おもいで	おもいで(ピンク)(TW)	おもいで(ピンク)(EN)	おもいで(ピンク)(KO)
53	じゅくれん	じゅくれん(TW)	じゅくれん(EN)	じゅくれん(KO)
54	うでまえ	うでまえ(TW)	うでまえ(EN)	うでまえ(KO)
55	ゆるコイン(銀)	搖曳幣（銀）	YuruCoin (Silver)	유루코인(은)
56	★3カードの限界突破により獲得したアイテムです	★3カードの限界突破により獲得したアイテムです(TW)	★3カードの限界突破により獲得したアイテムです(EN)	★3カードの限界突破により獲得したアイテムです(KO)
57	★4カードの限界突破により獲得したアイテムです	★4カードの限界突破により獲得したアイテムです(TW)	★4カードの限界突破により獲得したアイテムです(EN)	★4カードの限界突破により獲得したアイテムです(KO)
58	★5カードの限界突破により獲得したアイテムです	★5カードの限界突破により獲得したアイテムです(TW)	★5カードの限界突破により獲得したアイテムです(EN)	★5カードの限界突破により獲得したアイテムです(KO)
59	称号用アイテムです	称号用アイテムです(TW)	称号用アイテムです(EN)	称号用アイテムです(KO)
60	プレミアムステップボックスから獲得したアイテムです。	プレミアムステップボックスから獲得したアイテムです。(TW)	プレミアムステップボックスから獲得したアイテムです。(EN)	プレミアムステップボックスから獲得したアイテムです。(KO)
