id	ja	zh-TW	en	ko
1	スタンプラリー1	集章活動1	Stamp Rally 1	스탬프 랠리 1
2	スタンプラリー2	集章活動2	Stamp Rally 2	스탬프 랠리 2
3	スタンプラリー3	集章活動3	Stamp Rally 3	스탬프 랠리 3
4	スタンプラリー4	集章活動4	Stamp Rally 4	스탬프 랠리 4
5	スタンプラリー5	集章活動5	Stamp Rally 5	스탬프 랠리 5
6	スタンプラリー6	集章活動6	Stamp Rally 6	스탬프 랠리 6
7	スタンプラリー7	集章活動7	Stamp Rally 7	스탬프 랠리 7
8	スタンプラリー8	集章活動8	Stamp Rally 8	스탬프 랠리 8
9	スタンプラリー9	集章活動9	Stamp Rally 9	스탬프 랠리 9
10	スタンプラリー10	集章活動10	Stamp Rally 10	스탬프 랠리 10
11	スタンプラリー11	集章活動11	Stamp Rally 11	스탬프 랠리 11
12	スタンプラリー12	集章活動12	Stamp Rally 12	스탬프 랠리 12
13	スタンプラリー13	集章活動13	Stamp Rally 13	스탬프 랠리 13
14	スタンプラリー14	集章活動14	Stamp Rally 14	스탬프 랠리 14
15	スタンプラリー15	集章活動15	Stamp Rally 15	스탬프 랠리 15
101	北海道	北海道	Hokkaido	홋카이도
102	青森県	青森縣	Aomori	아오모리현
103	岩手県	岩手縣	Iwate	이와테현
104	宮城県	宮城縣	Miyagi	미야기현
105	秋田県	秋田縣	Akita	아키타현
106	山形県	山形縣	Yamagata	야마가타현
107	福島県	福島縣	Fukushima	후쿠시마현
108	茨城県	茨城縣	Ibaraki	이바라키현
109	栃木県	栃木縣	Tochigi	토치기현
110	群馬県	群馬縣	Gunma	군마현
111	埼玉県	埼玉縣	Saitama	사이타마현
112	千葉県	千葉縣	Chiba	치바현
113	東京都	東京都	Tokyo	도쿄도
114	神奈川県	神奈川縣	Kanagawa	카나가와현
115	新潟県	新潟縣	Niigata	니가타현
116	富山県	富山縣	Toyama	토야마현
117	石川県	石川縣	Ishikawa	이시카와현
118	福井県	福井縣	Fukui	후쿠이현
119	山梨県	山梨縣	Yamanashi	야마나시현
120	長野県	長野縣	Nagano	나가노현
121	岐阜県	岐阜縣	Gifu	기후현
122	静岡県	靜岡縣	Shizuoka	시즈오카현
123	愛知県	愛知縣	Aichi	아이치현
124	三重県	三重縣	Mie	미에현
125	滋賀県	滋賀縣	Shiga	시가현
126	京都府	京都府	Kyoto	교토부
127	大阪府	大阪府	Osaka	오사카부
128	兵庫県	兵庫縣	Hyogo	효고현
129	奈良県	奈良縣	Nara	나라현
130	和歌山県	和歌山縣	Wakayama	와카야마현
131	鳥取県	鳥取縣	Tottori	돗토리현
132	島根県	島根縣	Shimane	시마네현
133	岡山県	岡山縣	Okayama	오카야마현
134	広島県	廣島縣	Hiroshima	히로시마현
135	山口県	山口縣	Yamaguchi	야마구치현
136	徳島県	德島縣	Tokushima	도쿠시마현
137	香川県	香川縣	Kagawa	카가와현
138	愛媛県	愛媛縣	Ehime	에히메현
139	高知県	高知縣	Kochi	고치현
140	福岡県	福岡縣	Fukuoka	후쿠오카현
141	佐賀県	佐賀縣	Saga	사가현
142	長崎県	長崎縣	Nagasaki	나가사키현
143	熊本県	熊本縣	Kumamoto	구마모토현
144	大分県	大分縣	Oita	오이타현
145	宮崎県	宮崎縣	Miyazaki	미야자키현
146	鹿児島県	鹿兒島縣	Kagoshima	가고시마현
147	沖縄県	沖繩縣	Okinawa	오키나와현
1001	北海道	北海道	Hokkaido	홋카이도
1002	東北地方	東北地區	Tohoku region	도호쿠 지방
1003	関東地方	關東地區	Kanto region	간토 지방
1004	中部地方	中部地區	Chubu region	주부 지방
1005	近畿地方	近畿地區	Kinki region	긴키 지방
1006	中国地方	中國地區	Chugoku region	주고쿠 지방
1007	四国地方	四國地區	Shikoku region	시코쿠 지방
1008	九州地方	九州地區	Kyushu region	규슈 지방
10101	北海道のスタンプカードです	北海道的集章卡	Stamp Card for Hokkaido	홋카이도 의 스탬프 카드입니다
10102	青森県のスタンプカードです	青森縣的集章卡	Stamp Card for Aomori	아오모리현 의 스탬프 카드입니다
10103	岩手県のスタンプカードです	岩手縣的集章卡	Stamp Card for Iwate	이와테현 의 스탬프 카드입니다
10104	宮城県のスタンプカードです	宮城縣的集章卡	Stamp Card for Miyagi	미야기현 의 스탬프 카드입니다
10105	秋田県のスタンプカードです	秋田縣的集章卡	Stamp Card for Akita	아키타현 의 스탬프 카드입니다
10106	山形県のスタンプカードです	山形縣的集章卡	Stamp Card for Yamagata	야마가타현 의 스탬프 카드입니다
10107	福島県のスタンプカードです	福島縣的集章卡	Stamp Card for Fukushima	후쿠시마현 의 스탬프 카드입니다
10108	茨城県のスタンプカードです	茨城縣的集章卡	Stamp Card for Ibaraki	이바라키현 의 스탬프 카드입니다
10109	栃木県のスタンプカードです	栃木縣的集章卡	Stamp Card for Tochigi	토치기현 의 스탬프 카드입니다
10110	群馬県のスタンプカードです	群馬縣的集章卡	Stamp Card for Gunma	군마현 의 스탬프 카드입니다
10111	埼玉県のスタンプカードです	埼玉縣的集章卡	Stamp Card for Saitama	사이타마현 의 스탬프 카드입니다
10112	千葉県のスタンプカードです	千葉縣的集章卡	Stamp Card for Chiba	치바현 의 스탬프 카드입니다
10113	東京都のスタンプカードです	東京都的集章卡	Stamp Card for Tokyo	도쿄도 의 스탬프 카드입니다
10114	神奈川県のスタンプカードです	神奈川縣的集章卡	Stamp Card for Kanagawa	카나가와현 의 스탬프 카드입니다
10115	新潟県のスタンプカードです	新潟縣的集章卡	Stamp Card for Niigata	니가타현 의 스탬프 카드입니다
10116	富山県のスタンプカードです	富山縣的集章卡	Stamp Card for Toyama	토야마현 의 스탬프 카드입니다
10117	石川県のスタンプカードです	石川縣的集章卡	Stamp Card for Ishikawa	이시카와현 의 스탬프 카드입니다
10118	福井県のスタンプカードです	福井縣的集章卡	Stamp Card for Fukui	후쿠이현 의 스탬프 카드입니다
10119	山梨県のスタンプカードです	山梨縣的集章卡	Stamp Card for Yamanashi	야마나시현 의 스탬프 카드입니다
10120	長野県のスタンプカードです	長野縣的集章卡	Stamp Card for Nagano	나가노현 의 스탬프 카드입니다
10121	岐阜県のスタンプカードです	岐阜縣的集章卡	Stamp Card for Gifu	기후현 의 스탬프 카드입니다
10122	静岡県のスタンプカードです	靜岡縣的集章卡	Stamp Card for Shizuoka	시즈오카현 의 스탬프 카드입니다
10123	愛知県のスタンプカードです	愛知縣的集章卡	Stamp Card for Aichi	아이치현 의 스탬프 카드입니다
10124	三重県のスタンプカードです	三重縣的集章卡	Stamp Card for Mie	미에현 의 스탬프 카드입니다
10125	滋賀県のスタンプカードです	滋賀縣的集章卡	Stamp Card for Shiga	시가현 의 스탬프 카드입니다
10126	京都府のスタンプカードです	京都府的集章卡	Stamp Card for Kyoto	교토부 의 스탬프 카드입니다
10127	大阪府のスタンプカードです	大阪府的集章卡	Stamp Card for Osaka	오사카부 의 스탬프 카드입니다
10128	兵庫県のスタンプカードです	兵庫縣的集章卡	Stamp Card for Hyogo	효고현 의 스탬프 카드입니다
10129	奈良県のスタンプカードです	奈良縣的集章卡	Stamp Card for Nara	나라현 의 스탬프 카드입니다
10130	和歌山県のスタンプカードです	和歌山縣的集章卡	Stamp Card for Wakayama	와카야마현 의 스탬프 카드입니다
10131	鳥取県のスタンプカードです	鳥取縣的集章卡	Stamp Card for Tottori	돗토리현 의 스탬프 카드입니다
10132	島根県のスタンプカードです	島根縣的集章卡	Stamp Card for Shimane	시마네현 의 스탬프 카드입니다
10133	岡山県のスタンプカードです	岡山縣的集章卡	Stamp Card for Okayama	오카야마현 의 스탬프 카드입니다
10134	広島県のスタンプカードです	廣島縣的集章卡	Stamp Card for Hiroshima	히로시마현 의 스탬프 카드입니다
10135	山口県のスタンプカードです	山口縣的集章卡	Stamp Card for Yamaguchi	야마구치현 의 스탬프 카드입니다
10136	徳島県のスタンプカードです	德島縣的集章卡	Stamp Card for Tokushima	도쿠시마현 의 스탬프 카드입니다
10137	香川県のスタンプカードです	香川縣的集章卡	Stamp Card for Kagawa	카가와현 의 스탬프 카드입니다
10138	愛媛県のスタンプカードです	愛媛縣的集章卡	Stamp Card for Ehime	에히메현 의 스탬프 카드입니다
10139	高知県のスタンプカードです	高知縣的集章卡	Stamp Card for Kochi	고치현 의 스탬프 카드입니다
10140	福岡県のスタンプカードです	福岡縣的集章卡	Stamp Card for Fukuoka	후쿠오카현 의 스탬프 카드입니다
10141	佐賀県のスタンプカードです	佐賀縣的集章卡	Stamp Card for Saga	사가현 의 스탬프 카드입니다
10142	長崎県のスタンプカードです	長崎縣的集章卡	Stamp Card for Nagasaki	나가사키현 의 스탬프 카드입니다
10143	熊本県のスタンプカードです	熊本縣的集章卡	Stamp Card for Kumamoto	구마모토현 의 스탬프 카드입니다
10144	大分県のスタンプカードです	大分縣的集章卡	Stamp Card for Oita	오이타현 의 스탬프 카드입니다
10145	宮崎県のスタンプカードです	宮崎縣的集章卡	Stamp Card for Miyazaki	미야자키현 의 스탬프 카드입니다
10146	鹿児島県のスタンプカードです	鹿兒島縣的集章卡	Stamp Card for Kagoshima	가고시마현 의 스탬프 카드입니다
10147	沖縄県のスタンプカードです	沖繩縣的集章卡	Stamp Card for Okinawa	오키나와현 의 스탬프 카드입니다
11001	北海道地方のスタンプカードです	北海道的集章卡	Stamp Card for Hokkaido	홋카이도 의 스탬프 카드입니다
11002	東北地方のスタンプカードです	東北地區的集章卡	Stamp Card for Tohoku region	도호쿠 지방 의 스탬프 카드입니다
11003	関東地方のスタンプカードです	關東地區的集章卡	Stamp Card for Kanto region	간토 지방 의 스탬프 카드입니다
11004	中部地方のスタンプカードです	中部地區的集章卡	Stamp Card for Chubu region	주부 지방 의 스탬프 카드입니다
11005	近畿地方のスタンプカードです	近畿地區的集章卡	Stamp Card for Kinki region	긴키 지방 의 스탬프 카드입니다
11006	中国地方のスタンプカードです	中國地區的集章卡	Stamp Card for Chugoku region	주고쿠 지방 의 스탬프 카드입니다
11007	四国地方のスタンプカードです	四國地區的集章卡	Stamp Card for Shikoku region	시코쿠 지방 의 스탬프 카드입니다
11008	九州地方のスタンプカードです	九州地區的集章卡	Stamp Card for Kyushu region	규슈 지방 의 스탬프 카드입니다
99997	２４文字◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯	２４個字元◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯	24 characters◯◯◯◯◯◯◯◯◯◯◯	２４자◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯
99998	３２文字◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯	３２個字元◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯	32 characters◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯	３２자◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯◯
