id	ja	zh-TW	en	ko
1	丸	圓	Circle	원
2	A	A	A	A
3	B	B	B	B
4	C	C	C	C
5	D	D	D	D
6	E	E	E	E
7	F	F	F	F
8	G	G	G	G
9	H	H	H	H
10	I	I	I	I
11	J	J	J	J
12	K	K	K	K
13	L	L	L	L
14	M	M	M	M
15	N	N	N	N
16	O	O	O	O
17	P	P	P	P
18	Q	Q	Q	Q
19	R	R	R	R
20	S	S	S	S
21	T	T	T	T
22	U	U	U	U
23	V	V	V	V
24	W	W	W	W
25	X	X	X	X
26	Y	Y	Y	Y
27	Z	Z	Z	Z
28	0	0	0	0
29	1	1	1	1
30	2	2	2	2
31	3	3	3	3
32	4	4	4	4
33	5	5	5	5
34	6	6	6	6
35	7	7	7	7
36	8	8	8	8
37	9	9	9	9
38	!	!	!	!
39	?	?	?	?
40	丸	圓	Circle	원
41	三角形	三角形	Triangle	삼각형
42	正方形	正方形	Square	정사각형
43	台形	梯形	Trapezoid	사다리꼴
44	五角形	五邊形	Pentagon	오각형
45	六角形	六角形	Hexagon	육각형
46	八角形	八角形	Octagon	팔각형
47	二等辺三角形	等腰三角形	Isosceles Triangle	등변 삼각형
48	星	星	Star	별
49	スペード	黑桃	Spade	스페이드
50	クラブ	梅花	Club	클럽
51	ハート	紅心	Heart	하트
52	ダイヤ	方塊	Diamond	다이아
53	月	月	Moon	달
54	太陽	太陽	Sun	태양
55	雲	雲	Cloud	구름
56	雪	雪	Snow	눈
57	宝石	寶石	Gems	보석
58	雫	雫	Droplet	물방울
59	矢印	箭頭	Arrow	화살표
60	半円	半圓	Semicircle	반원
61	楕円	橢圓	Ellipse	타원
62	扇形	扇形	Sector	부채꼴
63	バツ	叉	Cross	십자가
64	線	線	Line	선
65	破線	虛線	Dashed Line	점선
66	点線	點線	Dotted Line	점선
67	波線	波浪線	Wavy Line	파선
68	曲線	曲線	Curve	곡선
69	木	木	Wood	나무
70	葉っぱ	葉子	Leaf	잎사귀
71	テント	帳篷	Tent	텐트
72	山1	山1	Mountain 1	산1
73	山2	山2	Mountain 2	산2
74	ランタン	燈籠	Lantern	랜턴
75	焚火	生火	Bonfire	모닥불
100001	桜の花びらステッカー	櫻花貼紙	Sakura Sticker	벚꽃 스티커
100002	中華風ステッカー	中華風貼紙	Chinese-style Stickers	중화풍 스티커
100702	魚群ステッカー	魚群貼紙	School of Fish Sticker	물고기 무리 스티커
100703	花火大会ステッカー	煙火大會貼紙	Firework Show Sticker	불꽃놀이 스티커
150018	ステッカー「ブロンズ会員」	貼紙「銅牌會員」	"Sticker“Bronze MBR"""	"스티커 ""브론즈 회원"""
150019	ステッカー「シルバー会員★」	貼紙「銀牌會員★」	"Sticker""Silver MBR ★"""	"스티커 ""실버 회원 ★"""
150020	ステッカー「シルバー会員★2」	貼紙「銀牌會員★2」	"Sticker""Silver MBR ★2"""	"스티커 ""실버 회원 ★2"""
150021	ステッカー「シルバー会員★3」	貼紙「銀牌會員★3」	"Sticker""Silver MBR ★3"""	"스티커 ""실버 회원 ★3"""
150022	ステッカー「シルバー会員★4」	貼紙「銀牌會員★4」	"Sticker""Silver MBR ★4"""	"스티커 ""실버 회원 ★4"""
150023	ステッカー「シルバー会員★5」	貼紙「銀牌會員★5」	"Sticker""Silver MBR ★5"""	"스티커 ""실버 회원 ★5"""
150024	ステッカー「ゴールド会員★」	貼紙「金牌會員★」	"Sticker""Gold MBR ★"""	"스티커 ""골드 회원 ★"""
150025	ステッカー「ゴールド会員★2」	貼紙「金牌會員★2」	"Sticker""Gold MBR ★2"""	"스티커 ""골드 회원 ★2"""
150026	ステッカー「ゴールド会員★3」	貼紙「金牌會員★3」	"Sticker""Gold MBR ★3"""	"스티커 ""골드 회원 ★3"""
150027	ステッカー「ゴールド会員★4」	貼紙「金牌會員★4」	"Sticker""Gold MBR ★4"""	"스티커 ""골드 회원 ★4"""
