id	ja	zh-TW	en	ko
1	メインストーリー第1章	主要故事 第1章	Main story Chapter 1	메인 스토리 제1장
2	メインストーリー第2章	主要故事 第2章	Main story Chapter 2	메인 스토리 제2장
3	メインストーリー第3章	主要故事 第3章	Main story Chapter 3	메인 스토리 제3장
4	メインストーリー第4章	主要故事 第4章	Main story Chapter 4	메인 스토리 제4장
5	メインストーリー第5章	主要故事 第5章	Main story Chapter 5	메인 스토리 제5장
6	メインストーリー第6章	主要故事 第6章	Main story Chapter 6	메인 스토리 제6장
7	メインストーリー第7章	主要故事 第7章	Main story Chapter 7	메인 스토리 제7장
8	メインストーリー第8章	主要故事 第8章	Main story Chapter 8	메인 스토리 제8장
9	メインストーリー第9章	主要故事 第9章	Main story Chapter 9	메인 스토리 제9장
10	メインストーリー第10章	主要故事 第10章	Main story Chapter 10	메인 스토리 제10장
11	メインストーリー第11章	主要故事 第11章	Main story Chapter 11	메인 스토리 제11장
12	メインストーリー第12章	主要故事 第12章	Main story Chapter 12	메인 스토리 제12장
13	○○	○○	○○	○○
14	○○	○○	○○	○○
