id	name_text_id	rarity	active_skill_id	score_attribute	lot_passive_skill	passive_skill_slot
1	1	5	1		1	
2	1	5	1	31		3
9000001	1	5	1	16		3
9000002	1	5	1	8		3
9000003	1	5	1	4		3
9000004	1	5	1	2		3
9000005	1	5	1	1		3
9000006	1	5	1	2		3
9000007	1	5	1	3		3
9000008	1	5	1	4		3
9000009	1	5	1	5		3
9000010	1	5	1	6		3
9000011	1	5	1	7		3
9000012	1	5	1	8		3
9000013	1	5	1	9		3
9000014	1	5	1	10		3
9000015	1	5	1	11		3
9000016	1	5	1	12		3
9000017	1	5	1	13		3
9000018	1	5	1	14		3
9000019	1	5	1	15		3
9000020	1	5	1	16		3
9000021	1	5	1	17		3
9000022	1	5	1	18		3
9000023	1	5	1	19		3
9000024	1	5	1	20		3
9000025	1	5	1	21		3
9000026	1	5	1	22		3
9000027	1	5	1	23		3
9000028	1	5	1	24		3
9000029	1	5	1	25		3
9000030	1	5	1	26		3
9000031	1	1	1	27		1
9000032	1	2	1	28		2
9000033	1	3	1	29		3
9000034	1	4	1	30		3
9000035	1	5	1	31		3
9000036	1	1	1	31	1	
9000037	1	2	1	31	1	
9000038	1	3	1	31	1	
9000039	1	4	1	31	1	
9000040	1	5	1	31	1	
9000050	1	5	1	16		3
9000051	1	5	1	24		3
9000052	1	5	1	28		3
9000053	1	5	1	30		3
9000054	1	5	1	31		3
9000055	1	5	1	31		3
9000056	1	5	1	31		3
9000057	1	5	1	31		3
9000058	1	5	1	31		3
9000059	1	5	1	31		3
9000060	1	5	1	31		3
9000061	1	5	1	31		3
9000062	1	5	1	31		3
9000063	1	5	1	31		3
9000064	1	5	1	31		3
9000065	1	5	1	31		3
9000066	1	5	1	31		3
9000067	1	5	1	31		3
9000068	1	5	1	31		3
9000069	1	5	1	31		3
9000070	1	5	1	31		3
9000071	1	5	1	31		3
9000072	1	5	1	31		3
9000073	1	5	1	31		3
9000074	1	5	1	31		3
9000075	1	5	1	31		3
9000076	1	5	1	31		3
9000077	1	5	1	31		3
9000078	1	5	1	31		3
9000079	1	5	1	31		3
9000080	1	5	1	31		3
9000081	1	5	1	31		3
9000082	1	5	1	31		3
9000083	1	5	1	31		3
9000084	1	5	1	31		3
9000085	1	5	1	31		3
9000086	1	5	1	31		3
9000087	1	5	1	31		3
9000088	1	5	1	31		3
9000089	1	5	1	31		3
9000090	1	5	1	31		3
9000091	1	5	1	31		3
9000092	1	5	1	31		3
9000093	1	5	1	31		3
9000094	1	5	1	31		3
9000095	1	5	1	31		3
9000096	1	5	1	31		3
9000097	1	5	1	31		3
9000098	1	1	1	31		3
100000101	1	1	1		1	
100000102	1	2	1		1	
100000103	1	3	1		1	
100000104	1	4	1		1	
100000105	1	5	1		1	
100000201	1	1	1		1	
100000202	1	2	1		1	
100000203	1	3	1		1	
100000204	1	4	1		1	
100000205	1	5	1		1	
100000301	1	1	1		1	
100000302	1	2	1		1	
100000303	1	3	1		1	
100000304	1	4	1		1	
100000305	1	5	1		1	
100000401	1	1	1		1	
100000402	1	2	1		1	
100000403	1	3	1		1	
100000404	1	4	1		1	
100000405	1	5	1		1	
100000501	1	1	1		1	
100000502	1	2	1		1	
100000503	1	3	1		1	
100000504	1	4	1		1	
100000505	1	5	1		1	
100000601	1	1	1		1	
100000602	1	2	1		1	
100000603	1	3	1		1	
100000604	1	4	1		1	
100000605	1	5	1		1	
100000701	1	1	1		1	
100000702	1	2	1		1	
100000703	1	3	1		1	
100000704	1	4	1		1	
100000705	1	5	1		1	
100000801	1	1	1		1	
100000802	1	2	1		1	
100000803	1	3	1		1	
100000804	1	4	1		1	
100000805	1	5	1		1	
100000901	1	1	1		1	
100000902	1	2	1		1	
100000903	1	3	1		1	
100000904	1	4	1		1	
100000905	1	5	1		1	
100001001	1	1	1		1	
100001002	1	2	1		1	
100001003	1	3	1		1	
100001004	1	4	1		1	
100001005	1	5	1		1	
100001101	1	1	1		1	
100001102	1	2	1		1	
100001103	1	3	1		1	
100001104	1	4	1		1	
100001105	1	5	1		1	
100001201	1	1	1		1	
100001202	1	2	1		1	
100001203	1	3	1		1	
100001204	1	4	1		1	
100001205	1	5	1		1	
100001301	1	1	1		1	
100001302	1	2	1		1	
100001303	1	3	1		1	
100001304	1	4	1		1	
100001305	1	5	1		1	
