unit_skill_id	passive_skill_id	passive_skill_level
2	1	1
2	2	6
9000001	1	1
9000001	2	1
9000001	3	1
9000002	1	2
9000002	2	2
9000002	3	2
9000003	1	3
9000003	2	3
9000003	3	3
9000004	1	4
9000004	2	4
9000004	3	4
9000005	1	5
9000005	2	5
9000005	3	5
9000006	1	6
9000006	2	6
9000006	3	6
9000007	1	1
9000007	2	1
9000007	4	1
9000008	1	2
9000008	2	2
9000008	4	2
9000009	1	3
9000009	2	3
9000009	4	3
9000010	1	4
9000010	2	4
9000010	4	4
9000011	1	5
9000011	2	5
9000011	4	5
9000012	1	6
9000012	2	6
9000012	4	6
9000013	3	1
9000013	4	1
9000013	5	1
9000014	3	2
9000014	4	2
9000014	5	2
9000015	3	3
9000015	4	3
9000015	5	3
9000016	3	4
9000016	4	4
9000016	5	4
9000017	3	5
9000017	4	5
9000017	5	5
9000018	3	6
9000018	4	6
9000018	5	6
9000019	6	1
9000019	7	1
9000019	8	1
9000020	6	2
9000020	7	2
9000020	8	2
9000021	6	3
9000021	7	3
9000021	8	3
9000022	6	4
9000022	7	4
9000022	8	4
9000023	6	5
9000023	7	5
9000023	8	5
9000024	6	6
9000024	7	6
9000024	8	6
9000025	9	1
9000025	10	1
9000026	9	2
9000026	10	2
9000027	9	3
9000027	10	3
9000028	9	4
9000028	10	4
9000029	9	5
9000029	10	5
9000030	9	6
9000030	10	6
9000063	1	1
9000063	2	1
9000063	3	1
9000064	1	2
9000064	2	2
9000064	3	2
9000065	1	3
9000065	2	3
9000065	3	3
9000066	1	4
9000066	2	4
9000066	3	4
9000067	1	5
9000067	2	5
9000067	3	5
9000068	1	6
9000068	2	6
9000068	3	6
9000069	1	1
9000069	2	1
9000069	4	1
9000070	1	2
9000070	2	2
9000070	4	2
9000071	1	3
9000071	2	3
9000071	4	3
9000072	1	4
9000072	2	4
9000072	4	4
9000073	1	5
9000073	2	5
9000073	4	5
9000074	1	6
9000074	2	6
9000074	4	6
9000075	3	1
9000075	4	1
9000075	5	1
9000076	3	2
9000076	4	2
9000076	5	2
9000077	3	3
9000077	4	3
9000077	5	3
9000078	3	4
9000078	4	4
9000078	5	4
9000079	3	5
9000079	4	5
9000079	5	5
9000080	3	6
9000080	4	6
9000080	5	6
9000081	6	1
9000081	7	1
9000081	8	1
9000082	6	2
9000082	7	2
9000082	8	2
9000083	6	3
9000083	7	3
9000083	8	3
9000084	6	4
9000084	7	4
9000084	8	4
9000085	6	5
9000085	7	5
9000085	8	5
9000086	6	6
9000086	7	6
9000086	8	6
9000087	9	1
9000087	10	1
9000088	9	2
9000088	10	2
9000089	9	3
9000089	10	3
9000090	9	4
9000090	10	4
9000091	9	5
9000091	10	5
9000092	9	6
9000092	10	6
