id	vr_chapter_id	name	name_text_id	time	size	item_id	quantity	sort_id	open_date	close_date
1	3	もぐもぐタイム　私たちと一緒に召し上がれ		00:59	63.1MB	1003	1	14	2018-11-19 11:00:00	2100-12-31 00:00:00
2	3	1周年ライブ ロウソクを吹き消したのは…		02:23	160MB	1003	1	15	2018-11-30 11:00:00	2100-12-31 00:00:00
3	3	1周年ライブ 前日にアノ2人が会場へ潜入！		03:17	218MB	1003	1	16	2018-12-31 11:00:00	2100-12-31 00:00:00
4	3	1周年ライブ 次のライブでは炎を操り、フライング！？		01:48	117MB	1003	1	17	2019-01-24 11:00:00	2100-12-31 00:00:00
5	1	もぐもぐタイム　可愛すぎる潔癖なアノ子		01:07	74.3MB	1003	1	5	2018-04-28 11:00:00	2100-12-31 00:00:00
6	1	1周年ライブ　初トロッコでぶつかった？		02:12	84.6MB	1003	1	6	2018-04-28 11:00:00	2100-12-31 00:00:00
7	1	1周年ライブ　長濱、バスに乗り遅れる		03:01	115MB	1003	1	7	2018-05-17 11:00:00	2100-12-31 00:00:00
8	1	1周年ライブ　めっちゃ汗かくあのメンバー		01:36	109MB	1003	1	8	2018-06-01 11:00:00	2100-12-31 00:00:00
9	2	もぐもぐタイム　いっぱい食べてもいい？		01:01	66MB	1003	1	9	2018-07-11 11:00:00	2100-12-31 00:00:00
10	2	1周年ライブ　ヘアスタイルを決める基準		01:52	123MB	1003	1	10	2018-07-31 11:00:00	2100-12-31 00:00:00
11	2	1周年ライブ　OVERTUREが流れる裏で…		01:51	124MB	1003	1	11	2018-08-20 11:00:00	2100-12-31 00:00:00
12	2	1周年ライブ　1度は言いたいあのセリフ		02:12	121MB	1003	1	12	2018-09-14 11:00:00	2100-12-31 00:00:00
13	2	1周年ライブ　みんな「Love」しか歌わない		03:29	234MB	1003	1	13	2018-10-18 11:00:00	2100-12-31 00:00:00
14	4	みんなでおしゃべり 海に行きたいな♪		03:16	184MB	1003	1	18	2019-05-31 11:00:00	2100-12-31 00:00:00
16	4	全国ツアー2017 今だから言える裏話！		02:36	145MB	1003	1	19	2019-06-14 11:00:00	2100-12-31 00:00:00
17	4	全国ツアー2017 めいちゃんのMCコーナー！？		02:35	147MB	1003	1	20	2019-06-30 11:00:00	2100-12-31 00:00:00
18	4	全国ツアー2017 たくさんの練習を乗り越えて…		02:28	141MB	1003	1	21	2019-07-13 11:00:00	2100-12-31 00:00:00
22	5	初めてのステージ 思い出はたくさん♪		03:08	232MB	1003	1	22	2019-08-08 11:00:00	2100-12-31 00:00:00
23	5	初めてのステージ 気合いの入れ方は…？		02:38	150MB	1003	1	23	2019-08-23 11:00:00	2100-12-31 00:00:00
24	5	初めてのステージ 憧れのあの曲！		02:36	148MB	1003	1	24	2019-09-13 11:00:00	2100-12-31 00:00:00
25	5	初めてのステージ 忘れられない景色		02:09	125MB	1003	1	25	2019-09-30 11:00:00	2100-12-31 00:00:00
26	5	初めてのステージ 遠慮はナシだよ♪		03:09	180MB	1003	1	26	2019-10-15 11:00:00	2100-12-31 00:00:00
