id	type	level	title	title_text_id	condition_type1	condition_id_1	condition_type2	condition_id_2	condition_type3	condition_id_3	result_base_weight1	result_base_weight2	result_base_weight3	need_time	leaf	shorten_price	reward_id_1	reward_id_2	reward_id_3	open_date	close_date
1010007	1	1	カノアールのフロアスタッフ★1		1	1						50	50	60		150	30000001	30000009	30000015	2018-10-01 00:00:00	2100-12-31 23:59:59
1010008	1	2	カノアールのフロアスタッフ★2		1	1						50	50	120		300	30000002	30000020	30000040	2018-10-01 00:00:00	2100-12-31 23:59:59
1010009	1	3	カノアールのフロアスタッフ★3		1	1						50	50	180		450	30000003	30000025	30000045	2018-10-01 00:00:00	2100-12-31 23:59:59
1010010	1	4	カノアールのフロアスタッフ★4		1	1						50	50	360		600	30000004	30000030	30000050	2018-10-01 00:00:00	2100-12-31 23:59:59
1010011	1	5	カノアールのフロアスタッフ★5		1	1						50	50	720		750	30000006	30000035	30000051	2018-10-01 00:00:00	2100-12-31 23:59:59
1010012	2	1	POUND1のフロア清掃員★1		1	2						50	50	60		150	30000001	30000009	30000015	2018-10-01 00:00:00	2100-12-31 23:59:59
1020004	2	2	POUND1のフロア清掃員★2		1	2						50	50	120		300	30000002	30000021	30000041	2018-10-01 00:00:00	2100-12-31 23:59:59
1020005	2	3	POUND1のフロア清掃員★3		1	2						50	50	180		450	30000003	30000026	30000046	2018-10-01 00:00:00	2100-12-31 23:59:59
1020006	2	4	POUND1のフロア清掃員★4		1	2						50	50	360		600	30000004	30000031	30000050	2018-10-01 00:00:00	2100-12-31 23:59:59
1030010	2	5	POUND1のフロア清掃員★5		1	2						50	50	720		750	30000006	30000036	30000051	2018-10-01 00:00:00	2100-12-31 23:59:59
1030011	3	1	カラオケ村のホール担当★1		1	3						50	50	60		150	30000001	30000009	30000015	2018-10-01 00:00:00	2100-12-31 23:59:59
1030012	3	2	カラオケ村のホール担当★2		1	3						50	50	120		300	30000002	30000022	30000042	2018-10-01 00:00:00	2100-12-31 23:59:59
1030013	3	3	カラオケ村のホール担当★3		1	3						50	50	180		450	30000003	30000027	30000047	2018-10-01 00:00:00	2100-12-31 23:59:59
1030014	3	4	カラオケ村のホール担当★4		1	3						50	50	360		600	30000004	30000032	30000050	2018-10-01 00:00:00	2100-12-31 23:59:59
1030015	3	5	カラオケ村のホール担当★5		1	3						50	50	720		750	30000006	30000037	30000051	2018-10-01 00:00:00	2100-12-31 23:59:59
1030016	4	1	キャノシャイン水族館の受付★1		1	4						50	50	60		150	30000001	30000009	30000015	2018-10-01 00:00:00	2100-12-31 23:59:59
1030017	4	2	キャノシャイン水族館の受付★2		1	4						50	50	120		300	30000002	30000023	30000043	2018-10-01 00:00:00	2100-12-31 23:59:59
1030018	4	3	キャノシャイン水族館の受付★3		1	4						50	50	180		450	30000003	30000028	30000048	2018-10-01 00:00:00	2100-12-31 23:59:59
1040055	4	4	キャノシャイン水族館の受付★4		1	4						50	50	360		600	30000004	30000033	30000050	2018-10-01 00:00:00	2100-12-31 23:59:59
1040056	4	5	キャノシャイン水族館の受付★5		1	4						50	50	720		750	30000006	30000038	30000051	2018-10-01 00:00:00	2100-12-31 23:59:59
1040057	5	1	Donny'sの厨房担当★1		1	5						50	50	60		150	30000001	30000009	30000015	2018-10-01 00:00:00	2100-12-31 23:59:59
1040058	5	2	Donny'sの厨房担当★2		1	5						50	50	120		300	30000002	30000024	30000044	2018-10-01 00:00:00	2100-12-31 23:59:59
1040059	5	3	Donny'sの厨房担当★3		1	5						50	50	180		450	30000003	30000029	30000049	2018-10-01 00:00:00	2100-12-31 23:59:59
1040060	5	4	Donny'sの厨房担当★4		1	5						50	50	360		600	30000004	30000034	30000050	2018-10-01 00:00:00	2100-12-31 23:59:59
1040061	5	5	Donny'sの厨房担当★5		1	5						50	50	720		750	30000006	30000039	30000051	2018-10-01 00:00:00	2100-12-31 23:59:59
1040062	1	1	しもいた商店街の店員★1		1							50	50	60		150	30000001	30000008	30000014	2018-10-01 00:00:00	2100-12-31 23:59:59
1040063	1	2	しもいた商店街の店員★2		1							50	50	120		300	30000002	30000010	30000016	2018-10-01 00:00:00	2100-12-31 23:59:59
1040064	1	3	しもいた商店街の店員★3		1							50	50	180		450	30000003	30000011	30000017	2018-10-01 00:00:00	2100-12-31 23:59:59
1040065	1	4	しもいた商店街の店員★4		1							50	50	360		600	30000005	30000012	30000018	2018-10-01 00:00:00	2100-12-31 23:59:59
1040066	1	5	しもいた商店街の店員★5		1							50	50	720		750	30000007	30000013	30000019	2018-10-01 00:00:00	2100-12-31 23:59:59
